Disease ID,Disease Name,Associated Gene IDs,splits
C1842060,Prominent supraorbital ridges,"10060,10484,10555,1896,2260,2316,2353,26580,27316,2892,3764,4983,5159,5308,5468,6197,6885,7319,857",2
C2239176,Liver carcinoma,"100124700,100507436,1012,10165,1019,1027,1029,1033,10468,10476,1050,1051,1052,10537,10553,10788,10961,10987,11315,114990,117145,118,122953,1230,1312,1356,1401,1499,1509,1540,1543,1571,1586,1636,1646,174,1806,182,1869,1950,1956,196528,2,2023,2052,2099,2108,2147,2171,2182,2184,2194,2203,2222,2248,2249,22937,2305,2353,23534,2475,2538,2542,2597,2658,2705,2719,27232,2735,2752,2810,29108,29126,2923,2944,2950,307,3077,3082,3083,31,3145,3148,3156,324,325,3265,328,3284,3309,3313,3315,332,335,3417,3439,3476,3480,3481,3482,3491,3569,3576,3592,3594,3660,3663,3667,367,3699,3725,3845,3954,406906,4143,4199,4204,4233,4297,4313,4318,4353,4489,4502,4598,4609,47,472,4780,4792,4830,50,51,5105,51085,51360,5155,5157,5218,5226,5230,5243,5244,5245,5265,5267,5290,5315,5317,5450,5468,5469,5502,55840,57016,5728,5743,5747,57492,57509,5836,58508,5879,5914,5925,595,598,60,6194,6197,6240,6241,6319,6348,637,6387,64399,6469,6502,6513,6514,6528,6648,6689,6720,6721,673,6772,6775,6888,693200,7001,7015,7039,7040,7054,7099,7124,7157,7248,7263,7298,7345,735,7372,7376,7389,7412,7571,760,7832,7980,80381,8289,8312,83597,83932,83940,8407,841,8431,8647,8660,8667,87178,8720,873,8743,8805,8826,8900,898,89885,9021,9099,9353,9510,9518,9588,9681,9757,9965,9966,9971",8
C0149721,Left Ventricular Hypertrophy,"10806,1152,1158,1215,1277,1281,155,1636,183,1837,1839,186,19,1906,196,2335,2475,2548,26229,2717,2778,2997,4088,4511,4512,4513,4514,4519,4535,4540,4541,4558,4566,4567,4572,4574,4575,4577,4578,4609,4878,51778,5350,5530,5534,58,582,585,5972,6198,6794,776,8195,9049,9469,9518",4
C0020428,Hyperaldosteronism,"1187,1188,1583,1584,1585,1586,1811,3758,3762,3766,4306,476,492,6337,6338,6340,6557,776,7809",5
C0235153,"Hallucinations, Sensory","1371,1512,1593,1629,1893,22891,23400,27184,2896,3028,3060,3119,3123,410,4340,4512,4513,4514,4535,4538,4540,4541,4558,4564,4567,4572,4574,4575,4578,4693,5032,54902,5538,5621,593,594,617,6622,6908,7292,7915",6
C1527311,Brain Edema,"10165,10398,1373,1629,25915,28976,29078,34,3908,4318,435,445,4638,4694,4709,4715,4719,4720,4722,4723,4724,4726,4729,4843,5009,51103,5328,55572,593,594,6285,7124",3
C0280631,Leiomyosarcoma of uterus,"10395,1499,1630,2033,207,2261,324,4893,5290,6714,701,7157,8313",none
C0240340,Microdontia (disorder),"1001,10484,10913,1747,1896,2006,2121,2138,2248,2260,22856,2296,23545,26229,265,26608,2690,2697,2969,3425,3664,3984,4040,4054,4487,4998,5034,50485,5083,51085,51098,5116,51626,5277,55505,55651,5818,5906,5908,5932,5982,6495,7020,7039,715,716,7227,7341,7403,7461,7480,8085,8313,8626,9031,9401,9451,9469,9569",none
C0079744,Diffuse Large B-Cell Lymphoma,"1029,10549,10628,10892,10935,1213,2146,22872,238,2735,355,4615,5170,5243,5290,5291,5293,5294,567,5905,596,6198,64434,6502,6648,6649,79080,8085,84433,847,9429,973,974,983",1
C0263490,Brittle hair,"1001,10084,10161,10269,1041,10484,10804,11005,1896,2068,2071,3845,3887,3889,3891,3892,5604,5605,617,6499,673,7737,875,9401,9652",none
