disease_id,disease_name,gene_entrez_ids,splits
GO:0019840,isoprenoid binding,"834722,830427,828874,843631,838452,827510,842807,819674,827323,841725",0
GO:0140098,"catalytic activity, acting on RNA","835328,816258,841092,820485,825221,830853,841886,820649,823849,825385,841262,819632,814906,829246,827839,821319,834121,818634,821587,842198,841822,817246,828132,814828,839925,820343,832507,828668,818559",0
GO:0016830,carbon-carbon lyase activity,"831635,822298,824612,841765,832554,818220,818860,830894,817332,829623,835900,828222,839103,817221,836551,821327,836047,831061,2745818,835934,821214,837602,815842,831599,825458,820723,829943,830457,820348",0
GO:0046982,protein heterodimerization activity,"818816,843524,843141,835720,828044,828556,830095,834961,822547,825107,840981,836767,837921,819234,832549,819878,833957,829480,839077,829611,839984,824627,828219,835005,825415,816329,824270,829390,836175,7922386,832990,818402,843875,831847,834284,843244,818540,822767,820850,841202,825333,817141,818167,831738",0
GO:0004519,endonuclease activity,"816258,819685,821319,834121,818634,841262,821587,839925,828246,842263,829786,832507,837373,817246",0
GO:0140097,"catalytic activity, acting on DNA","836101,825478,831369,820238,829727,820351,835623,832554,818224,843313,831548,832830,830533,834503,836808,818634,841422,833487,828371,831315,828246,836057,840026,819685,835822,827640,837373,830335",0
GO:0005524,ATP binding,"829568,839938,841221,841097,827019,831884,815120,823955,824085,841627,840476,835613,823720,819244,833836,830768,828213,838837,824631,825145,828222,824385,832710,836809,822474,842697,842573,814930,820438,824667,817883,836701,821983,830818,815842,819042,826470,824423,828134,831462,832744,839529,828531,823668,835701,820984,829947,817149,818558",0
GO:0000287,magnesium ion binding,"831201,835618,835841,823847,828232,821005,821870,828213,829142,816413",0
GO:0015297,antiporter activity,"832773,838028,828955,833308,824349,820005,819373,820532,835640,837958,834248,840139,824655,837199,844370,831193,818395,844000,818530,825072,821114",0
GO:0004601,peroxidase activity,"819778,837028,816773,817636,824072,824073,820335,826480,836533,829366,837304,840476,829661",0
GO:0016829,lyase activity,"815120,844307,822298,832035,841765,824872,832554,817195,828460,818220,841263,818226,821812,841785,817221,821327,831061,837725,829022,835168,836709,818280,831599,843377,825458,816756,820348,831635,819870,814753,819364,821930,816812,818860,817329,829106,839859,817332,829623,841439,834273,815842,837370,823555,823556,823557,827149,824612,829737,823601,833841,828726,835900,828222,824132,832326,830799,835934,842598,826730,843639,828805,821134,828815,822173,844193,841129,825259,830894,817589,839103,830912,836551,842700,826317,836047,819152,824280,837082,2745818,817628,843741,821214,837602,825317,829933,820723,835571,829943,820728,830457",0
GO:0030246,carbohydrate binding,"824742,818854,839596,837423,820895,837455,814767,832243,833975,818682,818491,824383",0
GO:0019205,nucleobase-containing compound kinase activity,"822338,819971,836451,832710,834088,831882,820140,826515,821399,836156,818302,833471",0
GO:0048037,cofactor binding,"834816,826884,840069,832136,838280,814985,831500,844173,844174,822033,824851,829715,824342,827931,823721,832554,817332,815160,832825,829370,819386,817208,819389,836181,835926,828891,839515,841439,835169,835428,817636,826470,817637,839529,817513,844395,831215,819707,836476,839295",0
GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors","829568,829954,829572,839044,830088,833928,843659,831884,844047,832657,824851,829717,820731,833559,842905,844314,839197,819870,841757,829473,821922,830372,831270,831402,820139,821163,841132,831150,827831,820665,835129,826942,828222,831039,827841,822594,841665,818752,838342,841926,843129,840011,825294,838352,837465,829022,829792,823906,819555,842724,815842,820199,821479,842603,844395,834417,834291,834169,822139,816509",0
GO:0004721,phosphoprotein phosphatase activity,"818571,819724,833552,833936,817553,838804,814997,827930,823835,836507,818850,828714,832048,818609,838835,821941,832437,818881,836034,839621,819784,836040,832846,817489,842708,833622,831832,843609,820314,828254,835809,843516,826726,828779,824693,814714,834684,819583",0
GO:1901681,sulfur compound binding,"839515,835428,840069,817636,817637,831500,844173,844174,828891,819707,832825,819386,827931,839295",1
GO:0016831,carboxy-lyase activity,"835934,815842,829943,824612,841765,818860,821327,828222,831599,825458,820723,836047,831061,2745818,829623,817332,822298,821214",1
GO:0016877,"ligase activity, forming carbon-sulfur bonds","833655,835139,828484,819941,835127,842926,816686,814974,828596,832820,839286,819767,817562,824060,844094",1
GO:0008017,microtubule binding,"840068,828814,828826,816539,821279,820128,835234,824484,838571,820916,824500,836671,830911,820159,827075,819026,817750,835556,839140,823923,831988,836723,832758,827773,843134",1
GO:0019900,kinase binding,"839168,824326,821259,833552,836628,822293,829462,829463,817684,826409,831021,832048,843320,843833,837180,841284,824921,821338,820314,827481,818787,835697,836723,843382,814714,824956,840324,824455,843917,817828,834213,838821,837805,831151,835759,834752,834756,821449,830160,818408,839401,838388,843516,840957,831757,825104,831765,824599,827164,822566,828714,836395,837423,835379,833844,836408,830779,822593,834376,839506,828764,822119,827240,844137,3767664,821625,824193,836481,819075,827269,834439,831882,833930,828824,836528,826814,839621,821705,817625,832990,840158,839156",1
GO:0015145,monosaccharide transmembrane transporter activity,"837667,827908,837413,844057,821416,827274,836043,832694,820921,821531,832703",1
GO:0005244,voltage-gated ion channel activity,"833728,831361,835393,827555,835657,834666,817099,837805,828311,820914,832468,832693,836886,825655,825304,817206,821052",1
GO:0015175,neutral amino acid transmembrane transporter activity,"836729,824740,818536,820363,818576,835025,839057,839550,818232,836505,826685,829982,818687",1
GO:0005507,copper ion binding,"844291,841221,815120,835613,841757,825888,835104,820771,818220,815152,829490,828467,818226,830015,829510,824395,832075,816723,818260,814681,814682,826987,839295,832130,841347,824459,827019,827028,825494,842905,820890,820891,820894,818343,837290,831660,837808,842935,832195,838851,828613,825030,833738,831193,817883,821983,826595,838889,820984,830726,837904,843029,840476,820005,842536,829737,830768,830770,822580,824631,821050,842058,820046,824667,839515,836459,820076,819567,828785,820082,827773,834430,820606,830336,816513,820098,828805,824710,832389,831882,838544,842147,823720,820140,838063,817636,825317,837606,817637,817648,820731",1
GO:0004659,prenyltransferase activity,"831587,829834,834026,835993,818540,829616,830002,825107,835991,824345,816379",1
GO:0016628,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor","839009,819009,840102,831560,828523,818383,815152,835507,835286,827000,821049,815160,824702",1
