disease_id,disease_name,gene_entrez_ids,splits
GO:0010225,response to UV-C,"824162,819971,838212,816838,836873,814740,824693,824408,817208,821788",0
GO:0048609,multicellular organismal reproductive process,"834435,818438,836871,837255,816519,820879,822287,825364,816533,818581,825496,828953,820635,839323,841247,819104,834978,816291,843430,817830,841129,828970,836778,838314,832431,828081,817457,831156,823605,829366,819896,841400,836666,835005,818629,836806,832328,825417,830153,829390,836431,835152,818001,819290,829025,836321,824035,835428,815209,828522,840171,842477,821870,828782,825072,836846,841968,843117,841844,832503,831224,820602,841725",0
GO:0042180,cellular ketone metabolic process,"830144,838275,841252,820199,831241,817642,825516,842354,830842,844187,817599",0
GO:0009850,auxin metabolic process,"819911,832221,830154,831293,831595,834411,841262,844376,827088,837075,837048,830457,829277,839103",0
GO:0045786,negative regulation of cell cycle,"817921,821383,820746,840218,839453,839457,824226,823971,817831,841386,822195,819896,822079,821449,816345,838621,829919,816875,842992,830326,821496,834940,833791",0
GO:2001020,regulation of response to DNA damage stimulus,"824897,824162,816838,823975,836745,836873,828016,838161,817745,843160,829786,824027",0
GO:0051236,establishment of RNA localization,"816705,839081,826698,820234,837579,840234,844268,819666,829427,831253,816475,824477,830846",0
GO:0000725,recombinational repair,"835850,843797,834838,829211,823975,841256,828717,838462,821187,833791,828230,827854,821455,832208,832338,816467,835797,836573,831710,819685,842858,842992,840063",0
GO:0051607,defense response to virus,"834307,832530,839574,832154,818973,831903,832422,817197,841262,824112,837047,830520,827839,834367,821569,840016,833747,823508,824149,834517,829785,829786,837084,817246,831457,834403,839529,825455,820338,830707,834292,816757,834678",0
GO:0006855,drug transmembrane transport,"836550,819783,818536,827626,835178,818255,839920,822259,827641,836187,824510,830623",0
GO:0034654,nucleobase-containing compound biosynthetic process,"824576,837376,841733,833928,837515,843659,841999,838421,824343,832154,840218,816282,836893,839197,844193,828706,824612,829604,838567,834088,816680,831402,842794,833972,817332,821942,841785,829626,836538,831548,822338,822594,825797,832710,834503,843719,821577,838345,814663,821327,834383,841427,828116,833877,824280,2745818,824667,835675,816346,831328,843233,817506,820707,842339,842603,818029,829806,827759,830063,843251,820212,820213,830708,827001,841853",0
GO:0009873,ethylene-activated signaling pathway,"821902,827297,843685,843568,834042,840115,820281,830782,823749,820429,834509,842069,835670,816475,827612,836062,844143,833656,821625,834426,830846",0
GO:0015980,energy derivation by oxidation of organic compounds,"831361,820163,822341,837061,840201,835179,838540,828013,821806,823602,818580,818772",0
GO:0043200,response to amino acid,"828771,839268,818982,826407,826409,840859,824693,823706,833755,842428",0
GO:0009845,seed germination,"843777,835845,827526,818438,827019,825358,817170,818199,830744,837531,829597,841247,817273,833700,841383,836778,825517,835761,823602,829366,825655,828858,825532,841284,835399,828617,842573,820816,831700,821338,829022,843875,825828,822117,828263,828522,831722,816362,823150,822388,838388,834040,830841",0
GO:2000030,regulation of response to red or far red light,"816133,844173,830996,838421,816538,833693,816671,817696,825890,828839,837417,819242,819244,827568,819383,830779,841922,843330,823492,843463,837579,820557,824019,825814,830051,826470,834663,828008,830062,836463,826609,836466,838899,830708,817016,837113",0
GO:0009894,regulation of catabolic process,"821259,838668,824973,833552,837906,824599,819232,828579,816808,824489,826798,828598,818614,840123,830909,820032,821569,824514,839621,842693,843463,837583,841427,821463,820573,814686,838882,819941,819561,830825,817131,834158,832242,826869,829557,830454,832507,818429",0
