disease_id,disease_name,gene_entrez_ids,splits
DB06589,DB06589,"10019,5156,2246,3815,5159,3791,2321,2324,2261,3702",0
DB04522,DB04522,"9344,3749,5836,5837,5292,5967,6317,5170,5588,4087,1080,6010,5566",0
DB03796,DB03796,"3906,5538,3174,5047,23541,1558,27095,5465,6010,5375",0
DB06216,DB06216,"1812,1813,148,1815,3351,150,154,3350,152,153,151,1814,3356,3357,3362,3363,3358,3361,3269,3274",0
DB00246,DB00246,"147,1812,148,150,1815,3350,1816,151,3354,3356,152,3358,3359,3352,1813,3363,3362,1814,3269,3351,1128,1129,1131,1132,1133",0
DB00726,DB00726,"6530,6531,6532,147,148,1813,150,3350,3352,1816,151,153,154,155,3356,1812,3358,3359,3269,1128,1129,1131,1132,1133",0
DB00078,DB00078,"2209,931,2212,2213,2214,2215,712,713,714,715,716,9103",0
DB00396,DB00396,"5004,367,1586,2099,4306,2100,5241,4986,2908,6462",0
DB05492,DB05492,"3269,4988,146,147,148,150,151,152,4987,3356,3357,3358",0
DB00661,DB00661,"6532,773,774,775,776,778,779,782,783,784,785,146,147,148,3757,3767,6331,8911,8913",0
DB00546,DB00546,"2560,2561,2562,2563,2564,2565,2566,2567,2568,2569,2570,2554,2555,2556,2558,200959",0
DB00313,DB00313,"9734,11280,36,6323,6324,6326,6327,6328,6329,6330,6331,6332,6334,6335,6336,5465,5467,5468,4967,7915,55800,3066",0
DB05147,DB05147,"81027,7846,10376,84617,112714,7277,10382,10383,10381,7278,7280,347733,84790,80086,203068",0
DB01873,DB01873,"81027,7846,10376,7277,10382,10383,10381,7278,84790,203068,51807",0
DB04216,DB04216,"1545,7317,8856,23450,1051,26275,5292,5294,9262,1457,2099,2100,1460,133688,60,6462,196,8665,4835,10856,873,3306,3055,3320",0
DB11148,DB11148,"773,774,775,776,778,779,781,782,783,784,785,786,9254,3758,3764,3766,3767,3768,3770,3772,8911,8912,8913,55799",0
DB01065,DB01065,"4544,801,4353,4835,8288,811,6096,2099,438,4543",0
DB00119,DB00119,"9120,5313,9122,5315,9121,9123,64902,6567,6566,5091,5162,9194,18,23539",0
DB08846,DB08846,"768,6850,771,5566,11238,5578,5579,23632,1457,761,759,760,6713,762,763,765,766",0
DB00599,DB00599,"1131,2891,1137,2898,1139,2166,2554,2555,2556,2557,2558,2559",1
DB00334,DB00334,"2565,2566,2567,147,1812,148,1814,1815,1816,153,1813,154,155,3356,3358,3359,3351,3352,3362,3354,3355,3269,3350,1128,1129,1131,1132,2554,2555,2556,2557,2558,2559",1
DB00277,DB00277,"134,135,136,8904,8654,142,5139,5141,5142,79608,3066,23420,26140,81502",1
DB04464,DB04464,"8192,6285,6035,7316,795,4512,4513,4514,9377,3106,1327,1329,567,4535,1339,1340,1345,1346,1349,1350,1351,462,5875,5876",1
DB02010,DB02010,"6850,1445,1128,5292,9261,5294,7535,5170,2932,5588,3702,1017,3932",1
DB00075,DB00075,"2209,2212,2213,2214,2215,712,713,714,715,716,9103,915,916,917,919",1
DB00139,DB00139,"8974,8985,5019,6561,10536,5033,55214,64175,55217,8630,444,1468,64064,64849,56670,8801,9058,8802,8803,5351,8424,7915,6389,6390,6391,6392",1
