HGNC ID	NCBI gene ID	Ensembl gene ID
HGNC:5	1	ENSG00000121410
HGNC:37133	503538	ENSG00000268895
HGNC:24086	29974	ENSG00000148584
HGNC:7	2	ENSG00000175899
HGNC:27057	144571	ENSG00000245105
HGNC:23336	144568	ENSG00000166535
HGNC:41022	100874108	ENSG00000256661
HGNC:41523	106478979	ENSG00000256904
HGNC:8	3	ENSG00000256069
HGNC:30005	127550	ENSG00000184389
HGNC:18149	53947	ENSG00000128274
HGNC:17968	51146	ENSG00000118017
HGNC:13666	8086	ENSG00000094914
HGNC:21298	65985	ENSG00000081760
HGNC:18226	729522	ENSG00000250420
HGNC:17	13	ENSG00000114771
HGNC:24427	344752	ENSG00000197953
HGNC:50301	101928142	ENSG00000242908
HGNC:32037	126767	ENSG00000188984
HGNC:32038	343066	ENSG00000204518
HGNC:50305	201651	ENSG00000240602
HGNC:17929	51166	ENSG00000109576
HGNC:25662	79719	ENSG00000103591
HGNC:19679	22848	ENSG00000115977
HGNC:30205	28971	ENSG00000087884
HGNC:18	14	ENSG00000127837
HGNC:19	15	ENSG00000129673
HGNC:15886	25980	ENSG00000131043
HGNC:33842	441376	ENSG00000205002
HGNC:20	16	ENSG00000090861
HGNC:49894	106480683	ENSG00000249038
HGNC:21022	57505	ENSG00000124608
HGNC:28417	80755	ENSG00000266967
HGNC:54994	117981788	ENSG00000234969
HGNC:23993	132949	ENSG00000157426
HGNC:14235	60496	ENSG00000149313
HGNC:17366	10157	ENSG00000008311
HGNC:51526	284837	ENSG00000215458
HGNC:19235	26574	ENSG00000275700
HGNC:21	9625	ENSG00000181409
HGNC:49667	103021294	ENSG00000281376
HGNC:23	18	ENSG00000183044
HGNC:29	19	ENSG00000165029
HGNC:32	20	ENSG00000107331
HGNC:33	21	ENSG00000167972
HGNC:34	24	ENSG00000198691
HGNC:35	23461	ENSG00000154265
HGNC:36	23460	ENSG00000154262
HGNC:37	10347	ENSG00000064687
HGNC:38	10351	ENSG00000141338
HGNC:39	10350	ENSG00000154258
HGNC:39983	104355297	ENSG00000231749
HGNC:30	10349	ENSG00000154263
HGNC:31	79963	ENSG00000251595
HGNC:14637	26154	ENSG00000144452
HGNC:14638	154664	ENSG00000179869
HGNC:32972	650655	ENSG00000238098
HGNC:40	5243	ENSG00000085563
HGNC:45	5244	ENSG00000005471
HGNC:46	340273	ENSG00000004846
HGNC:47	10058	ENSG00000115657
HGNC:48	22	ENSG00000131269
HGNC:49	11194	ENSG00000197150
HGNC:50	23457	ENSG00000150967
HGNC:41	23456	ENSG00000135776
HGNC:14114	56476	ENSG00000274099
HGNC:31129	728248	ENSG00000261524
HGNC:31130	100132289	ENSG00000260053
HGNC:42	8647	ENSG00000073734
HGNC:51	4363	ENSG00000103222
HGNC:53	1244	ENSG00000023839
HGNC:54	8714	ENSG00000108846
HGNC:55	10257	ENSG00000125257
HGNC:56	10057	ENSG00000114770
HGNC:40055	100873982	ENSG00000223882
HGNC:57	368	ENSG00000091262
HGNC:33352	653190	ENSG00000256340
HGNC:33353	730013	ENSG00000255277
HGNC:59	6833	ENSG00000006071
HGNC:60	10060	ENSG00000069431
HGNC:52	89845	ENSG00000124574
HGNC:14639	85320	ENSG00000121270
HGNC:14640	94160	ENSG00000140798
HGNC:16022	150000	ENSG00000243064
HGNC:61	215	ENSG00000101986
HGNC:63	26983	ENSG00000215151
HGNC:64	26982	ENSG00000261233
HGNC:65	26957	ENSG00000225293
HGNC:42662	642762	ENSG00000214330
HGNC:66	225	ENSG00000173208
HGNC:67	5825	ENSG00000117528
HGNC:68	5826	ENSG00000119688
HGNC:69	6059	ENSG00000164163
HGNC:70	23	ENSG00000204574
HGNC:71	10061	ENSG00000033050
HGNC:54751	114483834	ENSG00000285292
HGNC:48841	344653	ENSG00000242159
HGNC:48842	100422059	ENSG00000228769
HGNC:72	55324	ENSG00000161204
HGNC:73	9619	ENSG00000160179
HGNC:74	9429	ENSG00000118777
HGNC:13884	64137	ENSG00000172350
HGNC:13886	64240	ENSG00000138075
HGNC:13887	64241	ENSG00000143921
HGNC:17553	84696	ENSG00000143994
HGNC:18717	11057	ENSG00000140526
HGNC:18718	171586	ENSG00000158201
HGNC:20154	63874	ENSG00000100439
HGNC:21396	51099	ENSG00000011198
HGNC:21398	57406	ENSG00000163686
HGNC:23759	79575	ENSG00000127220
HGNC:25656	55347	ENSG00000144827
HGNC:16407	83451	ENSG00000106077
HGNC:18289	171022	ENSG00000225969
