entrez_id	essentiality	data_source
122809	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
64359	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
11218	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
401236	Non-essential	PMID:26472758
27115	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
353141	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
10011	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
8567	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
28799	Non-essential	PMID:18239125
222553	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
8546	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
5909	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
23139	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
100287404	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
84992	Non-essential	PMID:26472758,PMID:18239125
956	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
84798	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
127703	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
124975	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
124936	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
53345	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
54986	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
5575	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
9622	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
10686	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
114026	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
3860	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
6703	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
28625	Non-essential	PMID:18239125
3804	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
253769	Non-essential	PMID:26472758,PMID:18239125
352909	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
9372	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
5744	Non-essential	PMID:26472758,PMID:26472760
2249	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
28628	Non-essential	PMID:18239125
28629	Non-essential	PMID:18239125
729852	Non-essential	PMID:18239125
7580	Non-essential	PMID:26472758,PMID:26472760,PMID:19490893,PMID:18239125
8139	Non-essential	PMID:26472758
9079	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
170627	Non-essential	PMID:26472758,PMID:18239125
100534595	Non-essential	PMID:18239125
11194	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
79718	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
3008	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
6515	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
