Disease ID,Disease Name,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C1846821,Coagulation abnormalities,0.05,2140.590909090909,0.01673532152869129,5505.363636363636,0.8532743918641448,0.21666666666666665
C0239981,Hypoalbuminemia,0.0,4171.333333333333,0.0031081239080326885,3103.095238095238,0.6751817632850241,0.08333333333333333
C0266617,Congenital anomaly of face,0.04,4094.867924528302,0.010058197717662308,3374.6415094339623,0.693080573310091,0.09333333333333334
C0026884,Mutism,0.0,1715.8333333333333,0.001739921489408475,6050.333333333333,0.8758716371094222,0.0
C0149745,Oral Ulcer,0.05,2239.8333333333335,0.01297246618479767,2822.1666666666665,0.7872709826924469,0.15
C0265215,Meckel-Gruber syndrome,0.7,831.9166666666666,0.27279500366153403,10196.666666666666,0.9681421536678977,0.8
C0235153,"Hallucinations, Sensory",0.03333333333333333,3770.483870967742,0.005497897956127647,3155.0967741935483,0.7068080734832004,0.13333333333333333
C0037286,Skin Neoplasms,0.056666666666666664,2797.163636363636,0.021730150202126226,2794.7818181818184,0.7998887355319871,0.2
C1837087,Macular pigmentary changes,0.15,2775.4285714285716,0.11795607629707994,3649.5714285714284,0.7278681103787934,0.15
C0575081,Gait abnormality,0.02727272727272727,4887.4375,0.00462862652139044,4291.8125,0.6417470164479429,0.05378787878787879
C4023911,Aplasia/Hypoplasia of the breasts,0.0,2749.5,0.0018050958989334416,4315.4,0.7423068568532328,0.0
C0236736,Cocaine-Related Disorders,0.06428571428571428,3416.4050632911394,0.015840360951531123,3543.0632911392404,0.7482065539430733,0.1392857142857143
C0242350,Erectile dysfunction,0.16666666666666666,4317.666666666667,0.017170112349841248,3371.4814814814813,0.6672363588033444,0.16666666666666666
C4082173,Porencephaly,0.25,4163.8,0.01840470593229818,3720.0666666666666,0.6723598435462843,0.3
C0020505,Hyperphagia,0.0,5664.5,0.0012813809520984295,4481.555555555556,0.5808556110990365,0.05
C2053437,Full lower lip,0.025,3511.108695652174,0.01698925861666052,4988.021739130435,0.7409702359346642,0.135
C0158775,Congenital anomaly of spine,0.1,4226.857142857143,0.017073416135507093,3865.3571428571427,0.7419678423987832,0.3
C0018800,Cardiomegaly,0.039090909090909086,3486.7128712871286,0.009728055565979794,3361.4851485148515,0.7460297508613836,0.07818181818181819
C0002880,Autoimmune hemolytic anemia,0.0,3810.818181818182,0.0008190989932632231,2796.181818181818,0.714771904417089,0.0
C0030354,Papilloma,0.16666666666666666,1231.2173913043478,0.021805549745671324,2706.9565217391305,0.9030892158283811,0.3333333333333333
C0426422,Narrow nose,0.0,4940.3125,0.00033891992507039087,2990.125,0.6146233248822891,0.0
C0018564,Hand deformities,0.13333333333333333,3401.793103448276,0.026532171855146985,4476.793103448276,0.7525715390564578,0.4333333333333333
C0423757,Thin skin,0.025,3235.6470588235293,0.016633735850030557,3947.529411764706,0.7541506491622542,0.11666666666666665
C0241772,"Reflex, Deep Tendon, Absent",0.0,4986.298701298701,0.001578775100901104,4705.090909090909,0.6387700347164478,0.0125
C0431380,Cortical Dysplasia,0.1,1696.0,0.018451999504702492,5420.5,0.8732785460864527,0.4
C4280262,Dystrophic tooth enamel,0.1,3245.5714285714284,0.019382328139938093,4152.523809523809,0.772576690821256,0.3333333333333333
C1800706,Idiopathic Pulmonary Fibrosis,0.0,5788.2,0.0008240769469775276,6663.0,0.6317102309753094,0.0
C1862863,Sparse body hair,0.08333333333333333,4400.740740740741,0.01191145654149266,3822.1111111111113,0.668378763713692,0.18333333333333332
C0266423,Congenital anomaly of testis,0.2,4321.3,0.0675484535332214,4439.875,0.6603820477468979,0.225
