Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C0014175,Endometriosis,0.2747619047619048,0.02,5249.456375838926,0.013217963187211721,6923.362416107382,0.7545778836571998,0.07380952380952381
C1846223,Adrenal hypoplasia,0.15,0.0,4196.25,0.0011773758384211674,6539.0,0.8190809932699002,0.05
C1833999,Pigmentary retinal degeneration,0.35,0.35,4738.818181818182,0.10561429381124625,8059.090909090909,0.7871112967604195,0.35
C0007273,Carotid Artery Diseases,0.2,0.0,4312.909090909091,0.0027538584028415957,3418.909090909091,0.7905643738977073,0.1
C0027080,Myoglobinuria,0.35,0.0,4160.272727272727,0.003204810799085178,5442.272727272727,0.8016986911723754,0.2
C4073292,Afro-textured hair,0.4,0.1,2296.769230769231,0.007252533029065709,5837.153846153846,0.8727975306349796,0.25
C3494422,Retrognathia,0.09666666666666668,0.0,5688.309090909091,0.0009002609087227278,5698.418181818181,0.7362011285771867,0.0
C0026351,Moderate mental retardation (I.Q. 35-49),0.11666666666666665,0.0,7434.285714285715,0.000756490573225887,9039.285714285714,0.6565996253115952,0.0
C0011615,"Dermatitis, Atopic",0.525,0.125,3973.121212121212,0.014154113109757002,5992.151515151515,0.8227017902496438,0.225
C0014550,"Epilepsies, Myoclonic",0.24166666666666664,0.03333333333333333,6326.40625,0.006672163046169495,4894.4375,0.699867982965544,0.125
C0241005,Creatine phosphokinase serum increased,0.2209090909090909,0.02727272727272727,4496.733944954129,0.006680675325187113,5700.073394495413,0.7908712827642332,0.05545454545454546
C0029454,Osteopetrosis,0.3,0.0,4580.0,0.00331754313212732,8319.25,0.7588419586911116,0.1
C1858085,Malar flattening,0.20064102564102568,0.007692307692307693,4982.519379844961,0.0036381479705015255,5568.945736434109,0.7674375248297219,0.038461538461538464
C0033578,Prostatic Neoplasms,0.23023049645390073,0.008466312056737589,5344.552742616033,0.009698427166758308,6262.0801687763715,0.7477305576355929,0.02734929078014184
C4025763,Abnormality of the rib cage,0.15,0.0,4307.5,0.0010343344197338356,4668.833333333333,0.7801137154792296,0.0
C4228227,Small thymus,0.3,0.05,5618.7692307692305,0.008096411018470095,4318.384615384615,0.7404358522094319,0.15
C3536714,Renal dysplasia,0.35,0.0,5785.208333333333,0.004784196659321336,7340.708333333333,0.7331773711667363,0.13333333333333333
C0017979,Glycosuria,0.2833333333333333,0.06666666666666667,5306.481481481482,0.0077569969165432375,4678.333333333333,0.7323018269081901,0.16666666666666666
C0021843,Intestinal Obstruction,0.75,0.2,3364.2105263157896,0.04558120514508668,4508.736842105263,0.8515820874733031,0.45
C1112705,Nuclear non-senile cataract,0.65,0.45,2431.3888888888887,0.279204534548565,3281.9444444444443,0.8837411207576953,0.65
C1864897,Cognitive delay,0.20423497267759566,0.0065846994535519125,4748.864909390445,0.011491922520617193,6856.8896210873145,0.7747994574644288,0.016530054644808743
C0029422,Osteochondrodysplasias,0.5017857142857143,0.14285714285714285,3195.7083333333335,0.042201718836288184,6030.083333333333,0.8497639133614815,0.2107142857142857
C4021107,Non-obstructive azoospermia,0.36666666666666664,0.08333333333333333,7095.5,0.017586940698620834,5856.136363636364,0.6787802801640741,0.2333333333333333
C0149725,Lower respiratory tract infection,0.8,0.15,1762.6666666666667,0.027248935682860097,5014.416666666667,0.9374263170109074,0.3
C0085110,Severe Combined Immunodeficiency,0.85,0.15,1759.5294117647059,0.023972220950594238,4636.529411764706,0.9269336118848652,0.3
C4021611,Abnormality of epiphysis morphology,0.425,0.05,5543.51282051282,0.024376948407156644,5476.897435897436,0.738953047061375,0.125
C3278981,"Decreased visual acuity, slowly progressive",0.8,0.05,1480.6153846153845,0.01716795839525394,3574.769230769231,0.9308044002970665,0.55
C0748318,Progressive renal failure,0.0,0.0,8400.153846153846,0.00019818184373870734,7668.307692307692,0.609522372818418,0.0
C0236969,Substance-Related Disorders,0.12454545454545456,0.0,8896.301886792453,0.0011985860322804621,9287.971698113208,0.5870581579159269,0.0
C0007873,Uterine Cervical Neoplasm,0.4333333333333333,0.0,4438.92,0.0025539592684878424,4421.56,0.8082621214935909,0.05
C1956346,Coronary Artery Disease,0.27678571428571425,0.026785714285714284,5228.7945205479455,0.006224776926284942,6612.123287671233,0.7577013292283958,0.09464285714285714
C0424448,Mask-like facies,0.1,0.0,6206.96,0.0008802839784992943,6146.92,0.7107282184655397,0.0
C0016202,Flatfoot,0.24821428571428567,0.014285714285714285,4059.0416666666665,0.004473694253276575,6011.569444444444,0.8104654410053526,0.014285714285714285
C0154676,Organic writer's cramp,0.0,0.0,5532.0,0.0002699791957308047,3452.5,0.7433053325288904,0.0
C0010520,Cyanosis,0.5,0.15,4655.529411764706,0.015439246034556505,4007.529411764706,0.8113370473537606,0.4
C0024667,Animal Mammary Neoplasms,0.2703296703296703,0.021978021978021976,4121.313868613139,0.0072668579532634515,4414.481751824817,0.8080573383199434,0.07307692307692308
C0152025,Polyneuropathy,0.35833333333333334,0.025,4142.945945945946,0.003174280859300218,5023.945945945946,0.8059758364312268,0.025
C0040034,Thrombocytopenia,0.308974358974359,0.007692307692307693,4514.2558139534885,0.007255874737621254,5877.054263565891,0.7892829535283334,0.053846153846153856
C0024668,"Mammary Neoplasms, Experimental",0.30583333333333335,0.01958333333333333,3898.4415584415583,0.008045017424347016,4180.6558441558445,0.8179094733604325,0.07666666666666666
C0037772,Spastic Paraplegia,0.33999999999999997,0.06999999999999999,4180.414634146341,0.010994052292922303,8777.243902439024,0.8085603736754043,0.145
C0022680,Polycystic Kidney Diseases,0.5,0.1,2894.3,0.055394168034560064,5973.05,0.8656823141570321,0.1
C1858573,Sparse pubic hair,0.4749999999999999,0.06666666666666667,5322.806451612903,0.01043640327648802,5899.870967741936,0.7527478398216111,0.2
C1621895,Adrenal hyperplasia,0.8,0.15,1142.0,0.043380091526214755,3822.923076923077,0.9465767731154845,0.45
C0015393,Eye Abnormalities,0.23333333333333334,0.0,5304.666666666667,0.0015226364456154635,6649.848484848485,0.751744177042681,0.03333333333333333
C0452138,"Sensorineural hearing loss, bilateral",0.5,0.05,3951.823529411765,0.010117047535350468,5883.294117647059,0.7970937790157845,0.2
C0232744,Decreased liver function,0.2333333333333333,0.0,5223.727272727273,0.0017839379724852035,8883.40909090909,0.7581711941800171,0.05
C4280808,Abnormally small eyeball,0.30000000000000004,0.01,4871.720430107527,0.006591230071435042,7027.290322580645,0.7719941400588064,0.04333333333333333
C0265974,Birthmark,0.6916666666666667,0.10833333333333332,1907.8,0.043726427288349363,5196.628571428571,0.9110538054084192,0.325
C4280641,Hypotrophic maxilla,0.3761904761904762,0.0,3903.6615384615384,0.0034225801929333955,5740.476923076923,0.8218842227008057,0.07857142857142857
C4024756,Abnormality of macular pigmentation,0.4,0.05,4199.333333333333,0.012243630823169649,6567.2,0.839522792684059,0.3
C1866231,Full cheeks,0.41500000000000004,0.02,4935.591836734694,0.005434517921193015,5923.428571428572,0.774627580435187,0.06000000000000001
C1837142,Poor suck,0.4,0.1,4684.411764705882,0.06116864397681292,6331.0,0.8097725162488393,0.15
