Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
DB06589,DB06589,0.7,0.5,0.993200909639393,0.09675369282017221,147.5,2856.9
DB04522,DB04522,0.2,0.0,0.8924596175269215,0.004984886490613509,2865.0,3734.3846153846152
DB03796,DB03796,0.0,0.0,0.6319348401169537,0.00021770667687743796,7338.9,4664.2
DB06216,DB06216,0.85,0.5,0.9961370600798588,0.08229932695013062,88.6842105263158,1408.7894736842106
DB00246,DB00246,0.7333333333333333,0.5833333333333333,0.9370967242553719,0.2420534201132985,884.72,1505.56
DB00726,DB00726,0.6333333333333333,0.5166666666666666,0.9661504048050279,0.22790223093813985,724.9583333333334,1651.8333333333333
DB00078,DB00078,0.95,0.95,0.99847992573683,0.3756461418081136,53.0,1450.4166666666667
DB00396,DB00396,0.6,0.5,0.8061400659024459,0.502819592846979,4178.0,2440.5
DB05492,DB05492,0.75,0.45,0.985534926897192,0.15085899659020535,272.5,1397.1666666666667
DB00661,DB00661,0.4,0.2,0.873104512953849,0.10679953907480577,1843.157894736842,1704.7894736842106
DB00546,DB00546,0.85,0.65,0.9658350352766432,0.34087092499269595,611.4615384615385,1747.5384615384614
DB00313,DB00313,0.25,0.2,0.8522785309685206,0.057393108841562936,3210.842105263158,4613.526315789473
DB05147,DB05147,0.9,0.8,0.9989787392071303,0.7068688098035925,24.6,11981.266666666666
DB01873,DB01873,1.0,0.85,0.9995196324143694,0.5296163850407506,13.636363636363637,10185.727272727272
DB04216,DB04216,0.16666666666666666,0.08333333333333333,0.8564962305918048,0.008528073775600633,3054.25,3505.7083333333335
DB11148,DB11148,0.36666666666666664,0.2,0.789664793659639,0.03299996748214773,3521.695652173913,2672.7391304347825
DB01065,DB01065,0.4,0.2,0.8818118531582122,0.016976806568973452,2547.4,2543.4
DB00119,DB00119,0.1,0.0,0.7125458385554472,0.002236858935174777,5464.5,5802.571428571428
DB08846,DB08846,0.45,0.35,0.7385096555565871,0.036202371398722365,5181.933333333333,2960.733333333333
DB00599,DB00599,0.65,0.5,0.9199700640490114,0.23579996249467966,1113.5454545454545,1520.7272727272727
DB00334,DB00334,0.6583333333333333,0.5666666666666667,0.9209020518776615,0.2676210494144623,1526.75,1488.5
DB00277,DB00277,0.25,0.25,0.7154307663742283,0.017834847419446565,4789.642857142857,5852.928571428572
DB04464,DB04464,0.6,0.55,0.8845311072926825,0.15089538560142798,2478.4166666666665,2440.9166666666665
DB02010,DB02010,0.5,0.3,0.955442350538433,0.22475013977861424,1422.076923076923,3177.076923076923
DB00075,DB00075,1.0,0.7,0.9988696499860736,0.18352335164835165,20.666666666666668,1291.2
DB00139,DB00139,0.45,0.45,0.8116322992135737,0.2876983674776209,4150.56,7215.36
DB04855,DB04855,0.7,0.55,0.906129294336119,0.2024455538078819,1789.1176470588234,717.0
DB00184,DB00184,0.6,0.6,0.9394353940406572,0.30046113608546576,1085.4545454545455,2068.818181818182
DB01174,DB01174,0.75,0.65,0.9706658466394356,0.45923387911580305,896.3076923076923,4955.846153846154
DB02379,DB02379,0.35,0.1,0.8360902168361426,0.01214905196707362,3240.4,5227.95
DB00568,DB00568,0.35,0.25,0.880249292047723,0.13477603226548757,2044.0,2136.5
DB08231,DB08231,0.05,0.0,0.811004055225359,0.002750043024535681,3940.0,3753.6190476190477
DB00696,DB00696,0.7,0.55,0.9433777447657954,0.12498231115888696,1154.0,1584.5
DB00852,DB00852,0.55,0.35,0.9515276036588197,0.06263539875827334,1045.45,3968.5
DB04799,DB04799,1.0,1.0,0.9999953589826889,0.95,1.1,6121.4
DB11823,DB11823,0.8,0.7,0.977022323293266,0.6187773218601439,496.1,5612.1
DB01373,DB01373,0.1,0.0,0.8138986906862289,0.003578952235973898,3860.5789473684213,3279.5263157894738
DB03461,DB03461,0.3,0.2,0.9371529874432936,0.01709653758170545,1437.857142857143,4412.428571428572
DB01069,DB01069,0.65,0.5,0.991624895572264,0.23594674593947848,190.0909090909091,1469.0
DB00193,DB00193,0.5,0.3,0.9166612521464705,0.25642855787629004,1149.3,4476.2
DB01109,DB01109,0.65,0.55,0.984311905314458,0.08429029761825307,313.3333333333333,2397.1666666666665
DB00786,DB00786,0.9,0.75,0.9311185401866556,0.3093917212521556,1784.7,5332.2
DB09286,DB09286,0.9,0.7,0.9972478767345802,0.2610106224606895,60.3,1030.4
DB00996,DB00996,0.75,0.65,0.9928007797994802,0.5692817854892361,234.0,5146.7692307692305
DB01942,DB01942,0.0,0.0,0.7909670008354219,0.0014435726408617636,4603.272727272727,4695.909090909091
DB00555,DB00555,0.625,0.4666666666666666,0.8990315074645358,0.30707850584246066,1845.2727272727273,1941.5454545454545
DB00783,DB00783,0.4444444444444444,0.0,0.8175597632159727,0.009250843368400433,3932.222222222222,3360.0
DB01142,DB01142,0.6,0.35,0.9153890797659949,0.11871225052906123,1410.6842105263158,2673.3684210526317
DB12141,DB12141,0.25,0.2,0.7731638811513463,0.12392682024530714,3878.176470588235,3081.764705882353
DB00454,DB00454,0.8,0.65,0.9606761524534608,0.1459159350628246,712.9375,2414.25
DB06151,DB06151,0.7,0.7,0.8365851394625702,0.5178089680448854,3434.3,4421.2
DB06637,DB06637,0.9,0.8,0.9659715452815301,0.19790261712836557,622.8571428571429,2864.5714285714284
DB00116,DB00116,0.65,0.65,0.889923883783533,0.08016797495691515,1994.2727272727273,5704.0
DB00734,DB00734,0.9,0.45,0.9868292173428651,0.2033750521941907,366.46666666666664,1313.2
DB00368,DB00368,0.75,0.55,0.9154142492457649,0.23872555608847565,2303.4166666666665,1137.1666666666667
DB00308,DB00308,0.0,0.0,0.5436505174254026,0.00024240016675823538,8424.75,3661.875
DB03814,DB03814,0.1,0.1,0.5927891756405497,0.005161147236850652,7647.538461538462,5050.538461538462
DB01645,DB01645,0.6,0.1,0.9319807379902529,0.015785361541348724,1798.9166666666667,3162.1666666666665
DB00243,DB00243,0.7,0.5,0.9231909955906243,0.25698222125411013,1699.5,404.9166666666667
DB04137,DB04137,0.3,0.3,0.7343876177658143,0.015476062585803632,6150.6,5521.8
DB04447,DB04447,0.0,0.0,0.804726876131248,0.001451723138333532,4208.5,3892.6
DB01239,DB01239,0.9,0.55,0.9960849385008123,0.24726353854451316,74.41666666666667,1707.5
