Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
DB06589,DB06589,0.5,0.2,0.9931777045528379,0.02029411343160416,148.0,2856.9
DB04522,DB04522,0.1,0.0,0.8639551615298922,0.003828477804302384,3595.076923076923,3734.3846153846152
DB03796,DB03796,0.0,0.0,0.641913027335592,0.00021023756569122005,7716.7,4664.2
DB06216,DB06216,0.25,0.0,0.9748119602562912,0.008626506748359332,541.7368421052631,1408.7894736842106
DB00246,DB00246,0.18333333333333332,0.05,0.9318224038640164,0.011446619544542663,1702.84,1505.56
DB00726,DB00726,0.06666666666666667,0.0,0.9183493552531772,0.005274435344688139,1907.7083333333333,1651.8333333333333
DB00078,DB00078,0.8,0.5,0.9944998839637966,0.1512292120659516,177.08333333333334,1450.4166666666667
DB00396,DB00396,0.2,0.0,0.8429247691093888,0.0051620504981707924,3385.5,2440.5
DB05492,DB05492,0.2,0.1,0.9719215595265724,0.012291617318226422,536.5833333333334,1397.1666666666667
DB00661,DB00661,0.3,0.1,0.8475299470702943,0.01457620566276307,2784.3684210526317,1704.7894736842106
DB00546,DB00546,0.8,0.7,0.9808113627924249,0.1650404357356344,630.8461538461538,1747.5384615384614
DB00313,DB00313,0.15,0.15,0.9126938434395024,0.03360676684386357,1972.9473684210527,4613.526315789473
DB05147,DB05147,0.7,0.5,0.9968805124872342,0.12492069529769403,71.66666666666667,11981.266666666666
DB01873,DB01873,0.65,0.25,0.9926691729323309,0.03100674589665802,154.8181818181818,10185.727272727272
DB04216,DB04216,0.08333333333333333,0.08333333333333333,0.8626820848619948,0.018372105929728034,2923.9583333333335,3505.7083333333335
DB11148,DB11148,0.25,0.06666666666666667,0.766617132596514,0.01106799511120851,4834.130434782609,2672.7391304347825
DB01065,DB01065,0.3,0.1,0.9159790226017543,0.009075421042133843,1811.4,2543.4
DB00119,DB00119,0.0,0.0,0.7045397576939145,0.0004916723306906904,5930.714285714285,5802.571428571428
DB08846,DB08846,0.15,0.0,0.7093282889239625,0.005120693839698889,5531.733333333334,2960.733333333333
DB00599,DB00599,0.65,0.5,0.878826696370556,0.1284408658455028,2575.2727272727275,1520.7272727272727
DB00334,DB00334,0.425,0.275,0.8998532713898568,0.05206552418845027,2135.375,1488.5
DB00277,DB00277,0.0,0.0,0.7838880378777329,0.0020593945065140126,3699.1428571428573,5852.928571428572
DB04464,DB04464,0.23333333333333334,0.16666666666666666,0.8832323255777954,0.01568161131999072,2582.7916666666665,2440.9166666666665
DB02010,DB02010,0.2,0.1,0.9450078908280727,0.017296277667209217,1626.0,3177.076923076923
DB00075,DB00075,0.8,0.4,0.9976232476093214,0.08560250862417704,53.86666666666667,1291.2
DB00139,DB00139,0.45,0.45,0.797322202613165,0.12175263777466924,4578.8,7215.36
DB04855,DB04855,0.25,0.05,0.9038231197771587,0.02201433290795785,2392.8823529411766,717.0
DB00184,DB00184,0.6,0.55,0.8823981249419847,0.20147661541433104,2308.181818181818,2068.818181818182
DB01174,DB01174,0.5,0.2,0.9361307092461939,0.08618490214545665,1524.5384615384614,4955.846153846154
DB02379,DB02379,0.1,0.0,0.8314064168640014,0.0031631629171193264,3632.5,5227.95
DB00568,DB00568,0.0,0.0,0.8645466784271854,0.0029005139286952435,3410.375,2136.5
DB08231,DB08231,0.2,0.15,0.8551588038632987,0.06212192056604247,2997.714285714286,3753.6190476190477
DB00696,DB00696,0.3,0.15,0.9362042152174921,0.033649961076159016,1636.4375,1584.5
DB00852,DB00852,0.4,0.15,0.9385615452477133,0.03382615792806187,1324.7,3968.5
DB04799,DB04799,1.0,0.2,0.997586670998283,0.21236714975845414,53.0,6121.4
DB11823,DB11823,0.8,0.4,0.9899011463312759,0.1268288913876065,218.6,5612.1
DB01373,DB01373,0.1,0.0,0.8336788466895719,0.004558276553771751,3558.2105263157896,3279.5263157894738
DB03461,DB03461,0.15,0.15,0.9274946970752629,0.07949594598623168,1663.5,4412.428571428572
DB01069,DB01069,0.15,0.0,0.9758098951081408,0.005997497031590151,490.90909090909093,1469.0
DB00193,DB00193,0.3,0.0,0.8958045203508609,0.006470027749825762,2246.1,4476.2
