Disease ID,Disease Name,Recall-at-100,NDCG-at-100,Recall-at-25,NDCG-at-25,Recall-at-10,NDCG-at-10,AUROC,Mean Average Precision,MRR,Fmax,AUPRC,Ranks,Nodes
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",0.08666666666666667,0.041193808859563294,0.04444444444444444,0.026102339950710894,0.02222222222222222,0.01449043760061552,0.739312121576647,0.01068722012954111,0.006179058876866822,0.05170638688514534,0.0076201698471315025,1447.4175824175825,2693.2417582417584
GO:0019904,protein domain specific binding,0.1,0.023540891336663823,0.1,0.023540891336663823,0.0,0.0,0.815614440690023,0.007149627782092249,0.007149627782092249,0.013704384655625035,0.0035748138910461245,1037.8,2645.0
GO:0004521,endoribonuclease activity,0.03333333333333333,0.00732173666263434,0.0,0.0,0.0,0.0,0.5013960787813876,0.0015021811207612972,0.0011087383759425338,0.005301010605491207,0.0009485149669014318,2783.1612903225805,2992.1935483870966
GO:1901505,carbohydrate derivative transmembrane transporter activity,0.0,0.0,0.0,0.0,0.0,0.0,0.4717921338316427,0.00048318697114422296,0.00043480890438585404,0.0011223524110667577,0.0002658226380548416,2976.0714285714284,3413.0714285714284
GO:0008092,cytoskeletal protein binding,0.2261904761904762,0.10135258587880827,0.12142857142857141,0.0670003030816941,0.04523809523809524,0.03201799070750601,0.7637434028757901,0.0232105738719443,0.01656296988387535,0.09288014766224748,0.015042885117103943,1319.9848484848485,2659.060606060606
GO:0015215,nucleotide transmembrane transporter activity,0.0,0.0,0.0,0.0,0.0,0.0,0.6921396797153025,0.001357145613470652,0.0013204014101252247,0.0031349970793262487,0.000697146776690403,1959.3846153846155,3467.3076923076924
GO:0032266,phosphatidylinositol-3-phosphate binding,0.05833333333333333,0.01697370077817296,0.025,0.009550669086270785,0.0,0.0,0.7634747023809524,0.004636841526253292,0.0036107012088931025,0.01852066505260042,0.0028323182817584862,1340.4545454545455,2592.4848484848485
GO:0003697,single-stranded DNA binding,0.19333333333333333,0.06101849678433642,0.04,0.016814562162434606,0.0,0.0,0.816286209162038,0.011105558124956588,0.007175887883787052,0.04805717310978418,0.00752865045771438,1018.8076923076923,2584.173076923077
GO:0046872,metal ion binding,0.025,0.007386004580671933,0.0,0.0,0.0,0.0,0.5515108267716535,0.0018716837973228539,0.0012461081961300663,0.008030385212877762,0.0012493823756213884,2527.9555555555557,2703.6
GO:0016891,"endoribonuclease activity, producing 5'-phosphomonoesters",0.0,0.0,0.0,0.0,0.0,0.0,0.5867497773820125,0.0011258756218682606,0.0009990962160475135,0.0026312384935321524,0.0006266611450379418,2482.0,2813.8888888888887
GO:0140101,"catalytic activity, acting on a tRNA",0.0125,0.0038681229508906387,0.0,0.0,0.0,0.0,0.5825083288312624,0.0024607725996006967,0.0009520203253881272,0.007927750068296447,0.0019858923300513976,2322.7125,2751.775
GO:1901682,sulfur compound transmembrane transporter activity,0.0,0.0,0.0,0.0,0.0,0.0,0.5376690993236026,0.0006998904549542593,0.000641614251580795,0.0014738955715410105,0.0003800347879880996,2850.866666666667,2377.4666666666667
GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors",0.014285714285714285,0.004870363873060746,0.0,0.0,0.0,0.0,0.5427651729035128,0.002039393619625814,0.0009953344633834246,0.008083952691139994,0.0015420923941441278,2563.417910447761,2589.820895522388
GO:0016791,phosphatase activity,0.12638888888888888,0.052422458680035346,0.03333333333333333,0.019280677786452552,0.01111111111111111,0.009092803061897884,0.6639006612563871,0.010235821365625269,0.006320589975335279,0.050544700110007744,0.007085422036618158,1866.6022727272727,2913.6363636363635
GO:0016866,intramolecular transferase activity,0.0,0.0,0.0,0.0,0.0,0.0,0.4756364607441695,0.0007627325516651358,0.00068771456375702,0.002175710499288026,0.00041914399210270253,2881.875,2999.375
GO:0001047,core promoter binding,0.15,0.02493484118193073,0.0,0.0,0.0,0.0,0.7972686832740212,0.0036301026109824787,0.0031018781590811595,0.00781835589902465,0.0020806702976735635,974.0,3264.076923076923
GO:0001091,RNA polymerase II general transcription initiation factor binding,0.3,0.05414452205422149,0.0,0.0,0.0,0.0,0.897154543837809,0.00869535739286196,0.00869535739286196,0.017018631596172663,0.00434767869643098,579.3,2549.6
GO:0005342,organic acid transmembrane transporter activity,0.0,0.0,0.0,0.0,0.0,0.0,0.4743301063702641,0.0014168355207286308,0.0006793531195792467,0.005013109450808126,0.001074177259727678,2917.8727272727274,2573.9454545454546
GO:0042393,histone binding,0.25,0.07676177665929432,0.075,0.03229852603693124,0.025,0.013012668333070054,0.8353075272662256,0.01428588345845556,0.011040481047522824,0.05575998397642158,0.00877768971638345,923.65,2891.675
GO:0019205,nucleobase-containing compound kinase activity,0.3,0.06244043044811095,0.1,0.021810429198553156,0.0,0.0,0.6887099644128114,0.010812307433379034,0.010189514889422022,0.021667310833127854,0.005720359701436405,1485.8461538461538,2736.076923076923
GO:0016741,"transferase activity, transferring one-carbon groups",0.02361111111111111,0.008099431401556084,0.0,0.0,0.0,0.0,0.5455818555254984,0.0029121335590457298,0.0012991878261090957,0.013064842318904871,0.0022634328624231677,2529.943181818182,2532.715909090909
GO:0019789,SUMO transferase activity,0.2,0.08063548171534121,0.1,0.06309297535714575,0.1,0.06309297535714575,0.879626334519573,0.05376355061894287,0.05346000576157517,0.07464501821572683,0.02703399380841585,674.0,2482.0
GO:0043130,ubiquitin binding,0.21666666666666665,0.05434959822102011,0.0,0.0,0.0,0.0,0.6942843312481382,0.006270607185229139,0.004479841037916854,0.026465778043188087,0.00403789846163146,1752.4736842105262,2569.0
GO:0008175,tRNA methyltransferase activity,0.05,0.011444540197406202,0.0,0.0,0.0,0.0,0.4685785536159601,0.0018565469200234185,0.0017014598984855345,0.005934326014616499,0.00100594650022139,3036.7368421052633,2790.315789473684
GO:0015171,amino acid transmembrane transporter activity,0.0,0.0,0.0,0.0,0.0,0.0,0.4627745045527584,0.0009413104347823099,0.0006162210803918689,0.0028931273380198032,0.0006337859817328555,2946.0,2532.4375
GO:0031369,translation initiation factor binding,0.0,0.0,0.0,0.0,0.0,0.0,0.7215468138127448,0.0016620193230133147,0.0015341835122169233,0.004266336826449229,0.0008949713766171067,1689.6,3368.6666666666665
GO:0019901,protein kinase binding,0.0,0.0,0.0,0.0,0.0,0.0,0.8581184421127512,0.003519753999958474,0.003519753999958474,0.006992823090280658,0.001759876999979237,798.8,2927.4
GO:0016628,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor",0.0,0.0,0.0,0.0,0.0,0.0,0.4157033611950916,0.0005040064194950199,0.0005041113686957904,0.0010072444551186776,0.00025200320974750993,3298.1,2807.9
GO:0060590,ATPase regulator activity,0.05,0.012495636102304827,0.0,0.0,0.0,0.0,0.6245792447219743,0.0029577485746894914,0.002575521222123274,0.00993000163112927,0.001670099490698777,2115.6071428571427,2663.1785714285716
GO:0017137,Rab GTPase binding,0.3,0.056786763966771826,0.0,0.0,0.0,0.0,0.8380674737404308,0.009254114736853664,0.008232432050471385,0.02081725919079944,0.005144889837199526,1019.25,2319.875
GO:0051010,microtubule plus-end binding,0.1,0.031546487678572877,0.1,0.031546487678572877,0.1,0.031546487678572877,0.9104766986837424,0.015420560672990477,0.015201262427376442,0.028227215331073467,0.007820412495085546,475.54545454545456,2493.909090909091
GO:0070491,repressing transcription factor binding,0.1,0.027035252663899133,0.05,0.017723928678404773,0.05,0.017723928678404773,0.8592398077265445,0.00821513244024551,0.007982502343218395,0.025077613016263118,0.004223984210962942,821.9375,2582.5
GO:0004519,endonuclease activity,0.056666666666666664,0.01776289625773577,0.0,0.0,0.0,0.0,0.598004000955452,0.0034867724638221456,0.002324051443668601,0.015725394937586998,0.0023271055654226895,2246.3333333333335,2945.0
GO:0140030,modification-dependent protein binding,0.45,0.10070441998844726,0.1,0.03348270430966606,0.05,0.020438239758848613,0.8774354407836154,0.01630900849496274,0.015440653156062929,0.04731417981511483,0.008591647256450782,737.2777777777778,3303.6666666666665
GO:0051219,phosphoprotein binding,0.15,0.041663299317375016,0.05,0.026406812257259087,0.05,0.026406812257259087,0.9241462113127001,0.01621198427484279,0.01615370921656773,0.04047888598467908,0.008135163666009493,427.8181818181818,2508.0
GO:0004222,metalloendopeptidase activity,0.0,0.0,0.0,0.0,0.0,0.0,0.5776374310620886,0.0007971091655154082,0.0007694366843177347,0.0016899337732186291,0.0004132141521707653,2335.3333333333335,2585.75
GO:0035251,UDP-glucosyltransferase activity,0.3,0.07239877721967036,0.2,0.05714229015955443,0.1,0.031546487678572877,0.8840597758405977,0.021964085807146944,0.021904458895553168,0.04023257076010597,0.011011877685624113,779.1666666666666,2252.4166666666665
GO:0004659,prenyltransferase activity,0.0,0.0,0.0,0.0,0.0,0.0,0.8202046263345195,0.0031468989359472025,0.002769546079878705,0.0066513536942261866,0.001762816172318773,995.8461538461538,3082.3076923076924
GO:0016765,"transferase activity, transferring alkyl or aryl (other than methyl) groups",0.0,0.0,0.0,0.0,0.0,0.0,0.5099299970211498,0.0013620652196187088,0.0008808946741818048,0.004750180931138151,0.0009218003394228241,2781.3684210526317,2578.6315789473683
GO:0008409,5'-3' exonuclease activity,0.2222222222222222,0.03919474238125199,0.0,0.0,0.0,0.0,0.6667456930614826,0.005106181484112151,0.005106586436718362,0.010019234847494595,0.0025530907420560755,1871.7777777777778,2731.222222222222
GO:0016278,lysine N-methyltransferase activity,0.2333333333333333,0.06689009806245162,0.15,0.04664104824762867,0.05,0.018457569677956816,0.6163206818721786,0.013968722582861295,0.013473622271362876,0.04710713284752889,0.007232888569313575,2093.8571428571427,2496.5714285714284
GO:0017025,TBP-class protein binding,0.2,0.045423169081156275,0.1,0.02675792795726194,0.0,0.0,0.8244171560775937,0.008138769095003173,0.007857234190976161,0.02301094583395339,0.004210420481312485,937.8571428571429,3073.785714285714
GO:0018024,histone-lysine N-methyltransferase activity,0.6,0.24933669388579757,0.4,0.21343633289973143,0.4,0.21343633289973143,0.8477147430197401,0.16376641817546628,0.16376641817546628,0.20481389967164615,0.13188320908773313,857.3,2275.4
GO:0005484,SNAP receptor activity,0.6166666666666666,0.2453369009454402,0.25,0.16313353699165223,0.2,0.14743954255385922,0.9239083942256283,0.11571405782583499,0.10741804063011381,0.19311443932411676,0.08719836925514675,466.90909090909093,2480.1363636363635
