Disease ID,Disease Name,Recall-at-100,NDCG-at-100,Recall-at-25,NDCG-at-25,Recall-at-10,NDCG-at-10,AUROC,Mean Average Precision,MRR,Fmax,AUPRC,Ranks,Nodes
GO:0031398,positive regulation of protein ubiquitination,0.3,0.07363929008564346,0.05,0.026406812257259087,0.05,0.026406812257259087,0.8125587278641125,0.01964728492111948,0.01955369410734461,0.05076628726668213,0.00987047117798133,1223.857142857143,2563.0714285714284
GO:0045324,late endosome to vacuole transport,0.205,0.06996820412794637,0.06000000000000001,0.02877274305138311,0.02,0.010699313236726378,0.8505299036538811,0.016486353744305453,0.010559409565723607,0.060314850057215375,0.011284742502735975,802.2765957446809,2965.936170212766
GO:0051099,positive regulation of binding,0.0,0.0,0.0,0.0,0.0,0.0,0.6168111231491513,0.0006349425974791481,0.0006349425974791481,0.0012687862760798513,0.00031747129873957404,2123.1,2521.0
GO:0006412,translation,0.05714285714285714,0.01802681371223219,0.0,0.0,0.0,0.0,0.7436456485442972,0.004838331947070227,0.002282757731497399,0.01801552656403326,0.0036991128060255693,1417.236111111111,3028.5
GO:0045454,cell redox homeostasis,0.05,0.010466868931043802,0.0,0.0,0.0,0.0,0.640003615328995,0.001874346715984816,0.0017627638685619666,0.005527625205753221,0.0009929949560496558,2170.5625,2722.4375
GO:0000011,vacuole inheritance,0.2,0.06364185943804929,0.05,0.03868528072345416,0.05,0.03868528072345416,0.8621203904555316,0.029052913324308337,0.028760997122567793,0.05884515757246996,0.014672671738178083,909.25,2602.6875
GO:0030148,sphingolipid biosynthetic process,0.06666666666666667,0.02010456746050206,0.03333333333333333,0.010235170428306553,0.0,0.0,0.7624924544247254,0.005828861387502081,0.004608492612496677,0.02068313456647646,0.003526948897926749,1292.0384615384614,2605.653846153846
GO:0045991,carbon catabolite activation of transcription,0.06666666666666667,0.014902640412868384,0.0,0.0,0.0,0.0,0.8103464928166122,0.0037072631691150828,0.003026400260739551,0.012497770145390087,0.0021945404073775605,1095.423076923077,2593.6153846153848
GO:0009144,purine nucleoside triphosphate metabolic process,0.6,0.1370881130018424,0.25,0.0752343125065636,0.05,0.02184074368181642,0.9143050786191939,0.02940641550147628,0.02775395623071029,0.06837663054879067,0.015542636858048315,606.2666666666667,2189.4666666666667
GO:0006575,cellular modified amino acid metabolic process,0.1,0.024813196900148476,0.0,0.0,0.0,0.0,0.6621368917937546,0.0027654288435889616,0.0020261195606124855,0.012692922367427997,0.001752648001783981,1863.45,2585.275
GO:0032273,positive regulation of protein polymerization,0.45,0.11837052548473874,0.1,0.046845052016107704,0.1,0.046845052016107704,0.9392547033285095,0.02930725058612188,0.0272588179989046,0.07790009183521104,0.01568566751782661,337.3,2832.2
GO:0051494,negative regulation of cytoskeleton organization,0.38333333333333336,0.19797617153613684,0.21666666666666665,0.15856489975605978,0.15,0.13697860295843062,0.8503835235851905,0.09757937861658629,0.09289479993551789,0.1793112794491583,0.08454323587982124,853.6206896551724,2453.344827586207
GO:0006612,protein targeting to membrane,0.13333333333333333,0.03629655075558813,0.0,0.0,0.0,0.0,0.7183868432190581,0.005934654851287442,0.00443042649705144,0.02383942359614679,0.0037224308617707326,1535.0,3149.4
GO:0008535,respiratory chain complex IV assembly,0.25,0.06754400685277029,0.08333333333333333,0.027326263230106135,0.0,0.0,0.951940019309679,0.015668310231427965,0.01302324205018674,0.04775080200499733,0.009163128972661366,277.7083333333333,3181.5833333333335
GO:0043624,cellular protein complex disassembly,0.025,0.006028352682421084,0.0,0.0,0.0,0.0,0.6654656151800821,0.0021663828994068555,0.0014254610651282629,0.0066899432130516885,0.00145422579224037,1799.4375,2666.59375
GO:2000222,positive regulation of pseudohyphal growth,0.2,0.03431103874792627,0.0,0.0,0.0,0.0,0.8148057813911473,0.004839558567803578,0.004689082783673507,0.009905209940353701,0.002495103854266275,971.3076923076923,1984.8461538461538
GO:0034501,protein localization to kinetochore,0.45,0.08762884683861012,0.05,0.017723928678404773,0.05,0.017723928678404773,0.8841881885497562,0.015480419728424117,0.01537358212158651,0.03678356529949936,0.007793743054790217,605.6363636363636,2770.090909090909
GO:0000447,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.4666666666666667,0.19151360165005965,0.2,0.1196982513431184,0.125,0.09037041384322132,0.9353164518666425,0.06457301252326578,0.04987468261880619,0.15233598550101257,0.039983207159885445,357.87179487179486,2633.1794871794873
GO:0006354,"DNA-templated transcription, elongation",0.24761904761904757,0.09467090509705886,0.08095238095238096,0.04162894981417056,0.03333333333333333,0.021557830904902188,0.8291876035998508,0.020057024900421615,0.013098570311895697,0.07690078028958355,0.013564131345506908,938.3934426229508,2729.0491803278687
GO:0006413,translational initiation,0.05,0.00961793569072736,0.0,0.0,0.0,0.0,0.511037667511771,0.0014728649782802905,0.0012070927532446033,0.004917475427460577,0.0008693797818159699,2657.9615384615386,1953.1923076923076
GO:0006797,polyphosphate metabolic process,0.0,0.0,0.0,0.0,0.0,0.0,0.48643179765130984,0.0008404001850271647,0.0007773746592169991,0.002116808754354009,0.0004517270348139119,2624.6923076923076,2838.3846153846152
GO:0006972,hyperosmotic response,0.2,0.045291488282918076,0.0,0.0,0.0,0.0,0.7416470800940156,0.007800866549299933,0.0064900069726878135,0.019822836507257545,0.004561896792124761,1204.5882352941176,2643.6470588235293
GO:0000082,G1/S transition of mitotic cell cycle,0.08333333333333333,0.019233818989347062,0.0,0.0,0.0,0.0,0.7112146994931209,0.004052747166942547,0.003588274527369055,0.013285917322622931,0.0022589379875751917,1606.2916666666667,3386.75
GO:0006407,rRNA export from nucleus,0.25,0.060394057426913325,0.1,0.031546487678572877,0.1,0.031546487678572877,0.9159284035436629,0.01924110684264862,0.01790942357004626,0.03763414770615796,0.010290993029624823,527.3529411764706,2192.9411764705883
GO:0017148,negative regulation of translation,0.11666666666666665,0.046755791617738754,0.06666666666666667,0.0370291336443826,0.06666666666666667,0.0370291336443826,0.7551843804695515,0.017259472857098578,0.01663093448074319,0.05642781266844234,0.00894459805137383,1356.44,2444.52
GO:0032881,regulation of polysaccharide metabolic process,0.0,0.0,0.0,0.0,0.0,0.0,0.38721750135599353,0.0005320211817874368,0.00044842340105806294,0.0011780293738646666,0.0003078197969095405,3361.9411764705883,3108.823529411765
GO:1901659,glycosyl compound biosynthetic process,0.0,0.0,0.0,0.0,0.0,0.0,0.6953675275419903,0.0016438317165817173,0.0016300309989444,0.0033018577605746354,0.0008288181222334318,1857.3636363636363,1797.909090909091
GO:0009073,aromatic amino acid family biosynthetic process,0.2,0.10179792113112081,0.15,0.09141771884294396,0.15,0.09141771884294396,0.7252982646420824,0.06262439162299041,0.06248721050100899,0.09122974662983126,0.05638081963989353,1547.75,2933.9375
GO:0006283,transcription-coupled nucleotide-excision repair,0.3,0.09382904325534065,0.3,0.09382904325534065,0.2,0.07201861405678749,0.7684904297580355,0.039403795385765085,0.039403795385765085,0.06820380840904407,0.019701897692882542,1283.1,2890.5
