Disease ID,Disease Name,Recall-at-100,NDCG-at-100,Recall-at-25,NDCG-at-25,Recall-at-10,NDCG-at-10,AUROC,Mean Average Precision,MRR,Fmax,AUPRC,Ranks,Nodes
GO:2000677,regulation of transcription regulatory region DNA binding,0.2833333333333333,0.11322340315223042,0.05833333333333333,0.05691996325438918,0.03333333333333333,0.04692787260227564,0.8681673868264956,0.044282532145292375,0.04094728050027877,0.08724420910894262,0.04050669126225985,2747.205882352941,7239.382352941177
GO:0060338,regulation of type I interferon-mediated signaling pathway,0.25,0.0642213679929674,0.05,0.026406812257259087,0.05,0.026406812257259087,0.8692632654008634,0.017821650002079466,0.016764263775294056,0.042553616938338895,0.009447052704307483,3146.4375,10827.8125
GO:0006029,proteoglycan metabolic process,0.31666666666666665,0.09226023900992562,0.1,0.0435101206640309,0.05,0.026406812257259087,0.8323744292237445,0.024138220675526824,0.022742746111727156,0.0696827607949237,0.012777113319116407,3452.181818181818,10755.90909090909
GO:0055067,monovalent inorganic cation homeostasis,0.22000000000000003,0.0845108644016469,0.1,0.0527394033243444,0.025,0.024630238874073,0.7844401580292819,0.02114917427526785,0.01964697214263133,0.07353794831541219,0.01133252057657183,4641.928571428572,6968.476190476191
GO:0006333,chromatin assembly or disassembly,0.7899999999999999,0.7053269339262636,0.6566666666666666,0.664392496861117,0.6,0.6394509729233981,0.9913397507440476,0.526346433525302,0.3026552415302824,0.607062937062937,0.5065231448719,182.64150943396226,7654.396226415094
GO:0035567,non-canonical Wnt signaling pathway,0.55,0.13032408642877794,0.2,0.06133847085769706,0.1,0.02890648263178879,0.8435808772336969,0.03151412633055789,0.027953344289522043,0.0638912651288103,0.017658518191733974,2524.9166666666665,5135.416666666667
GO:0030520,intracellular estrogen receptor signaling pathway,0.45,0.2142092505299354,0.25,0.18155054503510257,0.25,0.18155054503510257,0.9828993780748168,0.11042170105431774,0.1102951270771833,0.1606337027405062,0.10527446375871104,354.1818181818182,5222.090909090909
GO:0031668,cellular response to extracellular stimulus,0.20444444444444443,0.2231284358644396,0.14333333333333334,0.20017885830168955,0.12111111111111113,0.1899909835771349,0.8260116403102702,0.09341982134770445,0.07906659383612791,0.1787837652543535,0.08487196220003465,3738.2020202020203,8086.616161616162
GO:0045851,pH reduction,0.3,0.14098726992225874,0.3,0.14098726992225874,0.2,0.11309297535714576,0.877132844411437,0.0940012258157337,0.09396194467038646,0.13759666666135156,0.0470202959877021,2757.923076923077,8765.076923076924
GO:0098927,vesicle-mediated transport between endosomal compartments,0.5,0.19934147767923768,0.35,0.1651293819666035,0.15,0.10617910121176174,0.9525769605794678,0.0901858927301496,0.0845602938175394,0.16297421632228276,0.07304376412503098,1022.85,12537.7
GO:0031343,positive regulation of cell killing,0.1583333333333333,0.06602068746130478,0.125,0.05843923306693875,0.09166666666666665,0.047185344187391995,0.7215309393291833,0.018690098030061855,0.01840028928288783,0.07915577928177986,0.009490367949763247,5971.580645161291,6749.967741935484
GO:0010976,positive regulation of neuron projection development,0.11428571428571428,0.03673530751191441,0.016666666666666666,0.006516188295518532,0.0,0.0,0.8349893446399774,0.005694124599883107,0.0034661116367199684,0.02901117514326957,0.0039675172516305725,3574.1803278688526,6833.803278688524
GO:0051204,protein insertion into mitochondrial membrane,0.45,0.2638072670933499,0.3,0.23868528072345416,0.3,0.23868528072345416,0.9235623114411696,0.22330216226883834,0.22287231740656602,0.24074078031228732,0.21186778487530647,1602.0833333333333,11930.833333333334
GO:0050777,negative regulation of immune response,0.08095238095238094,0.05003869449966576,0.06666666666666667,0.04585479230605085,0.05,0.0394170453792913,0.8162853664912187,0.01741916405018406,0.015197743925794413,0.06489721863291305,0.009836821006923778,3907.6065573770493,6510.688524590164
