Disease ID,Disease Name,Recall-at-100,NDCG-at-100,Recall-at-25,NDCG-at-25,Recall-at-10,NDCG-at-10,AUROC,Mean Average Precision,MRR,Fmax,AUPRC,Ranks,Nodes
GO:2000677,regulation of transcription regulatory region DNA binding,0.18333333333333332,0.04256431823023316,0.0,0.0,0.0,0.0,0.7280812603648424,0.005609348745497341,0.004658457293831695,0.02076244700155405,0.00328178934425073,1337.5185185185185,2431.3333333333335
GO:0060338,regulation of type I interferon-mediated signaling pathway,0.2,0.06572932473495469,0.1,0.05,0.1,0.05,0.8626537088456961,0.03667028074542129,0.03667668682639762,0.056636386460965735,0.018335140372710643,693.8,3480.7
GO:0006029,proteoglycan metabolic process,0.0,0.0,0.0,0.0,0.0,0.0,0.5215841584158416,0.00044718118590156313,0.00044718118590156313,0.0008939327365525139,0.00022359059295078157,2417.0,1060.0
GO:0055067,monovalent inorganic cation homeostasis,0.1,0.016794877895704195,0.0,0.0,0.0,0.0,0.5561371303830125,0.00240129729003636,0.002297203630670533,0.004847774328810305,0.0012533532788700998,2082.3076923076924,2001.923076923077
GO:0006333,chromatin assembly or disassembly,0.41666666666666663,0.1980373527893618,0.36666666666666664,0.1863537464286649,0.18333333333333332,0.1283705059427083,0.8014940700987212,0.10182863420920049,0.0927171895747998,0.18332284946356242,0.08077194124171212,955.7619047619048,2896.3333333333335
GO:0035567,non-canonical Wnt signaling pathway,1.0,0.3331227423976786,0.65,0.26527194855846237,0.4,0.2021216136231856,0.9956457052172188,0.17109901888904408,0.1699362281913697,0.2278167086491265,0.13614474753976014,23.636363636363637,2383.3636363636365
GO:0030520,intracellular estrogen receptor signaling pathway,0.75,0.3284844194309964,0.25,0.25,0.25,0.25,0.9830873613312203,0.2574796618178055,0.2577113309942216,0.2652472527472527,0.25373983090890273,85.5,1668.0
GO:0031668,cellular response to extracellular stimulus,0.25,0.15523104596532278,0.13333333333333333,0.11708313882400867,0.06666666666666667,0.0857373504913305,0.772626201923077,0.05912090941131548,0.05026178059360673,0.14018574809286882,0.050864088897911885,1138.5166666666667,2518.2
GO:0045851,pH reduction,0.0,0.0,0.0,0.0,0.0,0.0,0.37643564356435644,0.00031695138289794344,0.0003223713414541673,0.0006445320000307213,0.00015847569144897172,3146.0,1865.5
GO:0098927,vesicle-mediated transport between endosomal compartments,0.2222222222222222,0.04985944201716186,0.2222222222222222,0.04985944201716186,0.0,0.0,0.5957322581355895,0.011031344269208413,0.011032402737351055,0.021095750877417874,0.005515672134604206,2043.111111111111,3280.1111111111113
GO:0031343,positive regulation of cell killing,0.05,0.010072294628405823,0.0,0.0,0.0,0.0,0.584240317775571,0.0019587914785686176,0.0018318222766182373,0.005887841461865493,0.0010479584303143181,2163.3529411764707,2199.176470588235
GO:0010976,positive regulation of neuron projection development,0.075,0.02068033203730501,0.0,0.0,0.0,0.0,0.7752675840978592,0.005505087870063607,0.003909677003414481,0.021815724434282424,0.003553122819397106,1143.7368421052631,2150.7631578947367
GO:0051204,protein insertion into mitochondrial membrane,0.3333333333333333,0.07589008289898433,0.3333333333333333,0.07589008289898433,0.0,0.0,0.9306793424440483,0.018465484636039746,0.018465484636039746,0.03533126681274829,0.009232742318019873,351.0,2106.3333333333335
GO:0050777,negative regulation of immune response,0.175,0.08019794865344537,0.025,0.03903800499921017,0.025,0.03903800499921017,0.7266199547842277,0.0310819035370338,0.029366049110294456,0.06519724150381682,0.028903226629806537,1379.5897435897436,2064.871794871795
GO:0051284,positive regulation of sequestering of calcium ion,0.6,0.10985832522132433,0.2,0.047962493313626293,0.0,0.0,0.8790172379631465,0.01675177008020574,0.016751854557948496,0.03208945107620607,0.00837588504010287,611.4,1188.8
GO:0007176,regulation of epidermal growth factor-activated receptor activity,0.0,0.0,0.0,0.0,0.0,0.0,0.8304464285714286,0.0028142201426581,0.0027798540717520986,0.00610443149085447,0.0014242990546050904,990.0,3175.9166666666665
GO:0008033,tRNA processing,0.0,0.0,0.0,0.0,0.0,0.0,0.29338419870524507,0.00029511445950205925,0.0002972409541708163,0.000594294953272259,0.00014755722975102963,3556.1666666666665,2823.8333333333335
GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,0.55,0.13347936247895906,0.1,0.05,0.1,0.05,0.8824241221979767,0.044352207393159884,0.0443409865673071,0.07372274641521634,0.022181715368858282,744.1818181818181,2608.2727272727275
GO:0050866,negative regulation of cell activation,0.075,0.02530633011974468,0.05,0.018389427263513617,0.0,0.0,0.7242886584230821,0.006630250735030883,0.00533102822559379,0.03212365944603051,0.003967207062294418,1408.5,2133.9736842105262
GO:2001251,negative regulation of chromosome organization,0.22666666666666666,0.08690120567948853,0.09666666666666665,0.04401603245528865,0.02,0.014606834984270645,0.7620857504834301,0.019446959037344037,0.013934646098823602,0.08134723594886162,0.012528329354561035,1208.0754716981132,2633.3584905660377
GO:0090305,nucleic acid phosphodiester bond hydrolysis,0.4,0.22595069018400005,0.3,0.19965750674837537,0.25,0.1856979693619003,0.7241317027904819,0.07981327302796357,0.10116444271886094,0.21045741507701937,0.08344022871666021,1291.1304347826087,2042.4782608695652
GO:0098754,detoxification,0.0,0.0,0.0,0.0,0.0,0.0,0.5485912501769786,0.0005472609237862575,0.0005472609237862575,0.0010936780781973638,0.00027363046189312875,2278.4285714285716,2796.4285714285716
GO:0034260,negative regulation of GTPase activity,0.0,0.0,0.0,0.0,0.0,0.0,0.5089735953940837,0.0011187616268411933,0.000922179374251123,0.0027165597774928816,0.0006587552288661999,2279.4,3369.6666666666665
GO:0035383,thioester metabolic process,0.5,0.30885222834165954,0.5,0.30885222834165954,0.25,0.25,0.9018423137876386,0.26440070622292167,0.26440070622292167,0.2773383703868921,0.25720035311146083,496.5,892.75
GO:0015849,organic acid transport,0.0,0.0,0.0,0.0,0.0,0.0,0.6176359666534339,0.0009105627759209726,0.0008456539671654526,0.0019977058031554343,0.00048814316658913725,1978.9285714285713,1604.2857142857142
GO:0043331,response to dsRNA,0.45,0.16505481319236098,0.2,0.11610428250892083,0.15,0.1,0.8585385226370136,0.07509233406942634,0.07240099011666243,0.13041559165922656,0.06392112373028098,656.5,3017.0
GO:0032981,mitochondrial respiratory chain complex I assembly,0.3333333333333333,0.10515495892857625,0.3333333333333333,0.10515495892857625,0.3333333333333333,0.10515495892857625,0.46000132117849124,0.03720251888129073,0.037202720195970575,0.06699794945902708,0.018601259440645366,2725.0,2426.0
GO:0007267,cell-cell signaling,0.3,0.07403390454191865,0.06666666666666667,0.020470340856613107,0.0,0.0,0.6080812101910829,0.009524823434664428,0.006843695041591923,0.026480305396504922,0.006128503223260983,1876.392857142857,1606.2857142857142
GO:0032717,negative regulation of interleukin-8 production,0.0,0.0,0.0,0.0,0.0,0.0,0.7837234675659591,0.0019606323358542068,0.0019394243922190967,0.004479685020334336,0.000990968063964598,1105.5454545454545,1702.909090909091
GO:0006694,steroid biosynthetic process,0.0,0.0,0.0,0.0,0.0,0.0,0.5671323820848196,0.0006708520606775271,0.0006836726457483414,0.0013660381230672796,0.00033542603033876356,2179.5,1381.0
