,goterm_id,name,pvalue
0,GO:0004888,transmembrane signaling receptor activity,1.1031159601591577e-06
1,GO:0038023,signaling receptor activity,6.893397609918164e-06
2,GO:0007166,cell surface receptor signaling pathway,9.682969232086047e-06
3,GO:0007165,signal transduction,9.682969232086047e-06
4,GO:0005615,extracellular space,9.682969232086047e-06
5,GO:0060089,molecular transducer activity,9.682969232086047e-06
6,GO:0007186,G protein-coupled receptor signaling pathway,5.86493678356876e-05
7,GO:0005576,extracellular region,0.00010480927534354002
8,GO:0044421,extracellular region part,0.00023322981658683897
9,GO:0007267,cell-cell signaling,0.00032277495738489235
10,GO:0044459,plasma membrane part,0.00032277495738489235
11,GO:0051239,regulation of multicellular organismal process,0.00035608597405043923
12,GO:0005102,signaling receptor binding,0.00035608597405043923
13,GO:0004930,G protein-coupled receptor activity,0.00035608597405043923
14,GO:0023052,signaling,0.0007750425283357984
15,GO:0045494,photoreceptor cell maintenance,0.0007750425283357984
16,GO:0043062,extracellular structure organization,0.0008526955798626261
17,GO:0007154,cell communication,0.0008526955798626261
18,GO:0005887,integral component of plasma membrane,0.0008526955798626261
19,GO:0048018,receptor ligand activity,0.0008526955798626261
20,GO:0003674,molecular_function,0.0008526955798626261
21,GO:0030198,extracellular matrix organization,0.001491449975522554
22,GO:0031224,intrinsic component of membrane,0.001491449975522554
23,GO:0030545,receptor regulator activity,0.0015213340817652559
24,GO:0032501,multicellular organismal process,0.0015448699387453815
25,GO:0009987,cellular process,0.0016315811453174926
26,GO:0008284,positive regulation of cell population proliferation,0.0016315811453174926
27,GO:0007631,feeding behavior,0.0016315811453174926
28,GO:0050896,response to stimulus,0.0016315811453174926
29,GO:0031226,intrinsic component of plasma membrane,0.0016315811453174926
30,GO:0019955,cytokine binding,0.0016315811453174926
31,GO:0005575,cellular_component,0.0017335682620192045
32,GO:0008150,biological_process,0.0018494955005724702
33,GO:0005488,binding,0.0020367112798975345
34,GO:0004896,cytokine receptor activity,0.002288655329848298
35,GO:0010469,regulation of signaling receptor activity,0.002585052736818006
36,GO:0016021,integral component of membrane,0.002585052736818006
37,GO:0005515,protein binding,0.002585052736818006
38,GO:0042127,regulation of cell population proliferation,0.0025917466665520677
39,GO:0065007,biological regulation,0.002638904139442387
40,GO:0033993,response to lipid,0.0029123289993808867
41,GO:0032502,developmental process,0.0031808381782575555
42,GO:0044425,membrane part,0.0035550419771636418
43,GO:0048729,tissue morphogenesis,0.003922521730869698
44,GO:0005179,hormone activity,0.005176373437163606
45,GO:0051240,positive regulation of multicellular organismal process,0.005734683092241345
46,GO:0010033,response to organic substance,0.006727971361418883
