Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
C0013182,Drug Allergy,0.0,0.0,0.5834659211644709,0.0006327168439511877,7047.823529411765,3885.0882352941176
C0917798,Cerebral Ischemia,0.2833333333333333,0.06666666666666667,0.8805085045753023,0.01766321911812227,2192.8,4674.04
C0020295,Hydronephrosis,0.0738095238095238,0.04523809523809523,0.7305817430750906,0.015007527672579391,4882.058823529412,5605.514705882353
C3714796,Isolated somatotropin deficiency,0.0,0.0,0.7359638874137017,0.0007251972652276325,4921.714285714285,5520.857142857143
C1866134,Wide anterior fontanel,0.15,0.1,0.8320487642838161,0.06457367152356658,3080.0697674418607,4850.232558139535
C2364082,Sense of smell impaired,0.25,0.2,0.6477825256117627,0.04841613969641082,6505.0,8216.631578947368
C1276035,Pena-Shokeir syndrome type I,0.3,0.05,0.6079088400721637,0.0066125478049608635,4407.916666666667,3714.0833333333335
C0027022,Myeloproliferative disease,0.25,0.05,0.8013745886848531,0.008842963911886003,3005.3125,5139.9375
C1833225,Dystrophic toenail changes,0.0,0.0,0.7498116511035654,0.001825058698328438,4213.2,5546.1
C0206620,"Lymphangioma, Cystic",0.15,0.0,0.7204561943692378,0.004815185946574133,4635.666666666667,4800.857142857143
C0006413,Burkitt Lymphoma,0.0,0.0,0.6775274637796528,0.0005692968325681864,6205.0,7511.533333333334
C0019158,Hepatitis,0.0,0.0,0.691868850428258,0.001262451746070374,5283.409090909091,3988.818181818182
C0003126,Anosmia,0.25,0.15,0.7044867031158766,0.049281730661755146,5514.789473684211,7817.736842105263
C0241074,Skin hyperelastic,0.16666666666666666,0.03333333333333333,0.7678241970324728,0.006838407731131456,3916.5,4161.21875
C0020459,Hyperinsulinism,0.0875,0.0375,0.6947236845108137,0.00535275682808703,5497.594936708861,5656.405063291139
C0020541,"Hypertension, Portal",0.1,0.1,0.7214182062716784,0.009119532811805197,4526.409090909091,4894.136363636364
C0014474,Ependymoma,0.25,0.05,0.8311677457015495,0.011006327657914022,3382.5,4886.785714285715
C4020838,Relative short stature,0.35,0.35,0.7851122254059217,0.03961079343956851,2861.1666666666665,1886.5833333333333
C0221170,Muscular stiffness,0.15,0.0,0.5562400509391914,0.0037195307040064954,6175.166666666667,4813.25
C3275417,Ragged-red fibers,0.4,0.2,0.7900772374986729,0.07871320575496778,3097.35,3974.6
C0349204,Nonorganic psychosis,0.0,0.0,0.6129755217761688,0.0011801916130701434,7214.263157894737,6407.394736842105
C0007787,Transient Ischemic Attack,0.3,0.0,0.7056557724957555,0.005605567914733106,5060.3,6091.0
C0018916,Hemangioma,0.2,0.0,0.8468887709052296,0.005912022757926035,2654.3478260869565,5233.782608695652
