disease,protein,degree,frac_direct_interactions,frac_direct_interactions_pvalue,common_interactor_score,common_interactor_score_pvalue
C1842060,7319,1,0.0,1.0,0.0,1.0
C1842060,5159,9,0.0,1.0,0.0035075845829144613,0.515
C1842060,2353,18,0.0,1.0,0.0,1.0
C1842060,27316,33,0.0,1.0,0.0,1.0
C1842060,3764,3,0.0,1.0,0.0,1.0
C1842060,5308,31,0.0,1.0,0.011017140071019747,0.305
C1842060,10060,1,0.0,1.0,0.0,1.0
C1842060,26580,35,0.0,1.0,0.007509555488105287,0.599
C1842060,5468,4,0.0,1.0,0.0,1.0
C1842060,1896,20,0.0,1.0,0.0,1.0
C1842060,10484,25,0.0,1.0,0.0,1.0
C2239176,4609,2,0.0,1.0,0.031219527052723142,0.318
C2239176,1027,6,0.009433962264150943,0.064,0.28199863771284056,0.013
C2239176,1543,1,0.0,1.0,0.05372138435857758,0.142
C2239176,3082,2,0.0,1.0,0.08273075933687798,0.062
C2239176,3083,5,0.0,1.0,0.019677739450478685,0.647
C2239176,31,3,0.0,1.0,0.022690283611986443,0.469
C2239176,55840,5,0.0,1.0,0.0030147297773106007,0.885
C2239176,2597,2,0.0,1.0,0.0,1.0
C2239176,5155,2,0.0,1.0,0.06176453856976327,0.113
C2239176,4143,3,0.0,1.0,0.0,1.0
C2239176,60,12,0.0,1.0,0.03217106135998096,0.757
C2239176,6721,2,0.0,1.0,0.013408633111818832,0.458
C2239176,122953,3,0.0,1.0,0.025663784699701965,0.445
C2239176,3145,1,0.0,1.0,0.003839344480212194,0.436
C2239176,3148,2,0.0,1.0,0.0,1.0
C2239176,595,4,0.018867924528301886,0.002,0.22935161653205144,0.009
C2239176,598,22,0.0,1.0,0.11530164985687129,0.139
C2239176,27232,25,0.0,1.0,0.11737935867575015,0.129
C2239176,6240,3,0.0,1.0,0.022473293130927455,0.521
C2239176,4199,2,0.0,1.0,0.0,1.0
C2239176,6241,1,0.0,1.0,0.0086386842558136,0.392
C2239176,5747,7,0.009433962264150943,0.063,0.12997262063249773,0.054
C2239176,6772,3,0.0,1.0,0.0,1.0
C2239176,118,4,0.0,1.0,0.008723732043170227,0.736
C2239176,8312,38,0.0,1.0,0.09255694784410738,0.393
C2239176,8826,8,0.0,1.0,0.02510237851562859,0.679
C2239176,5245,1,0.0,1.0,0.007038066272602094,0.413
C2239176,637,3,0.0,1.0,0.045992173397026354,0.242
C2239176,2184,8,0.0,1.0,0.0894680911948782,0.159
C2239176,87178,1,0.0,1.0,0.0,1.0
C2239176,3725,1,0.0,1.0,0.0,1.0
C2239176,2705,44,0.018867924528301886,0.02,0.07218645269566093,0.579
C2239176,2194,3,0.0,1.0,0.07419007785015794,0.123
C2239176,7832,2,0.0,1.0,0.0,1.0
C2239176,2203,7,0.0,1.0,0.049394292749034105,0.407
C2239176,57509,3,0.0,1.0,0.0,1.0
C2239176,6648,1,0.0,1.0,0.0046199357168136895,0.44
C2239176,4780,5,0.0,1.0,0.031219527052723142,0.53
C2239176,2222,16,0.0,1.0,0.11550038134470192,0.125
C2239176,2735,7,0.0,1.0,0.045598726392579905,0.485
C2239176,6319,36,0.009433962264150943,0.241,0.08770778714172422,0.456
C2239176,4792,5,0.0,1.0,0.0064023688024821895,0.862
C2239176,2752,4,0.0,1.0,0.05643882623702669,0.238
C2239176,3265,1,0.0,1.0,0.0,1.0
C2239176,5315,3,0.0,1.0,0.032776773742692625,0.393
C2239176,5317,8,0.0,1.0,0.022955522312265844,0.731
C2239176,5836,2,0.0,1.0,0.0,1.0
C2239176,6348,2,0.0,1.0,0.04167963048824293,0.242
C2239176,1230,1,0.0,1.0,0.0,1.0
C2239176,7376,4,0.0,1.0,0.23478694880651246,0.01
C2239176,10961,15,0.0,1.0,0.06725636474257041,0.493
C2239176,4313,1,0.0,1.0,0.021358941442919024,0.3
C2239176,7389,4,0.0,1.0,0.0,1.0
C2239176,4830,15,0.009433962264150943,0.092,0.09462031419415678,0.277
C2239176,10468,7,0.0,1.0,0.06510640205443544,0.282
C2239176,10987,1,0.0,1.0,0.0,1.0
C2239176,8431,3,0.0,1.0,0.05590169943749474,0.197
C2239176,3313,1,0.0,1.0,0.0,1.0
C2239176,9971,2,0.0,1.0,0.2012676926701591,0.006
C2239176,5879,6,0.0,1.0,0.0792980047658221,0.199
C2239176,2810,24,0.0,1.0,0.0446254879018611,0.768
C2239176,2305,1,0.0,1.0,0.0,1.0
C2239176,3845,2,0.0,1.0,0.0,1.0
C2239176,1806,2,0.0,1.0,0.0,1.0
C2239176,5914,12,0.009433962264150943,0.106,0.31419390350517906,0.002
C2239176,89885,98,0.0,1.0,0.10041936649754471,0.689
C2239176,1312,60,0.009433962264150943,0.29,0.09176335329001752,0.567
C2239176,9510,2,0.0,1.0,0.05828720980818086,0.119
C2239176,10537,1,0.0,1.0,0.0,1.0
C2239176,114990,50,0.0,1.0,0.15958025315903013,0.06
C2239176,9518,5,0.0,1.0,0.07449774316275994,0.143
C2239176,2353,18,0.0,1.0,0.05468329688697814,0.613
C2239176,307,1,0.0,1.0,0.0,1.0
C2239176,10553,19,0.0,1.0,0.067059065304899,0.432
C2239176,9021,5,0.009433962264150943,0.051,0.12997262063249773,0.047
C2239176,325,1,0.0,1.0,0.052414241836095915,0.146
C2239176,841,4,0.0,1.0,0.0,1.0
C2239176,5450,36,0.009433962264150943,0.205,0.018043886648975715,0.998
C2239176,332,2,0.0,1.0,0.02247797397511858,0.388
C2239176,335,1,0.0,1.0,0.05372138435857758,0.155
C2239176,5468,4,0.009433962264150943,0.039,0.08987106543021199,0.079
C2239176,3954,3,0.0,1.0,0.0075037528148458035,0.655
C2239176,9588,1,0.0,1.0,0.0,1.0
C2239176,1401,1,0.0,1.0,0.0,1.0
C2239176,7039,2,0.0,1.0,0.011864474946906239,0.498
C2239176,6528,3,0.0,1.0,0.04170147019222167,0.34
C2239176,7040,23,0.0,1.0,0.10897114867441188,0.188
C2239176,898,1,0.0,1.0,0.0,1.0
C2239176,2950,23,0.0,1.0,0.14275967959695565,0.071
C2239176,9099,105,0.018867924528301886,0.225,0.105984488622567,0.586
C2239176,7054,13,0.0,1.0,0.034019923635702776,0.778
C2239176,7571,17,0.0,1.0,0.11426369221993872,0.162
C2239176,3476,4,0.0,1.0,0.0,1.0
C2239176,3480,1,0.0,1.0,0.0,1.0
C2239176,3481,3,0.0,1.0,0.059577656312967305,0.158
C2239176,1950,1,0.0,1.0,0.0,1.0
C2239176,3491,2,0.0,1.0,0.030705848455589248,0.317
C2239176,29108,4,0.0,1.0,0.007983920607777244,0.749
C2239176,8647,1,0.0,1.0,0.024633231954107326,0.261
C2239176,9681,8,0.009433962264150943,0.046,0.0443617114795,0.512
C2239176,7124,30,0.0,1.0,0.057406756201717125,0.715
C2239176,472,1,0.0,1.0,0.05590169943749474,0.149
C2239176,8667,7,0.0,1.0,0.02620706473836933,0.703
C2239176,23534,15,0.009433962264150943,0.091,0.08846921406075213,0.294
C2239176,2542,1,0.0,1.0,0.022574771232946073,0.294
C2239176,4598,4,0.0,1.0,0.025,0.53
C2239176,1019,12,0.009433962264150943,0.09,0.23163258050264168,0.02
C0149721,1152,2,0.0,1.0,0.08703882797784893,0.001
C0149721,1281,2,0.0,1.0,0.0,1.0
C0149721,4609,2,0.0,1.0,0.0,1.0
C0149721,8195,2,0.0,1.0,0.0,1.0
C0149721,1158,3,0.0,1.0,0.08703882797784893,0.0
C0149721,6794,1,0.0,1.0,0.0,1.0
C0149721,4878,4,0.0,1.0,0.024042351841717248,0.062
C0149721,5530,14,0.058823529411764705,0.015,0.1245563145283621,0.004
C0149721,5534,2,0.058823529411764705,0.002,0.12455631452836209,0.001
C0149721,2335,1,0.0,1.0,0.024042351841717245,0.026
C0149721,9518,5,0.0,1.0,0.0,1.0
C0149721,2997,36,0.0,1.0,0.009380208745506902,0.467
C0149721,183,1,0.0,1.0,0.022360679774997897,0.032
C0149721,51778,9,0.0,1.0,0.022360679774997897,0.122
C0149721,585,8,0.0,1.0,0.0,1.0
C0149721,5350,52,0.0,1.0,0.0,1.0
C0149721,4088,18,0.0,1.0,0.009380208745506904,0.341
C0149721,1277,1,0.0,1.0,0.0,1.0
C1527311,6285,22,0.0,1.0,0.0047913297881339075,0.515
C1527311,29078,1,0.07692307692307693,0.002,0.1762398969526837,0.002
C1527311,4638,2,0.0,1.0,0.0,1.0
C1527311,10398,2,0.0,1.0,0.0,1.0
C1527311,51103,7,0.0,1.0,0.024875929755249725,0.061
C1527311,435,6,0.0,1.0,0.0,1.0
C1527311,25915,14,0.07692307692307693,0.017,0.18761288093814085,0.003
C1527311,445,2,0.0,1.0,0.0,1.0
C1527311,5328,1,0.0,1.0,0.0,1.0
C1527311,7124,30,0.0,1.0,0.0,1.0
C1527311,4715,1,0.0,1.0,0.024875929755249725,0.037
C1527311,4722,2,0.0,1.0,0.0,1.0
C1527311,4723,2,0.0,1.0,0.006581654197323249,0.097
C1527311,4729,3,0.0,1.0,0.0,1.0
C0079744,10628,1,0.0,1.0,0.0,1.0
C0079744,4615,8,0.0,1.0,0.0,1.0
C0079744,10892,2,0.0,1.0,0.0,1.0
C0079744,5293,2,0.0,1.0,0.0,1.0
C0079744,2735,7,0.0,1.0,0.002418197601669177,0.35
C0079744,64434,2,0.0,1.0,0.0,1.0
C0079744,10935,3,0.0,1.0,0.0,1.0
C0079744,973,166,0.0,1.0,0.002418197601669177,0.792
C0079744,974,2,0.0,1.0,0.03384390227707082,0.019
C0079744,596,1,0.0,1.0,0.0,1.0
C0079744,983,1,0.0,1.0,0.0,1.0
C0079744,22872,2,0.0,1.0,0.0,1.0
C0079744,2146,4,0.0,1.0,0.0,1.0
C0079744,6648,1,0.0,1.0,0.0,1.0
C0079744,6649,8,0.0,1.0,0.03384390227707082,0.018
C0024667,7170,26,0.0,1.0,0.011095668960648012,0.949
C0024667,1040,6,0.0,1.0,0.05015522830871913,0.356
C0024667,10769,1,0.0,1.0,0.0,1.0
C0024667,23569,3,0.012195121951219513,0.023,0.4267766952966368,0.003
C0024667,5154,3,0.0,1.0,0.09723834518153202,0.061
C0024667,2100,7,0.0,1.0,0.03989398902594494,0.452
C0024667,5685,7,0.0,1.0,0.0608367890767156,0.273
C0024667,3638,2,0.0,1.0,0.03284780025542096,0.242
C0024667,60,12,0.024390243902439025,0.003,0.3267715132672683,0.003
C0024667,6208,2,0.0,1.0,0.0,1.0
C0024667,2625,8,0.0,1.0,0.020116058928952848,0.717
C0024667,71,11,0.012195121951219513,0.133,0.30932194791773426,0.003
C0024667,81,8,0.0,1.0,0.016218364741281844,0.772
C0024667,595,4,0.012195121951219513,0.039,0.08987106543021199,0.083
C0024667,4692,21,0.0,1.0,0.039854584946126495,0.648
C0024667,1622,2,0.0,1.0,0.021691765080287997,0.37
C0024667,5720,3,0.0,1.0,0.0,1.0
C0024667,5725,5,0.0,1.0,0.006585934948473267,0.746
C0024667,5223,1,0.0,1.0,0.0,1.0
C0024667,6774,6,0.0,1.0,0.05032957201426534,0.355
C0024667,6776,3,0.0,1.0,0.025169805829642553,0.457
C0024667,8825,14,0.012195121951219513,0.097,0.1385108933241857,0.05
C0024667,5245,1,0.0,1.0,0.0,1.0
C0024667,5764,1,0.0,1.0,0.06298188759296253,0.05
C0024667,6277,4,0.0,1.0,0.0,1.0
C0024667,1674,36,0.012195121951219513,0.207,0.10115368758189788,0.262
C0024667,8848,2,0.0,1.0,0.0736413725852942,0.084
C0024667,2202,27,0.0,1.0,0.07202475702892264,0.428
C0024667,112802,19,0.0,1.0,0.1350399004080609,0.082
C0024667,7329,153,0.024390243902439025,0.19,0.1548843650129198,0.112
C0024667,5295,3,0.0,1.0,0.09401868541605879,0.064
C0024667,6319,36,0.0,1.0,0.055582611984073986,0.628
C0024667,7351,1,0.0,1.0,0.003796604620192418,0.36
C0024667,4282,4,0.0,1.0,0.06923957985540877,0.137
C0024667,3265,1,0.0,1.0,0.0,1.0
C0024667,5315,3,0.0,1.0,0.02004700130411015,0.522
C0024667,2771,11,0.0,1.0,0.13981871989181902,0.033
C0024667,7430,1,0.0,1.0,0.0,1.0
C0024667,3852,13,0.0,1.0,0.13200632735890006,0.058
C0024667,5901,4,0.0,1.0,0.0,1.0
C0024667,93974,2,0.0,1.0,0.04590229529158556,0.185
C0024667,2335,1,0.0,1.0,0.04497112299851676,0.123
C0024667,1312,60,0.0,1.0,0.08082604375518251,0.467
C0024667,5921,1,0.0,1.0,0.005785471714235499,0.344
C0024667,301,2,0.0,1.0,0.0,1.0
C0024667,6446,3,0.0,1.0,0.03726779962499649,0.337
C0024667,307,1,0.012195121951219513,0.004,0.4267766952966368,0.0
C0024667,50486,2,0.0,1.0,0.009700968496029853,0.477
C0024667,1848,2,0.0,1.0,0.10272947927149023,0.033
C0024667,5947,4,0.0,1.0,0.03333333333333334,0.371
C0024667,9019,1,0.0,1.0,0.0,1.0
C0024667,5954,19,0.0,1.0,0.11528159606181745,0.117
C0024667,3399,18,0.0,1.0,0.06424619582882365,0.398
C0024667,7498,1,0.0,1.0,0.0,1.0
C0024667,3925,1,0.0,1.0,0.0,1.0
C0024667,5465,21,0.012195121951219513,0.135,0.04046592220698478,0.626
C0024667,358,128,0.012195121951219513,0.424,0.160155334035016,0.068
C0024667,7018,20,0.0,1.0,0.04334601746352533,0.578
C0024667,7534,4,0.0,1.0,0.050300324010768796,0.23
C0024667,2937,2,0.0,1.0,0.0,1.0
C0024667,1915,1,0.0,1.0,0.0,1.0
C0024667,3963,7,0.0,1.0,0.01879627943782608,0.754
C0024667,8573,6,0.012195121951219513,0.024,0.06872950300067485,0.203
C0024667,902,28,0.0,1.0,0.0920695935531042,0.243
C0024667,11151,4,0.0,1.0,0.05779441665433374,0.176
C0024667,26012,23,0.0,1.0,0.06970285304038398,0.443
C0024667,7069,5,0.0,1.0,0.016237173034843188,0.635
