disease,protein,common_interactor_score,common_interactor_score_pvalue,degree,frac_direct_interactions,frac_direct_interactions_pvalue
DB06589,10019,0.056354917558974524,0.006,18,0.1111111111111111,0.009
DB06589,5156,0.11397178779124972,0.005,65,0.2222222222222222,0.009
DB06589,2246,0.031653461771587725,0.036,28,0.1111111111111111,0.009
DB06589,5159,0.1257418179563256,0.006,111,0.2222222222222222,0.008
DB06589,3815,0.11228027685987549,0.001,75,0.2222222222222222,0.012
DB06589,3791,0.16083705769729928,0.006,66,0.3333333333333333,0.008
DB06589,2321,0.12730131531929514,0.0,29,0.1111111111111111,0.009
DB06589,2324,0.0782885786786088,0.011,27,0.1111111111111111,0.029
DB06589,2261,0.057308165009467074,0.009,58,0.1111111111111111,0.029
DB06589,3702,0.06897093638747286,0.005,46,0.0,1.0
DB04522,9344,0.004972310574155406,0.472,16,0.0,1.0
DB04522,3749,0.013183873366069455,0.052,4,0.0,1.0
DB04522,5292,0.02708582376591891,0.043,55,0.0,1.0
DB04522,5836,0.05213825253113103,0.01,43,0.08333333333333333,0.089
DB04522,5837,0.052805876100739293,0.006,20,0.08333333333333333,0.036
DB04522,5967,0.00223797688738033,0.482,4,0.0,1.0
DB04522,6317,0.007842677033940879,0.43,30,0.0,1.0
DB04522,5170,0.032709418421931424,0.028,108,0.16666666666666666,0.01
DB04522,5588,0.05126384199823389,0.002,138,0.16666666666666666,0.028
DB04522,4087,0.028617847083664535,0.421,394,0.0,1.0
DB04522,1080,0.034666255551248935,0.304,324,0.16666666666666666,0.16
DB04522,6010,0.023156011573862375,0.031,19,0.0,1.0
DB04522,5566,0.05053046376243994,0.062,420,0.16666666666666666,0.114
DB03796,5538,0.002665823215152025,0.48,37,0.0,1.0
DB03796,3906,0.0009637346721357606,0.436,12,0.0,1.0
DB03796,27095,0.0008244832830412424,0.694,29,0.0,1.0
DB03796,3174,0.0024843972917428956,0.305,15,0.0,1.0
DB03796,23541,0.0,1.0,2,0.0,1.0
DB03796,1558,0.008006791614863965,0.072,14,0.0,1.0
DB03796,5047,0.008744375873120606,0.097,22,0.0,1.0
DB03796,5465,0.007467880433154684,0.154,83,0.0,1.0
DB03796,6010,0.0012670262293394017,0.528,19,0.0,1.0
DB03796,5375,0.0,1.0,7,0.0,1.0
DB06216,148,0.06557897317180784,0.008,9,0.0,1.0
DB06216,1812,0.02948235045612063,0.059,13,0.0,1.0
DB06216,1813,0.19387155164993622,0.003,25,0.0,1.0
DB06216,1815,0.1935301546093096,0.002,13,0.05555555555555555,0.011
DB06216,3351,0.1603836977545799,0.002,10,0.05555555555555555,0.018
