disease,protein,common_interactor_score,common_interactor_score_pvalue,degree,frac_direct_interactions,frac_direct_interactions_pvalue
GO:0019205,51727,0.16661603539089545,0.002,27,0.21052631578947367,0.002
GO:0019205,11284,0.015370152871224136,0.329,89,0.0,1.0
GO:0019205,2987,0.36872891921396006,0.006,16,0.0,1.0
GO:0019205,55728,0.005223374458050932,0.54,22,0.0,1.0
GO:0019205,1841,0.3247815551617022,0.006,21,0.0,1.0
GO:0019205,26289,0.36148990870180575,0.004,15,0.0,1.0
GO:0019205,1716,0.03748780604048423,0.022,67,0.05263157894736842,0.036
GO:0019205,203,0.2973709743632173,0.007,33,0.0,1.0
GO:0019205,204,0.25555969666563794,0.006,51,0.05263157894736842,0.037
GO:0019205,205,0.35525047474748067,0.005,16,0.0,1.0
GO:0019205,221264,0.0,1.0,3,0.0,1.0
GO:0019205,10201,0.19064390588427302,0.006,15,0.10526315789473684,0.003
GO:0019205,79707,0.0046884582320826,0.59,25,0.0,1.0
GO:0019205,4830,0.17617333682855282,0.004,87,0.15789473684210525,0.004
GO:0019205,4831,0.1419863739929327,0.001,129,0.21052631578947367,0.001
GO:0019205,1633,0.1647182599963875,0.011,33,0.2631578947368421,0.005
GO:0019205,10978,0.01371096780672228,0.223,35,0.0,1.0
GO:0019205,122481,0.40275386003043245,0.001,11,0.0,1.0
GO:0019205,158067,0.008408409924953906,0.344,15,0.0,1.0
GO:0019205,50808,0.010010381555585516,0.248,16,0.0,1.0
GO:0016879,8833,0.05475882217268706,0.028,57,0.038461538461538464,0.084
GO:0016879,26140,0.0,1.0,16,0.0,1.0
GO:0016879,159,0.052140470185872353,0.008,44,0.0,1.0
GO:0016879,2729,0.08328274399222672,0.003,10,0.038461538461538464,0.007
GO:0016879,2730,0.06190806538199204,0.019,22,0.038461538461538464,0.039
GO:0016879,4522,0.2237230693165797,0.004,96,0.11538461538461539,0.007
GO:0016879,93100,0.052543306618338455,0.017,33,0.0,1.0
GO:0016879,25902,0.26080922360587927,0.004,49,0.11538461538461539,0.004
GO:0016879,2356,0.23239987593027,0.004,11,0.07692307692307693,0.004
GO:0016879,440,0.06710002726809008,0.003,82,0.038461538461538464,0.054
GO:0016879,445,0.05663617382703189,0.028,92,0.038461538461538464,0.067
GO:0016879,2752,0.00804578550284784,0.59,35,0.0,1.0
GO:0016879,150465,0.025570850277766673,0.01,3,0.0,1.0
GO:0016879,283459,0.12311524864220277,0.002,10,0.038461538461538464,0.008
GO:0016879,5188,0.0,1.0,2,0.0,1.0
GO:0016879,3141,0.0,1.0,9,0.0,1.0
GO:0016879,5198,0.07622179330055151,0.014,75,0.0,1.0
GO:0016879,10588,0.2673534391739087,0.0,7,0.07692307692307693,0.0
GO:0016879,1373,0.02526266295571054,0.134,48,0.0,1.0
GO:0016879,254173,0.004685637585510432,0.602,17,0.0,1.0
GO:0016879,1503,0.05869216621832386,0.026,75,0.038461538461538464,0.076
GO:0016879,57571,0.0,1.0,1,0.0,1.0
GO:0016879,79717,0.07300789847260064,0.004,9,0.0,1.0
GO:0016879,55278,0.12083238159898636,0.0,3,0.038461538461538464,0.001
GO:0016879,89978,0.0,1.0,2,0.0,1.0
GO:0016879,79739,0.0033305649120292896,0.429,5,0.0,1.0
GO:0016879,122622,0.02072931021708431,0.046,6,0.0,1.0
GO:0042562,2690,0.1145013852069629,0.008,55,0.02127659574468085,0.123
GO:0042562,2692,0.2738207661695937,0.003,3,0.02127659574468085,0.01
GO:0042562,7433,0.35548271125052994,0.003,20,0.0425531914893617,0.02
GO:0042562,269,0.017441664012394727,0.23,7,0.0,1.0
GO:0042562,4881,0.23748240108432114,0.003,37,0.0,1.0
GO:0042562,4882,0.2409015755875446,0.006,30,0.0,1.0
GO:0042562,4883,0.13871530847157698,0.006,5,0.0,1.0
GO:0042562,1428,0.0014616774788669246,0.699,4,0.0,1.0
GO:0042562,51094,0.04092543770443319,0.065,15,0.0,1.0
GO:0042562,3480,0.13621919954919678,0.004,93,0.0425531914893617,0.038
GO:0042562,10266,0.5823051779689393,0.002,10,0.06382978723404255,0.002
GO:0042562,7067,0.13259705675255387,0.01,110,0.02127659574468085,0.237
GO:0042562,10267,0.5969696745016817,0.002,11,0.0851063829787234,0.002
GO:0042562,2587,0.12309149097933274,0.001,1,0.0,1.0
GO:0042562,7068,0.12542179682031793,0.007,75,0.02127659574468085,0.107
GO:0042562,799,0.2736422779282243,0.001,13,0.02127659574468085,0.027
GO:0042562,6820,0.034893843001537965,0.124,18,0.0,1.0
GO:0042562,8484,0.012468117144049079,0.233,1,0.0,1.0
GO:0042562,3624,0.004258909238413877,0.866,19,0.0,1.0
GO:0042562,43,0.015255740311158148,0.433,18,0.0,1.0
GO:0042562,2862,0.30452516245101113,0.0,4,0.02127659574468085,0.011
GO:0042562,5295,0.12934010398956367,0.017,307,0.1276595744680851,0.024
GO:0042562,3643,0.1541698674158339,0.002,128,0.0425531914893617,0.091
GO:0042562,4543,0.04437091515052276,0.107,29,0.0,1.0
GO:0042562,6344,0.08304210921486989,0.009,11,0.0,1.0
GO:0042562,10952,0.034387441979773815,0.209,51,0.0,1.0
GO:0042562,3416,0.06868039329147772,0.034,48,0.0425531914893617,0.025
GO:0042562,10203,0.5223371056908293,0.002,7,0.0425531914893617,0.004
GO:0042562,2908,0.12831398851694084,0.014,242,0.0425531914893617,0.154
GO:0042562,476,0.07278790884961608,0.06,160,0.0,1.0
GO:0042562,477,0.025349311541413743,0.192,17,0.0,1.0
GO:0042562,3292,0.03450831689031608,0.158,28,0.0,1.0
GO:0042562,4835,0.014438554206493193,0.448,18,0.0,1.0
GO:0042562,1512,0.0073086273002546595,0.597,9,0.0,1.0
GO:0042562,8811,0.13993902075078996,0.005,2,0.0,1.0
