,disease_name,disease_num_significant,disease_top_10,lci_jaccard_sim,lci_num_significant,lci_sp_corr,lci_sp_pval,lci_top_10,random_walk_jaccard_sim,random_walk_num_significant,random_walk_sp_corr,random_walk_sp_pval,random_walk_top_10
C0013182,Drug Allergy,439,"{'immune system process', 'inflammatory response', 'defense response', 'regulation of acute inflammatory response', 'regulation of inflammatory response', 'response to stimulus', 'positive regulation of response to stimulus', 'regulation of immune system process', 'regulation of response to stimulus', 'regulation of defense response'}",0.2504118616144975,320,0.36360633290892563,0.0,"{'lymphocyte chemotaxis', 'chemokine receptor binding', 'cell chemotaxis', 'cytokine activity', 'granulocyte migration', 'neutrophil chemotaxis', 'chemokine-mediated signaling pathway', 'granulocyte chemotaxis', 'neutrophil migration', 'chemokine activity'}",0.23641703377386197,403,0.33647926710274206,0.0,"{'positive regulation of T cell activation', 'fatty acid derivative metabolic process', 'regulation of leukocyte activation', 'icosanoid metabolic process', 'cytokine-mediated signaling pathway', 'positive regulation of lymphocyte activation', 'positive regulation of cell activation', 'cyclooxygenase pathway', 'positive regulation of leukocyte activation', 'icosanoid biosynthetic process'}"
C0917798,Cerebral Ischemia,56,"{'aerobic respiration', 'NADH dehydrogenase (ubiquinone) activity', 'respiratory electron transport chain', 'electron transport chain', 'NADH dehydrogenase (quinone) activity', 'cellular respiration', 'respiratory chain complex', 'mitochondrial inner membrane', 'energy derivation by oxidation of organic compounds', 'NADH dehydrogenase activity'}",0.4146341463414634,60,0.3061427794693464,0.0,"{'mitochondrial respiratory chain complex I', 'NADH dehydrogenase (ubiquinone) activity', 'NADH dehydrogenase (quinone) activity', 'NADH dehydrogenase complex', 'NADH dehydrogenase activity', 'respiratory chain complex', 'mitochondrial electron transport, NADH to ubiquinone', 'NADH dehydrogenase complex assembly', 'oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor', 'respiratory chain complex I'}",0.1958041958041958,115,0.20663606142359922,1.878911392092213e-210,"{'ubiquinol-cytochrome-c reductase activity', 'cytochrome complex', 'respiratory electron transport chain', 'electron transport chain', 'oxidoreductase activity, acting on diphenols and related substances as donors', 'oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor', 'respiratory chain complex', 'respiratory chain complex III', 'mitochondrial electron transport, ubiquinol to cytochrome c', 'mitochondrial respiratory chain complex III'}"
C0020295,Hydronephrosis,616,"{'protein localization to peroxisome', 'establishment of protein localization to peroxisome', 'peroxisomal membrane transport', 'peroxisomal transport', 'peroxisomal membrane', 'microbody membrane', 'microbody', 'protein import into peroxisome matrix', 'protein targeting to peroxisome', 'peroxisome organization'}",0.028616852146263912,31,0.14015612031940167,8.977158770892108e-97,"{'peroxisome', 'microbody part', 'fibroblast growth factor-activated receptor activity', 'fibroblast growth factor binding', 'heparin binding', 'microbody', 'peroxisomal part', 'sulfur compound binding', 'peroxisome organization', 'glycosaminoglycan binding'}",0.296137339055794,592,0.36762262065381024,0.0,"{'glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex', 'positive regulation of cellular metabolic process', 'phosphatidylinositol N-acetylglucosaminyltransferase activity', 'morphogenesis of a branching structure', 'preassembly of GPI anchor in ER membrane', 'tissue morphogenesis', 'positive regulation of metabolic process', 'positive regulation of biological process', 'regulation of molecular function', 'morphogenesis of a branching epithelium'}"
C3714796,Isolated somatotropin deficiency,202,"{'double-stranded DNA binding', 'reproductive process', 'transcription regulatory region DNA binding', 'gland development', 'regulatory region nucleic acid binding', 'genetic imprinting', 'anatomical structure development', 'cellular developmental process', 'animal organ development', 'developmental process'}",0.20081967213114754,384,0.2592817408521119,0.0,"{'positive regulation of DNA binding', 'hormone receptor binding', 'DNA-binding transcription factor binding', 'feeding behavior', 'regulation of vasculature development', 'adult feeding behavior', 'positive regulation of biological process', 'positive regulation of multicellular organismal process', 'regulation of angiogenesis', 'regulation of signaling'}",0.2468354430379747,389,0.2694200874699444,0.0,"{'regulation of biosynthetic process', 'regulation of macromolecule biosynthetic process', 'regulation of gene expression', 'regulation of cellular macromolecule biosynthetic process', 'regulation of nitrogen compound metabolic process', 'regulation of nucleic acid-templated transcription', 'regulation of cellular biosynthetic process', 'regulation of primary metabolic process', 'regulation of transcription, DNA-templated', 'regulation of metabolic process'}"
C1866134,Wide anterior fontanel,357,"{'microbody part', 'protein localization to peroxisome', 'establishment of protein localization to peroxisome', 'peroxisomal membrane transport', 'peroxisomal transport', 'peroxisomal membrane', 'microbody membrane', 'protein import into peroxisome matrix', 'protein targeting to peroxisome', 'peroxisome organization'}",0.07848101265822785,69,0.1806777413134153,1.4656492800406912e-160,"{'microbody part', 'basement membrane', 'collagen-containing extracellular matrix', 'extracellular matrix structural constituent conferring tensile strength', 'extracellular matrix structural constituent', 'peroxisomal part', 'extracellular matrix', 'growth factor binding', 'peroxisome', 'platelet-derived growth factor binding'}",0.1982142857142857,314,0.3457744289835703,0.0,"{'positive regulation of cellular metabolic process', 'regulation of nitrogen compound metabolic process', 'regulation of cellular component organization', 'regulation of primary metabolic process', 'positive regulation of metabolic process', 'regulation of metabolic process', 'binding', 'enzyme binding', 'protein binding', 'anatomical structure morphogenesis'}"
C2364082,Sense of smell impaired,85,"{'1-phosphatidylinositol-3-kinase activity', 'phosphatidylinositol bisphosphate kinase activity', 'phosphatidylinositol-3-phosphate biosynthetic process', 'animal organ development', 'regulation of developmental growth', 'anatomical structure development', 'phosphatidylinositol kinase activity', 'fibroblast growth factor receptor signaling pathway', 'developmental process', 'phosphatidylinositol-4,5-bisphosphate 3-kinase activity'}",0.1657142857142857,323,0.4172336371809044,0.0,"{'phosphatidylinositol-4,5-bisphosphate 3-kinase activity', '1-phosphatidylinositol-3-kinase activity', 'phosphatidylinositol phosphorylation', 'fibroblast growth factor receptor binding', 'phosphatidylinositol bisphosphate kinase activity', 'phosphatidylinositol-3-phosphate biosynthetic process', 'lipid phosphorylation', 'phosphatidylinositol 3-kinase activity', 'fibroblast growth factor receptor signaling pathway', 'phosphatidylinositol kinase activity'}",0.13793103448275862,47,0.37631653984343194,0.0,"{'fibroblast growth factor-activated receptor activity', 'tachykinin receptor signaling pathway', 'regulation of biological process', 'positive regulation of ERK1 and ERK2 cascade', 'fibroblast growth factor binding', 'substance P receptor binding', 'protein binding', 'transmembrane receptor protein tyrosine kinase activity', 'transmembrane receptor protein kinase activity', 'neurokinin receptor binding'}"
C1276035,Pena-Shokeir syndrome type I,51,"{'neuromuscular junction', 'acetylcholine-gated channel complex', 'synapse', 'neuromuscular synaptic transmission', 'synaptic transmission, cholinergic', 'acetylcholine binding', 'acetylcholine receptor activity', 'acetylcholine-gated cation-selective channel activity', 'synaptic membrane', 'synapse part'}",0.14285714285714285,29,0.2489811102921693,1.2053623576555442e-307,"{'ammonium ion binding', 'neuromuscular junction', 'acetylcholinesterase activity', 'glucosidase activity', 'acetylcholine catabolic process in synaptic cleft', 'maltose metabolic process', 'synapse', 'acetylcholine binding', 'neurotransmitter binding', 'acetylcholine catabolic process'}",0.0,0,0.09253792660465006,5.508491970437498e-43,"{'immune response-regulating cell surface receptor signaling pathway involved in phagocytosis', 'neuromuscular junction', 'cytoskeletal protein binding', 'Fc-gamma receptor signaling pathway involved in phagocytosis', 'Fc-gamma receptor signaling pathway', 'response to hepatocyte growth factor', 'ephrin receptor binding', 'Fc receptor signaling pathway', 'transmembrane receptor protein tyrosine kinase signaling pathway', 'Fc receptor mediated stimulatory signaling pathway'}"
C0027022,Myeloproliferative disease,262,"{'positive regulation of cell population proliferation', 'protein kinase activity', 'platelet-derived growth factor receptor signaling pathway', 'protein tyrosine kinase activity', 'regulation of developmental process', 'protein autophosphorylation', 'phosphotransferase activity, alcohol group as acceptor', 'transmembrane receptor protein tyrosine kinase signaling pathway', 'peptidyl-tyrosine modification', 'peptidyl-tyrosine phosphorylation'}",0.29708222811671087,227,0.3545704337678227,0.0,"{'phosphorylation', 'cell surface receptor signaling pathway', 'kinase activity', 'positive regulation of protein kinase B signaling', 'peptidyl-tyrosine phosphorylation', 'protein tyrosine kinase activity', 'phosphotransferase activity, alcohol group as acceptor', 'regulation of protein kinase B signaling', 'peptidyl-tyrosine modification', 'protein phosphorylation'}",0.17482517482517482,242,0.3259297265154623,0.0,"{'cell surface receptor signaling pathway', 'kinase binding', 'neurotrophin receptor binding', 'protein metabolic process', 'neurotrophin TRKA receptor binding', 'cellular response to organic substance', 'signal transduction', 'neurotrophin TRK receptor binding', 'epidermal growth factor receptor signaling pathway', 'developmental process'}"
C1833225,Dystrophic toenail changes,5,"{'negative regulation of epidermal cell differentiation', 'negative regulation of epidermis development', 'tissue development', 'regulation of epidermis development', 'glandular epithelial cell differentiation', 'epithelial cell differentiation involved in prostate gland development', 'connexin complex', 'aging', 'prostate gland epithelium morphogenesis', 'selective autophagy'}",0.0,4,0.10420379190492367,4.3151232257217446e-54,"{'gap junction assembly', 'cell junction organization', 'plasma membrane protein complex', 'skin development', 'gap junction', 'tissue development', 'wide pore channel activity', 'connexin complex', 'cell junction assembly', 'gap junction channel activity'}",0.0,9,0.057845396295109826,9.461495725119101e-18,"{'adherens junction', 'cell junction organization', 'cell adhesion molecule binding', 'anchoring junction', 'cell adhesion', 'adherens junction organization', 'apical junction complex', 'heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules', 'cell-cell junction', 'cell-cell adherens junction'}"
C0206620,"Lymphangioma, Cystic",105,"{'MAPK cascade', 'phosphorylation', 'neuromuscular junction', 'signal transduction by protein phosphorylation', 'acetylcholine-gated channel complex', 'synaptic transmission, cholinergic', 'acetylcholine binding', 'face development', 'acetylcholine-gated cation-selective channel activity', 'protein phosphorylation'}",0.10526315789473684,63,0.32250209318132983,0.0,"{'GTPase activity', 'regulation of phosphorus metabolic process', 'phosphatidylinositol 3-kinase complex, class I', 'positive regulation of intracellular signal transduction', 'small GTPase mediated signal transduction', 'signal transduction', 'regulation of phosphate metabolic process', 'regulation of intracellular signal transduction', 'Ras protein signal transduction', 'intracellular signal transduction'}",0.09302325581395349,83,0.3091894403882996,0.0,"{'membrane protein complex', 'immune response-regulating cell surface receptor signaling pathway involved in phagocytosis', 'neuromuscular junction', 'plasma membrane protein complex', 'Fc-gamma receptor signaling pathway involved in phagocytosis', 'Fc-gamma receptor signaling pathway', 'protein-containing complex', 'Fc receptor signaling pathway', 'Fc receptor mediated stimulatory signaling pathway', 'cell junction'}"
