,disease_name,disease_num_significant,disease_top_10,lci_jaccard_sim,lci_num_significant,lci_top_10
C0431904,Ulnar polydactyly of fingers,333,"{'cell projection organization', 'plasma membrane bounded cell projection organization', 'ciliary part', 'embryonic morphogenesis', 'cilium', 'cell projection assembly', 'cilium assembly', 'cilium organization', 'plasma membrane bounded cell projection assembly', 'non-motile cilium assembly'}",0.1705607476635514,168,"{'positive regulation of cellular biosynthetic process', 'proximal promoter sequence-specific DNA binding', 'transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity', 'positive regulation of biosynthetic process', 'positive regulation of transcription by RNA polymerase II', 'positive regulation of macromolecule biosynthetic process', 'cilium assembly', 'cellular component assembly', 'plasma membrane bounded cell projection assembly', 'positive regulation of nucleobase-containing compound metabolic process'}"
C1328931,Multiple lentigines,190,"{'regulation of protein serine/threonine kinase activity', 'positive regulation of protein phosphorylation', 'regulation of protein kinase activity', 'regulation of kinase activity', 'positive regulation of MAP kinase activity', 'positive regulation of protein kinase activity', 'regulation of transferase activity', 'positive regulation of transferase activity', 'positive regulation of kinase activity', 'activation of protein kinase activity'}",0.0,40,"{'secondary metabolic process', 'phytoalexin metabolic process', 'organic hydroxy compound biosynthetic process', 'phenol-containing compound biosynthetic process', 'isoquinoline alkaloid metabolic process', 'pigment granule membrane', 'aminergic neurotransmitter loading into synaptic vesicle', 'enzyme binding', 'melanosome membrane', 'phenol-containing compound metabolic process'}"
C0266387,Bicornuate uterus,23,"{'regulation of nucleobase-containing compound metabolic process', 'positive regulation of metanephric glomerulus development', 'ureter maturation', 'metanephros development', 'regulation of metanephric glomerulus development', 'cellular response to retinoic acid', 'animal organ maturation', 'regulation of RNA metabolic process', 'regulation of biosynthetic process', 'kidney epithelium development'}",0.09836065573770492,111,"{'intracellular', 'SMAD protein complex', 'positive regulation of transcription by RNA polymerase II', 'transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity', 'positive regulation of macromolecule biosynthetic process', 'positive regulation of RNA metabolic process', 'positive regulation of RNA biosynthetic process', 'positive regulation of nucleic acid-templated transcription', 'positive regulation of transcription, DNA-templated', 'positive regulation of nucleobase-containing compound metabolic process'}"
C0241054,Skin bulla,184,"{'telomerase RNA binding', 'epidermis development', 'cornification', 'cell-substrate junction assembly', 'RNA-dependent DNA biosynthetic process', 'structural molecule activity', 'hemidesmosome assembly', 'telomere maintenance via telomerase', 'anatomical structure homeostasis', 'telomerase holoenzyme complex'}",0.08714285714285715,577,"{'multi-organism process', 'protein-containing complex', 'protein kinase binding', 'protein binding', 'response to stimulus', 'interspecies interaction between organisms', 'cell surface receptor signaling pathway', 'kinase binding', 'enzyme binding', 'identical protein binding'}"
C2985290,Fetal Alcohol Spectrum Disorders,120,"{'cellular response to chemical stimulus', 'negative regulation of cellular process', 'organ growth', 'anatomical structure formation involved in morphogenesis', 'gland development', 'regulation of multicellular organismal process', 'hematopoietic progenitor cell differentiation', 'developmental process', 'regulation of developmental process', 'cell differentiation'}",0.05056179775280899,67,"{'retrograde protein transport, ER to cytosol', 'endoplasmic reticulum mannose trimming', 'response to endoplasmic reticulum stress', 'protein exit from endoplasmic reticulum', 'ubiquitin-dependent ERAD pathway', 'Derlin-1 retrotranslocation complex', 'response to chemical', 'ERAD pathway', 'endoplasmic reticulum to cytosol transport', 'hedgehog family protein binding'}"
C0019158,Hepatitis,130,"{'organonitrogen compound metabolic process', 'nitrogen compound metabolic process', 'regulation of programmed cell death', 'extracellular space', 'vesicle lumen', 'secretory granule lumen', 'cytoplasmic vesicle lumen', 'regulation of apoptotic process', 'response to stimulus', 'extracellular region'}",0.125,140,"{'regulation of humoral immune response', 'multi-organism process', 'activation of immune response', 'regulation of protein metabolic process', 'regulation of immune response', 'cellular response to nicotine', 'complement activation, classical pathway', 'defense response', 'response to stress', 'positive regulation of immune response'}"
C1298695,Hypoplasia of optic disc,50,"{'detection of light stimulus', 'detection of visible light', 'detection of external stimulus', 'regulation of rhodopsin mediated signaling pathway', 'rhodopsin mediated signaling pathway', 'visual perception', 'detection of abiotic stimulus', 'sensory perception of light stimulus', 'response to light stimulus', 'response to radiation'}",0.0945945945945946,31,"{'regulation of metal ion transport', 'synapse part', 'regulation of G protein-coupled receptor signaling pathway', 'cell projection part', 'regulation of GTPase activity', 'regulation of calcium ion transport', 'G protein-coupled serotonin receptor binding', 'dopamine receptor signaling pathway', 'G protein-coupled receptor signaling pathway', 'plasma membrane bounded cell projection part'}"
C0542223,Loss of speech,144,"{'vacuole', 'lysosome', 'transport', 'vesicle-mediated transport', 'vacuolar lumen', 'localization', 'vacuolar part', 'myeloid leukocyte activation', 'establishment of localization', 'lytic vacuole'}",0.0,0,"{'cell cycle checkpoint', 'plasma membrane', 'innate immune response', 'regulation of cell cycle', 'membrane', 'signaling receptor binding', 'cellular response to virus', 'protein localization to cell surface', 'bone remodeling', 'identical protein binding'}"
C1853235,Sclerocornea,35,"{'anatomical structure morphogenesis', 'camera-type eye development', 'ciliary basal body-plasma membrane docking', 'membrane docking', 'embryonic morphogenesis', 'MKS complex', 'organelle localization by membrane tethering', 'cilium assembly', 'cilium organization', 'non-motile cilium assembly'}",0.0,36,"{'regulation of telomeric D-loop disassembly', 'regulation of telomeric loop disassembly', 'regulation of telomere maintenance via semi-conservative replication', 'nucleotidyltransferase activity', 'regulation of exonuclease activity', 'negative regulation of telomere maintenance via semi-conservative replication', 'negative regulation of nuclear cell cycle DNA replication', 'negative regulation of telomeric loop disassembly', 'negative regulation of telomeric D-loop disassembly', 'negative regulation of exonuclease activity'}"
C0029456,Osteoporosis,1241,"{'response to oxygen-containing compound', 'organelle part', 'response to organic substance', 'biological_process', 'cellular process', 'response to chemical', 'response to stimulus', 'regulation of biological quality', 'molecular_function', 'cellular_component'}",0.26626262626262626,1893,"{'positive regulation of nitrogen compound metabolic process', 'positive regulation of cellular process', 'positive regulation of biological process', 'positive regulation of metabolic process', 'positive regulation of macromolecule metabolic process', 'organelle', 'positive regulation of cellular metabolic process', 'membrane-bounded organelle', 'regulation of primary metabolic process', 'negative regulation of cellular process'}"
