disease,protein,common_interactor_score,common_interactor_score_pvalue,degree,frac_direct_interactions,frac_direct_interactions_pvalue
GO:2000677,7040,0.0254040127948512,0.806,110,0.0,1.0
GO:2000677,171392,0.016776870961722885,0.223,4,0.030303030303030304,0.044
GO:2000677,3458,0.043196780595016936,0.039,11,0.0,1.0
GO:2000677,51341,0.10690742851763715,0.005,36,0.06060606060606061,0.028
GO:2000677,2959,0.10961895429159631,0.06,148,0.06060606060606061,0.169
GO:2000677,7189,0.0866387394412102,0.299,552,0.09090909090909091,0.251
GO:2000677,3479,0.007201651000011836,0.868,21,0.0,1.0
GO:2000677,4760,0.07106517274796971,0.03,24,0.030303030303030304,0.134
GO:2000677,8091,0.07497429256626595,0.029,28,0.030303030303030304,0.145
GO:2000677,5663,0.08644510477385639,0.095,137,0.06060606060606061,0.171
GO:2000677,5925,0.1786968598625456,0.017,257,0.18181818181818182,0.012
GO:2000677,23462,0.1097917067535323,0.009,26,0.06060606060606061,0.028
GO:2000677,11315,0.0697821910938974,0.122,81,0.030303030303030304,0.364
GO:2000677,3005,0.03656586507000614,0.205,35,0.0,1.0
GO:2000677,2623,0.13294258380491403,0.022,109,0.09090909090909091,0.063
GO:2000677,2625,0.09172467441466055,0.018,42,0.0,1.0
GO:2000677,64324,0.056889802023252466,0.063,41,0.0,1.0
GO:2000677,23493,0.16986827617461941,0.002,38,0.12121212121212122,0.002
GO:2000677,65992,0.006555097589423058,0.919,27,0.0,1.0
GO:2000677,7114,0.028025998352447467,0.521,53,0.0,1.0
GO:2000677,9421,0.18078929545423247,0.004,30,0.06060606060606061,0.025
GO:2000677,25942,0.17254645890780565,0.02,254,0.09090909090909091,0.121
GO:2000677,64855,0.011520897664694165,0.713,25,0.0,1.0
GO:2000677,6872,0.1288428976912161,0.029,112,0.12121212121212122,0.024
GO:2000677,5080,0.05158626108337565,0.395,156,0.09090909090909091,0.08
GO:2000677,1499,0.1377500798100388,0.067,395,0.09090909090909091,0.235
GO:2000677,10459,0.04690761025304692,0.255,63,0.0,1.0
GO:2000677,84444,0.04604352223599923,0.189,56,0.030303030303030304,0.244
GO:2000677,117854,0.012142791083003819,0.419,8,0.0,1.0
GO:2000677,51042,0.009655042034580865,0.787,23,0.0,1.0
GO:2000677,1649,0.06178750781564704,0.15,85,0.030303030303030304,0.325
GO:2000677,2033,0.23877548086718894,0.008,547,0.2727272727272727,0.011
GO:2000677,9464,0.16822939492671224,0.001,19,0.09090909090909091,0.003
GO:2000677,7291,0.11517929886596556,0.008,38,0.030303030303030304,0.196
GO:0060338,57506,0.07506266057119583,0.001,73,0.13333333333333333,0.007
GO:0060338,11140,0.0581820320806893,0.23,311,0.06666666666666667,0.741
GO:0060338,8772,0.037859491785674146,0.061,87,0.06666666666666667,0.131
GO:0060338,84166,0.03780591395217282,0.001,4,0.0,1.0
GO:0060338,149095,0.0048435670485160245,0.265,2,0.0,1.0
GO:0060338,79594,0.024932841841524864,0.068,40,0.06666666666666667,0.07
GO:0060338,5771,0.024030358318964374,0.056,39,0.0,1.0
GO:0060338,58509,0.009445744018581469,0.93,167,0.0,1.0
GO:0060338,51441,0.023322347223877462,0.061,39,0.0,1.0
GO:0060338,7474,0.0,1.0,9,0.0,1.0
GO:0060338,25939,0.019310243366459406,0.277,68,0.0,1.0
GO:0060338,56339,0.013558566135680579,0.142,12,0.0,1.0
GO:0060338,3093,0.03433046041577334,0.137,107,0.0,1.0
GO:0060338,3326,0.060989231735629555,0.085,543,0.06666666666666667,0.46
GO:0060338,29883,0.024127099283349933,0.084,48,0.0,1.0
GO:0060338,117854,0.014705878557600416,0.068,8,0.0,1.0
GO:0006029,81792,0.007197225284792174,0.284,14,0.0,1.0
GO:0006029,2817,0.004724976429829164,0.299,16,0.0,1.0
GO:0006029,64131,0.004141576832812911,0.201,3,0.0,1.0
GO:0006029,64132,0.049028203669321244,0.012,6,0.0,1.0
GO:0006029,3340,0.09486470241349888,0.011,10,0.0,1.0
GO:0006029,11285,0.06714102135252335,0.001,24,0.0,1.0
GO:0006029,3479,0.0,1.0,21,0.0,1.0
GO:0006029,55959,0.11341313663238686,0.0,4,0.0,1.0
GO:0006029,55454,0.1619580391932121,0.002,23,0.09523809523809523,0.004
GO:0006029,113189,0.16422237067343215,0.012,8,0.047619047619047616,0.037
GO:0006029,124583,0.019040448521175497,0.07,22,0.0,1.0
GO:0006029,23213,0.00303264316206688,0.168,2,0.0,1.0
GO:0006029,6448,0.05738166329133084,0.022,12,0.0,1.0
GO:0006029,26035,0.03825792209309584,0.046,14,0.0,1.0
GO:0006029,222537,0.0,1.0,8,0.0,1.0
GO:0006029,92370,0.07064322673766762,0.002,2,0.0,1.0
GO:0006029,2131,0.18223816401839282,0.002,14,0.047619047619047616,0.016
GO:0006029,2132,0.09128538807742306,0.012,23,0.047619047619047616,0.024
