Disease ID,Disease Name,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C0424295,Hyperactive behavior,0.0,4567.044943820225,0.0016209582016397362,4502.516853932584,0.5085034486360451,0.034722222222222224
C0856975,Autistic behavior,0.0,6452.0,0.00012078024035267829,6318.9,0.4909403877514043,0.0
C0016663,Pathological fracture,0.0,3252.1052631578946,0.00011473466419154697,3043.5263157894738,0.49094093489551877,0.0
C4073292,Afro-textured hair,0.0,4945.076923076923,0.001235230771184766,4886.923076923077,0.516271733880705,0.05
C0333913,Achromasia,0.0,4565.727272727273,6.639632574014239e-05,4379.727272727273,0.4909453096704093,0.0
C1854494,Slow progression,0.02222222222222222,4881.556818181818,0.002586804802562883,4882.329545454545,0.5201496283717764,0.02222222222222222
C0694563,Excessive daytime somnolence,0.0,3573.8,0.0029954980543641886,4966.3,0.5416520794350215,0.1
C0011853,"Diabetes Mellitus, Experimental",0.02,3383.7549019607845,0.0032449191881126736,3614.5098039215686,0.5306744102634846,0.04909090909090909
C0344531,Embryotoxon,0.3,3195.8846153846152,0.29177540390523166,4264.307692307692,0.6436610073912956,0.3
C0595939,Stillbirth,0.0,3563.764705882353,0.0022850658147218557,4429.0,0.5660643115942028,0.05
C0948163,Leukoaraiosis,0.0,2968.764705882353,0.0026677285278338277,3523.470588235294,0.5917300724637681,0.15
C1843392,Death in childhood,0.0,5068.785714285715,8.451773155052874e-05,4894.928571428572,0.49094366962506786,0.0
C1835473,Diaphyseal thickening,0.1,3843.7272727272725,0.10006036022988699,4583.0,0.5418507787033684,0.1
C0409348,Flexion contracture of proximal interphalangeal joint,0.0,4537.96,0.0008514518516104692,4451.626666666667,0.49725374197067024,0.0125
C0520679,"Sleep Apnea, Obstructive",0.2,3854.6,0.020140289336400906,4425.6,0.6426299269632402,0.2
C1845847,Coarse facial features,0.0,5310.317307692308,0.0012923461615308104,5476.9807692307695,0.510089954360579,0.028181818181818186
C1866934,Decreased to absent deep tendon reflexes,0.075,3872.829268292683,0.058563077575901734,4005.609756097561,0.5291129958877601,0.075
