Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
C0013182,Drug Allergy,0.18333333333333332,0.06666666666666667,0.7179626271784023,0.010849536218632518,4622.84375,3304.40625
C0917798,Cerebral Ischemia,0.05,0.0,0.8513874630110514,0.0030261305628237383,2517.5,4518.444444444444
C0020295,Hydronephrosis,0.17857142857142855,0.16428571428571428,0.8167483582373656,0.044592758326435875,3001.621212121212,4943.560606060606
C3714796,Isolated somatotropin deficiency,0.03333333333333333,0.0,0.7268139150753363,0.0019010321322138351,4450.137931034483,4916.206896551724
C1866134,Wide anterior fontanel,0.325,0.27999999999999997,0.8584700296376944,0.1221592187892867,2389.681818181818,4230.568181818182
C2364082,Sense of smell impaired,0.2,0.0,0.6759693199661795,0.005549239873342765,5658.578947368421,7456.631578947368
C1276035,Pena-Shokeir syndrome type I,0.2,0.2,0.6835783277995774,0.08355169688915927,4827.916666666667,3265.4166666666665
C0027022,Myeloproliferative disease,0.25,0.05,0.8710026568443935,0.009721079305660277,1936.75,4545.0625
C1833225,Dystrophic toenail changes,0.2222222222222222,0.2222222222222222,0.6952022640699609,0.13918697016305454,5050.888888888889,4276.888888888889
C0206620,"Lymphangioma, Cystic",0.36666666666666664,0.2333333333333333,0.7217967302891198,0.020984628428747983,4434.619047619048,4060.714285714286
C0006413,Burkitt Lymphoma,0.0,0.0,0.763866078975969,0.0013384192039539958,3466.4,6690.533333333334
C0019158,Hepatitis,0.13333333333333333,0.08333333333333333,0.6705207200676573,0.015193168224367195,5480.391304347826,3664.695652173913
C0003126,Anosmia,0.25,0.0,0.651544570600314,0.0051279372189271775,6042.263157894737,7084.9473684210525
C0241074,Skin hyperelastic,0.3416666666666667,0.2833333333333333,0.8798473859171955,0.07538307011568371,1986.375,3692.375
C0020459,Hyperinsulinism,0.0625,0.025,0.7186517738080805,0.01602379360344529,4635.025316455696,5223.050632911392
C0020541,"Hypertension, Portal",0.1,0.1,0.6107570723849793,0.008773884314402685,6163.090909090909,4321.181818181818
