Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
C0013182,Drug Allergy,0.125,0.09166666666666665,0.6790636647526946,0.007118711827158862,5260.75,3304.40625
C0917798,Cerebral Ischemia,0.15,0.0,0.8105033516516696,0.002899710815101512,3229.8888888888887,4518.444444444444
C0020295,Hydronephrosis,0.19523809523809524,0.13333333333333336,0.8065244382532857,0.07243466917553085,3183.3030303030305,4943.560606060606
C3714796,Isolated somatotropin deficiency,0.0,0.0,0.7235597453871565,0.0008072922069250378,4515.9655172413795,4916.206896551724
C1866134,Wide anterior fontanel,0.305,0.23500000000000001,0.8129719349180426,0.11348410516778243,3169.9545454545455,4230.568181818182
C2364082,Sense of smell impaired,0.2,0.15,0.6331108829568789,0.029422109604304393,6407.368421052632,7456.631578947368
C1276035,Pena-Shokeir syndrome type I,0.2,0.0,0.7036960458798671,0.007605551382529299,4657.166666666667,3265.4166666666665
C0027022,Myeloproliferative disease,0.25,0.1,0.8809446893303544,0.011860310615289745,1826.75,4545.0625
C1833225,Dystrophic toenail changes,0.2222222222222222,0.2222222222222222,0.7579939910939428,0.13928807351830302,4010.5555555555557,4276.888888888889
C0206620,"Lymphangioma, Cystic",0.26666666666666666,0.1,0.7355450189256665,0.010585238245879718,4233.238095238095,4060.714285714286
C0006413,Burkitt Lymphoma,0.05,0.0,0.7689077406110374,0.00214278630633511,3297.3333333333335,6690.533333333334
C0019158,Hepatitis,0.13333333333333333,0.03333333333333333,0.6831802988200233,0.005082152045840725,5285.869565217391,3664.695652173913
C0003126,Anosmia,0.15,0.1,0.5776739340500061,0.017346148967211643,7333.0526315789475,7084.9473684210525
C0241074,Skin hyperelastic,0.3083333333333333,0.175,0.8153661730633625,0.07109035573446174,3033.5,3692.375
C0020459,Hyperinsulinism,0.0875,0.025,0.6982924878340232,0.028979306527229576,4975.708860759493,5223.050632911392
C0020541,"Hypertension, Portal",0.1,0.1,0.6129517769052653,0.005963992029928171,6176.545454545455,4321.181818181818
C0014474,Ependymoma,0.4,0.2,0.8013448650606774,0.11014806807954955,3880.0,4337.071428571428
C4020838,Relative short stature,0.25,0.25,0.7455219149963778,0.05001601595118623,4088.6923076923076,2608.846153846154
C0221170,Muscular stiffness,0.0,0.0,0.6372683368548143,0.0007007226979819892,5461.5,4287.333333333333
C3275417,Ragged-red fibers,0.2,0.1,0.8274447663889894,0.012473691232734608,2616.4545454545455,5899.818181818182
C0349204,Nonorganic psychosis,0.0125,0.0,0.5770280991055734,0.0011027843270025937,6960.141025641025,5841.333333333333
C0007787,Transient Ischemic Attack,0.1,0.0,0.8858544093680207,0.0030641752002148782,1708.9,5379.4
C0018916,Hemangioma,0.15,0.0,0.7967807377874431,0.005200869244206613,3415.2608695652175,4906.782608695652
C1837485,Flat acetabular roof,0.0,0.0,0.6552996921591114,0.0005269302491312667,5540.3,4502.0
C0007222,Cardiovascular Diseases,0.05,0.016666666666666666,0.704709627297859,0.003456392933584984,4826.0,2557.1724137931033
C2673410,Small midface,0.030000000000000006,0.01,0.7691440230887239,0.0035678795390888,3808.3009708737864,4805.145631067961
C0234182,Gowers sign,0.0,0.0,0.6425839223504299,0.0006678247235421245,5686.958333333333,3734.25
C0023493,Adult T-Cell Lymphoma/Leukemia,0.15833333333333333,0.0,0.7824000765542528,0.005522690387051638,3605.2258064516127,3576.3225806451615
