Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
C0013182,Drug Allergy,0.1,0.1,0.6486808703535811,0.011892833385810021,5718.6875,3304.40625
C0917798,Cerebral Ischemia,0.05,0.0,0.856889002959116,0.0032915427736011486,2526.0555555555557,4518.444444444444
C0020295,Hydronephrosis,0.2095238095238095,0.11904761904761904,0.8543631085769661,0.03216404586517989,2394.469696969697,4943.560606060606
C3714796,Isolated somatotropin deficiency,0.03333333333333333,0.0,0.7273114575779551,0.0013821377208748848,4559.6551724137935,4916.206896551724
C1866134,Wide anterior fontanel,0.35,0.255,0.8291187322325048,0.11295792574461161,2843.5227272727275,4230.568181818182
C2364082,Sense of smell impaired,0.25,0.0,0.6650138905664935,0.006534215534781673,5849.105263157895,7456.631578947368
C1276035,Pena-Shokeir syndrome type I,0.2,0.2,0.46365680651977054,0.03677003950823769,7897.833333333333,3265.4166666666665
C0027022,Myeloproliferative disease,0.1,0.0,0.8544758770605639,0.003782542156748097,2059.25,4545.0625
C1833225,Dystrophic toenail changes,0.2222222222222222,0.2222222222222222,0.7659209185042116,0.013909769071275033,3879.222222222222,4276.888888888889
C0206620,"Lymphangioma, Cystic",0.36666666666666664,0.03333333333333333,0.7217967302891197,0.012998725390062022,4428.428571428572,4060.714285714286
C0006413,Burkitt Lymphoma,0.1,0.05,0.7913265306122449,0.007273191847284083,3324.266666666667,6690.533333333334
C0019158,Hepatitis,0.13333333333333333,0.03333333333333333,0.6759031049897306,0.004477388560149802,5432.086956521739,3664.695652173913
C0003126,Anosmia,0.3,0.0,0.641621874622539,0.005161528649480803,6214.315789473684,7084.9473684210525
C0241074,Skin hyperelastic,0.3416666666666667,0.1833333333333333,0.8451259192102348,0.04588295082405344,2567.03125,3692.375
C0020459,Hyperinsulinism,0.0875,0.025,0.7573486721334188,0.020600713727346794,4010.3924050632913,5223.050632911392
C0020541,"Hypertension, Portal",0.13333333333333333,0.1,0.6721725561260444,0.010441946394376943,5178.772727272727,4321.181818181818
C0014474,Ependymoma,0.4,0.3,0.7470551832397513,0.03501290629616373,4744.071428571428,4337.071428571428
C4020838,Relative short stature,0.25,0.25,0.6992046003380826,0.048008738016253674,4511.538461538462,2608.846153846154
C0221170,Muscular stiffness,0.0,0.0,0.6625807425294296,0.0003135746392915269,5176.833333333333,4287.333333333333
C3275417,Ragged-red fibers,0.1,0.0,0.8566219968610407,0.0022980295171969698,2119.181818181818,5899.818181818182
C0349204,Nonorganic psychosis,0.0125,0.0125,0.6229766630878062,0.0022704788024496833,6177.51282051282,5841.333333333333
C0007787,Transient Ischemic Attack,0.1,0.0,0.8680328363614415,0.0026405265251965115,2004.1,5379.4
C0018916,Hemangioma,0.2,0.15,0.8054110788933186,0.02294760151962754,3162.0,4906.782608695652
C1837485,Flat acetabular roof,0.0,0.0,0.7487444920625339,0.0012362630366333526,3992.2,4502.0
