Disease ID,Disease Name,Ranks,Recall-at-25,Mean Average Precision,AUROC,Recall-at-100,Nodes
C0234632,Reduced visual acuity,5801.745762711865,0.03333333333333333,0.03724862274760234,0.7223761125065898,0.10333333333333332,5872.762711864407
C0002962,Angina Pectoris,4205.928571428572,0.0,0.006115129717204263,0.8061446873694471,0.25,4957.357142857143
C2752013,Prenatal onset,5617.717391304348,0.014285714285714285,0.004386795627966296,0.7379096894048572,0.05054945054945055,6969.050724637681
C0004096,Asthma,5753.071428571428,0.021111111111111112,0.005500806305171755,0.7287904841791323,0.08333333333333333,5362.285714285715
C0013604,Edema,4972.478260869565,0.030952380952380953,0.0048667715260414576,0.7659261647697054,0.0738095238095238,4319.811594202899
C0694563,Excessive daytime somnolence,10966.76923076923,0.15,0.009255343784488603,0.4037713516524322,0.15,5489.307692307692
C0426799,Congenital hypoplasia of clavicle,4806.277777777777,0.05,0.0031085964625926976,0.7703955615395329,0.05,5478.0
C0520743,Mediastinal lymphadenopathy,2979.2727272727275,0.35,0.2754428498025077,0.8454631950245985,0.35,2427.0
C0920299,Overriding toe,4513.0,0.0,0.00039095289039073073,0.790597298927925,0.0,6937.8
C1290857,Disorder of face,1929.3,0.0,0.0033053058991874295,0.9105072631920917,0.1,2974.2
C0029401,Osteitis Deformans,3733.0,0.0,0.0013753385371980558,0.8254269339644531,0.0,8497.125
C0152013,Adenocarcinoma of lung (disorder),2989.4745762711864,0.08666666666666667,0.01516205113428912,0.862854839209849,0.12,4650.779661016949
C0013404,Dyspnea,4750.485294117647,0.04523809523809523,0.010071525439110498,0.7775239380502538,0.08809523809523809,5980.970588235294
C0035579,Rickets,8107.733333333334,0.0,0.0011991905807028438,0.6561194410918206,0.0,3634.3333333333335
C0035313,Retinal Dysplasia,5516.2,0.2,0.013248785594784545,0.6202325149672807,0.2,8280.3
C1145670,Respiratory Failure,2669.3733333333334,0.14285714285714285,0.03152911635186943,0.879366571016266,0.3017857142857143,6550.52
C1142533,Smooth philtrum,3393.7619047619046,0.0,0.004598269541527474,0.8378776435045315,0.06999999999999999,7898.238095238095
C0079773,"Lymphoma, T-Cell, Cutaneous",1014.7272727272727,0.08333333333333333,0.02205287529234375,0.9552581069576659,0.18333333333333332,3986.2272727272725
C0332606,Elfin facies,4788.4,0.2,0.03467149726061915,0.7543811203415789,0.2,5865.9
C0600031,Congenital absence of spleen,8720.888888888889,0.0,0.0001668202923325968,0.615509560051977,0.0,8853.0
C1864985,Progressive disorder,4332.13475177305,0.0,0.0037722802503495855,0.7968188225981464,0.03571428571428571,7009.985815602837
C4021724,Decreased activity of cytochrome C oxidase in muscle tissue,5767.444444444444,0.2222222222222222,0.2226713205596839,0.7323907348967679,0.2222222222222222,9175.333333333334
C1834752,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO (finding)",7218.222222222223,0.0,0.004298398410509611,0.6203927149722582,0.2222222222222222,5899.0
C0000889,Acanthosis Nigricans,3151.3,0.2,0.039136259520980085,0.8521997028369782,0.25,4659.5
C0576860,Narrowing of ear canal,5368.461538461538,0.0,0.005432147757444489,0.7461926754548831,0.3,5793.846153846154
C1857679,Sloping forehead,4004.4222222222224,0.0,0.004656754772869799,0.8137544161398289,0.095,8477.333333333334
C0581342,Redundant skin,5224.333333333333,0.15,0.01863195921840449,0.7509235175723796,0.15,6562.814814814815
C0332615,Myopathic facies,6734.076923076923,0.0,0.005504784722877792,0.6993130337913108,0.25,6344.461538461538
C0009676,Confusion,3828.2727272727275,0.08333333333333333,0.012261079147113618,0.8086134974073215,0.11666666666666665,5495.363636363636
C0311468,Increased bilirubin level (finding),6787.777777777777,0.2,0.013728060993144608,0.6996065276939505,0.2,5262.833333333333
C1849295,Hypoplastic labia minora,5768.4,0.2,0.20016620125378673,0.7323316470970436,0.2,9879.2
C0158986,Neonatal hypoglycemia,2102.0,0.1,0.023605990935909503,0.8927483751160631,0.25,4280.529411764706
C0007194,Hypertrophic Cardiomyopathy,2772.4044943820227,0.06666666666666668,0.020791494869948246,0.8718977729126556,0.2361111111111111,6088.842696629214
C0432163,Defect of vertebral segmentation,2473.0588235294117,0.15,0.01706494277514774,0.8943187093779015,0.6,4331.411764705882
C0581354,Recurrent sinusitis,9096.09090909091,0.05,0.004312873310410427,0.5994392848850708,0.15,9139.90909090909
C0041974,Urethral Stricture,2249.4666666666667,0.4,0.16927767273644964,0.8604470337016062,0.5,8937.866666666667
C0221766,Diastasis recti,5718.444444444444,0.2222222222222222,0.050187101666092464,0.7456737413113875,0.2222222222222222,5743.555555555556
C0338503,Septo-Optic Dysplasia,4576.181818181818,0.0,0.0011255308894894402,0.8141650422352177,0.0,7024.909090909091
C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,2966.5,0.0,0.0024713931884407167,0.8694303885613481,0.05,6711.25
C1857640,Decreased nerve conduction velocity,4081.0588235294117,0.05833333333333333,0.011086775332643054,0.8053450572256036,0.175,5947.588235294118
C0042510,Ventricular Fibrillation,3604.5,0.2,0.04226588810254342,0.8048059514414373,0.2,5929.0
C0021831,Intestinal Diseases,11028.0,0.0,0.00020649846388408867,0.48612103773147075,0.0,6799.0
C1843921,Postural instability,3028.764705882353,0.0,0.0024859628819595197,0.8770334261838441,0.05,7165.058823529412
C0011253,Delusions,1791.090909090909,0.4,0.2504110761263548,0.891592406943284,0.4,4985.727272727273
C0426492,Small tongue,6744.5,0.0,0.00023932938118870675,0.6752192880679444,0.0,3939.6
C1838608,Radial aplasia,3033.4666666666667,0.4,0.06512141025833278,0.8495566799740043,0.45,3920.0
C1853743,Axial hypotonia,4834.739130434783,0.04,0.006247841095917057,0.7733001720050207,0.125,8705.08695652174
C1837279,Hypoplastic toenails,4996.380952380952,0.13333333333333333,0.025428739669071127,0.7592275724368499,0.18333333333333332,5503.666666666667
C1847906,Onion bulb formation,5689.368421052632,0.0,0.0005748692070392839,0.7327119509703779,0.0,6696.368421052632
C0023530,Leukopenia,3949.0833333333335,0.24166666666666664,0.14058088531431207,0.7987729039852548,0.35,5587.25
C0019829,Hodgkin Disease,5972.6,0.0,0.0005314074651683984,0.7164306935289202,0.0,5601.0
C1142166,Brugada Syndrome (disorder),7233.0,0.0,0.0011452375380145018,0.6064664376566707,0.0,7399.2
C0003864,Arthritis,3892.8867924528304,0.02,0.008407640167048615,0.8161326574900795,0.11666666666666667,4368.867924528302
C1836543,Thick vermilion border,6099.36,0.06666666666666667,0.007465342350567171,0.7041217722459594,0.1,6511.16
C0042798,Low Vision,4286.317647058823,0.05294117647058823,0.01641251103971548,0.7998038940642886,0.08823529411764705,6664.123529411765
C0151205,Periorbital edema,2410.6923076923076,0.15,0.011958844019153793,0.9064553936130709,0.2,6741.384615384615
C0018213,Graves Disease,5315.0,0.0,0.001744839116509403,0.7732061635570406,0.0,8782.181818181818
C1854494,Slow progression,5117.034090909091,0.0,0.0023324820054973537,0.7605278411766837,0.02222222222222222,6374.0
C0042164,Uveitis,5158.615384615385,0.1,0.03887496174029349,0.758464073523951,0.1,3042.076923076923
C1955869,Malformations of Cortical Development,2199.4166666666665,0.0,0.001332961685171866,0.904769087955442,0.0,7196.916666666667
C0155552,"Hearing Loss, Mixed Conductive-Sensorineural",4286.666666666667,0.2,0.04441079506195776,0.7404386168484568,0.35,2771.6666666666665
C4022996,Abnormal sex determination,2737.3636363636365,0.15,0.06237574754098722,0.8504687645038522,0.5,5778.090909090909
C2931673,"Ceroid lipofuscinosis, neuronal 1, infantile",5040.1,0.0,0.0010304843344093916,0.7661344966816725,0.0,7900.0
C0338715,Drug-induced depressive state,4952.928571428572,0.0,0.0005589440582248288,0.7532725247180059,0.0,4394.428571428572
C0700078,Decreased tendon reflex,3865.5163934426228,0.04935897435897436,0.022583212959599672,0.81925276476886,0.09935897435897435,7207.336065573771
C0338831,Manic,9959.357142857143,0.0,0.00020656104742078062,0.4893654551362392,0.0,6637.0
C0853945,Oral mucosal blistering,68.4,0.5,0.16443034482569885,0.9968719543323896,0.8,2881.0
C3501843,Nonmedullary Thyroid Carcinoma,4582.9,0.0,0.0005879520878198645,0.7748920963475193,0.0,6955.5
C1839972,Increased IgM levels,3456.9375,0.15,0.05289495769974637,0.803049997678845,0.3,4102.6875
C1837658,Gross motor development delay,6378.714285714285,0.05,0.0042678993760889425,0.7055681958890541,0.1,6870.476190476191
C0233315,Premature birth of newborn,4039.0757575757575,0.10714285714285714,0.03475939054478991,0.8094788294546333,0.2547619047619047,5697.787878787879
C2674608,Feeding difficulties in infancy,4225.9653179190755,0.022875816993464054,0.011881873342935143,0.8016645133861001,0.12026143790849672,6548.023121387283
C0085298,Sudden Cardiac Death,3364.6206896551726,0.16666666666666666,0.10519737450072764,0.835734856930509,0.3,4984.172413793103
C0026884,Mutism,3500.8,0.0,0.0010166131691419097,0.8375736761498122,0.0,7072.6
C1260926,Abnormal pigmentation,4249.04,0.03333333333333333,0.00877359111966751,0.7990219982661465,0.08333333333333333,5900.12
C3161330,Profound intellectual disabilities,6461.806451612903,0.05833333333333333,0.005183984995999014,0.6891991080553749,0.05833333333333333,7624.741935483871
C1856749,Hypoplastic-absent toenails,3624.5833333333335,0.5,0.07401488760354681,0.7898700394523092,0.5,9792.25
C0005747,Blepharospasm,9181.545454545454,0.2,0.20015107168958662,0.576717256103221,0.2,2719.2727272727275
C1850794,"Muscle atrophy, proximal",3207.8333333333335,0.15,0.06288444663661845,0.8614736597818521,0.15,6969.583333333333
C0032914,Pre-Eclampsia,4063.6190476190477,0.1,0.014138833572602452,0.8107602773650321,0.3,4729.190476190476
C0854723,Retinal Dystrophies,3048.6363636363635,0.05833333333333333,0.013650785766504742,0.8519633122715728,0.26666666666666666,9331.757575757576
C0020542,Pulmonary Hypertension,6985.926470588235,0.0,0.0023224630526098625,0.6776855378942495,0.0738095238095238,4985.35294117647
C0017168,Gastroesophageal reflux disease,4949.525641025641,0.026785714285714284,0.007653255206256325,0.7700558435814384,0.07857142857142857,5468.615384615385
C0022408,Arthropathy,6244.933333333333,0.05,0.006481032667302792,0.7105410361154954,0.15,4416.8
C0426790,Narrow thorax,3934.4528301886794,0.06000000000000001,0.00688409595225524,0.8165955946180556,0.11333333333333333,7178.603773584906
C1849134,Decreased lower limb vibratory sense,2400.3333333333335,0.25,0.15364489061772785,0.8724205152007427,0.25,9902.916666666666
C1832160,Poor temperature regulation,5482.2,0.1,0.00887945820428354,0.6900960690583375,0.2,5509.2
C2674432,Decreased bone mineral density Z score,6518.933333333333,0.1,0.02483247714454752,0.6926162493612672,0.13333333333333333,7278.233333333334
C0752166,Bardet-Biedl Syndrome,1690.6666666666667,0.5333333333333333,0.4043599595078072,0.9188080423476969,0.6666666666666666,11534.380952380952
C0020295,Hydronephrosis,4179.855072463768,0.11666666666666667,0.029358851748424113,0.8045652833918376,0.1880952380952381,6427.840579710145
