Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
C0013182,Drug Allergy,0.1833333333333333,0.1833333333333333,0.7159484093795495,0.011896004444545624,6078.942857142857,3624.6857142857143
C0917798,Cerebral Ischemia,0.25,0.13333333333333333,0.9008119697814105,0.01974724050792418,2138.92,3806.48
C0020295,Hydronephrosis,0.20476190476190476,0.13095238095238096,0.8207419755877033,0.03560922527998501,3832.2608695652175,5024.420289855072
C3714796,Isolated somatotropin deficiency,0.03333333333333333,0.0,0.805493620711012,0.002656322238592146,4228.310344827586,4849.6551724137935
C1866134,Wide anterior fontanel,0.305,0.255,0.8466687584251382,0.10629858706733412,3395.2272727272725,4205.363636363636
C2364082,Sense of smell impaired,0.2,0.15,0.7135116311463994,0.023289138731273213,5458.0,6775.8
C1276035,Pena-Shokeir syndrome type I,0.4,0.4,0.8201171965653284,0.0519551141240027,3234.0833333333335,3012.5833333333335
C0027022,Myeloproliferative disease,0.3,0.15,0.9166206304256999,0.018801343788930405,1509.5,4566.625
C1833225,Dystrophic toenail changes,0.2,0.2,0.7824050867910517,0.1337048943870515,4253.090909090909,5443.272727272727
C0206620,"Lymphangioma, Cystic",0.2333333333333333,0.13333333333333333,0.8043756191183755,0.014200509344826176,3880.8571428571427,3764.8571428571427
C0006413,Burkitt Lymphoma,0.1,0.0,0.7606443227184105,0.0041822790098882245,4725.466666666666,6286.8
C0019158,Hepatitis,0.1,0.0,0.8277107035059206,0.0028265805719609226,3475.2727272727275,3210.7727272727275
C0003126,Anosmia,0.2,0.15,0.6405414190193165,0.02110272815345795,6684.333333333333,6401.0
C0241074,Skin hyperelastic,0.4,0.11666666666666665,0.8390631049167634,0.04218785648904694,3390.78125,3770.15625
C0020459,Hyperinsulinism,0.14583333333333331,0.08333333333333333,0.8145427518573705,0.01730838475625099,3970.358024691358,4843.950617283951
C0020541,"Hypertension, Portal",0.1,0.1,0.695209736088538,0.012019627089310007,6188.954545454545,3923.1363636363635
C0014474,Ependymoma,0.3,0.2,0.826606090145291,0.07142660574647187,4549.214285714285,5528.714285714285
C4020838,Relative short stature,0.5,0.4,0.7867109171927219,0.09368522111807834,4774.538461538462,2328.5384615384614
C0221170,Muscular stiffness,0.0,0.0,0.6644291018797865,0.0004850316874623614,6430.0,4025.0833333333335
C3275417,Ragged-red fibers,0.3833333333333333,0.2333333333333333,0.7524041140416048,0.03236611800829271,4520.714285714285,3935.4285714285716
C0349204,Nonorganic psychosis,0.026785714285714284,0.0,0.6625521249002395,0.0012975915937297796,7331.337662337663,6257.558441558442
C0007787,Transient Ischemic Attack,0.2,0.0,0.9058964124936185,0.004942567141255784,1680.9,5307.0
C0018916,Hemangioma,0.25,0.1,0.815910850013158,0.020158988345258293,3875.375,4930.458333333333
C1837485,Flat acetabular roof,0.1111111111111111,0.0,0.794002536971722,0.004998677113290807,4046.8888888888887,4292.555555555556
C0007222,Cardiovascular Diseases,0.09999999999999999,0.0,0.8705040003721276,0.005633999691844365,2811.135593220339,2481.64406779661
C2673410,Small midface,0.05636363636363636,0.01,0.8386538013331467,0.007221327921639931,3443.1923076923076,4794.615384615385
C0234182,Gowers sign,0.08333333333333333,0.0,0.7146310314401152,0.003248175658762606,5669.791666666667,3784.7083333333335
C0023493,Adult T-Cell Lymphoma/Leukemia,0.225,0.05833333333333333,0.8992756821208461,0.010249109291268828,2239.7741935483873,3683.2258064516127
C0023434,Chronic Lymphocytic Leukemia,0.05833333333333333,0.03333333333333333,0.6976539265799256,0.003989052053075253,6168.513513513513,6926.783783783784
C0239946,"Fibrosis, Liver",0.09166666666666666,0.09166666666666666,0.6498784359272164,0.014754194354491476,7563.5,5650.84375
C0013336,Dwarfism,0.10833333333333332,0.025,0.7643870043370509,0.0033325761612807057,5005.324324324324,4490.621621621622
C0014591,Epistaxis,0.365,0.175,0.8690329552849307,0.0413580839543239,2997.720930232558,3359.3720930232557
C0870082,Hyperkeratosis,0.12,0.0,0.8698493933900433,0.0054929649142015004,2836.3863636363635,4010.6363636363635
C0338715,Drug-induced depressive state,0.0,0.0,0.7511952838509028,0.0010304930092296283,5110.785714285715,4239.642857142857
C0431904,Ulnar polydactyly of fingers,0.185,0.16499999999999998,0.8197242236891038,0.07953942879670715,3782.8888888888887,6184.644444444444
C1328931,Multiple lentigines,0.7,0.5,0.9917946813941615,0.06423899467704224,177.8,3591.4
C4020958,Rough bone trabeculation,0.5,0.5,0.9033625730994151,0.2351439969088728,1894.0,8140.0
C0042510,Ventricular Fibrillation,0.2,0.2,0.7637563251473933,0.028687443317853327,4563.3125,4679.75
C0037293,Skin tag,0.7,0.2,0.940989464890704,0.040260219141294115,1272.5,4974.9
C0271578,Female hypogonadism syndrome,0.3,0.05,0.8014137146571336,0.012010458296912186,3780.6666666666665,4022.0
C1398312,Narrow palate,0.25,0.15,0.8245275572270977,0.03175655377927007,3693.95,3837.25
C1857202,Frequent vomiting,0.7,0.4,0.820401912099132,0.1345962869742362,3887.0,4321.6
C0024301,"Lymphoma, Follicular",0.05,0.0,0.7867287246390269,0.0019446404879874667,4035.0,3045.3333333333335
C4023397,Abnormal hair quantity,0.45,0.25,0.8656178914627919,0.05389931771546933,3179.6875,3830.5625
C0152031,Joint swelling,0.2,0.1,0.8134987537349249,0.012671103772008687,4189.576923076923,3603.653846153846
C1859117,Recurrent pulmonary infections,0.25,0.13333333333333333,0.8156037098971881,0.01578520795033791,3885.3793103448274,3601.0344827586205
C1865060,Molar tooth sign on MRI,0.2,0.0,0.9160617312601531,0.00820353670287488,2042.5833333333333,10016.083333333334
C0427063,Shoulder girdle weakness,0.1,0.0,0.8816586995869494,0.005077393900250025,2550.9,6029.9
C0006157,Breech Presentation,0.2,0.0,0.6716155381259572,0.006673099544171548,6042.4,4604.4
C0271388,Pendular Nystagmus,0.3,0.15,0.740460220943186,0.019264606759936916,4942.461538461538,4933.0
C0009676,Confusion,0.08333333333333333,0.08333333333333333,0.798777571395403,0.017849251926691605,4048.5454545454545,4113.045454545455
C0013604,Edema,0.05952380952380952,0.02857142857142857,0.7635670407403468,0.005558693975651148,5010.159420289855,3663.1304347826085
C1849295,Hypoplastic labia minora,0.2,0.2,0.6683227363438065,0.10014526333794853,7147.6,7761.2
C3161330,Profound intellectual disabilities,0.05833333333333333,0.0,0.6854226671621915,0.002063446741367095,6510.8387096774195,6227.741935483871
C0234632,Reduced visual acuity,0.13333333333333333,0.05,0.7131394393276894,0.010515283257107069,5919.830508474576,4261.762711864407
C1846149,Progressive mental retardation,0.08333333333333333,0.03333333333333333,0.8137512971825969,0.006332729072331515,4071.6111111111113,4634.972222222223
C0019294,"Hernia, Inguinal",0.17222222222222222,0.1375,0.8204823104113942,0.04409582861950352,3899.9545454545455,4609.556818181818
C0026106,Mild Mental Retardation,0.04285714285714286,0.014285714285714285,0.7934691123284757,0.0031891285531443526,4438.594202898551,4979.144927536232
C0024232,Lymphatic Metastasis,0.0,0.0,0.7361672004827554,0.000986430542092609,5622.714285714285,4771.714285714285
C0263401,Cutis marmorata,0.16666666666666666,0.0,0.8159632537396636,0.006309327934316995,4004.8709677419356,5048.4838709677415
C0311375,Arsenic Poisoning,0.08333333333333333,0.03333333333333333,0.7356278395435021,0.004330669267115821,5663.85,5197.1
C4021753,Abnormality of the immune system,0.1,0.1,0.6792413408858761,0.010027897812362655,5871.315789473684,3272.0
C0019196,Hepatitis C,0.05,0.0,0.657917092191997,0.0011131709540628896,6737.866666666667,3124.733333333333
C0752347,Lewy Body Disease,0.2833333333333333,0.08333333333333333,0.8453101783060921,0.012527258126463737,3302.8571428571427,3360.6666666666665
C0007138,"Carcinoma, Transitional Cell",0.1833333333333333,0.06666666666666667,0.8664570267131241,0.016646805712220433,2829.875,4361.71875
C4049796,Abnormality of cardiovascular system morphology,0.35,0.3,0.8464917576039006,0.038561355473538526,3318.2727272727275,4851.045454545455
C0240063,Coloboma of iris,0.1,0.1,0.8014645971776879,0.03404859952948584,4071.5789473684213,7072.921052631579
C1865992,Short hallux,0.65,0.4,0.9594146047073023,0.07503869621560663,1072.5625,3038.125
C2937358,Cerebral Hemorrhage,0.375,0.05,0.8682158293442394,0.014579861478522527,2838.1,2839.375
C0220981,Metabolic acidosis,0.16999999999999998,0.1,0.798101817421214,0.015967102084643088,4287.720930232558,4085.3023255813955
C1839758,Narrow forehead,0.0,0.0,0.7883415416066534,0.0008846838239069922,4661.35294117647,6420.5
C0014850,Esophageal Atresia,0.3666666666666666,0.3333333333333333,0.8481895163787232,0.1513632862900483,2764.56,3942.96
C1857486,"Low-set, posteriorly rotated ears",0.21818181818181817,0.11818181818181817,0.8125039738552118,0.030992667302295836,4011.981818181818,5333.972727272727
C1846460,Malformed pinnae,0.3416666666666667,0.2833333333333333,0.8512135997521686,0.17180132034656656,3114.7297297297296,5409.27027027027
C3665596,Warts,0.3,0.3,0.7524527776488605,0.13318397144183133,4934.8,4314.3
C0240310,Hypoplasia of the maxilla,0.08095238095238096,0.030952380952380953,0.8640566146428792,0.007928835626057541,2930.230769230769,4479.492307692308
C0155552,"Hearing Loss, Mixed Conductive-Sensorineural",0.4,0.2,0.7085588303550707,0.03397364355643543,4652.916666666667,2196.9166666666665
C0007194,Hypertrophic Cardiomyopathy,0.16666666666666666,0.06666666666666668,0.872089854667412,0.019769796707550684,2765.85393258427,4634.696629213483
C0020615,Hypoglycemia,0.20555555555555557,0.030000000000000006,0.8515573367299915,0.011786552729864435,3185.5,4186.469387755102
C0003850,Arteriosclerosis,0.3,0.3,0.8839258365433704,0.06863056027578951,2499.7,3050.7
C1854912,Short tubular bones,0.2333333333333333,0.06666666666666667,0.8378525432649144,0.04167421262162254,3240.086956521739,3645.8695652173915
C1298695,Hypoplasia of optic disc,0.3,0.0,0.6611441169644929,0.006415096842373463,4277.416666666667,4111.5
C0231807,Dyspnea on exertion,0.2,0.11666666666666665,0.8475056110208188,0.011645009019725917,3183.7727272727275,4207.863636363636
C1850049,Bilateral fifth finger clinodactyly,0.10090909090909092,0.046363636363636364,0.8345974619375405,0.009613962949209374,3547.2477064220184,4360.357798165138
C0004782,Basal Ganglia Diseases,0.1,0.0,0.5888095901220814,0.0020421176474975144,8861.57142857143,5025.214285714285
C1856661,Cloudy cornea,0.15833333333333333,0.15833333333333333,0.7595116144018583,0.08347442042061623,5087.78125,4451.5
C1851854,Thin dental enamel,0.20833333333333334,0.08333333333333333,0.8649905527420279,0.013004493003525422,2892.823529411765,2507.029411764706
C0024809,Marijuana Abuse,0.0,0.0,0.7431227931611224,0.0018977511680631335,5417.090909090909,4032.6666666666665
C0162538,Immunoglobulin A deficiency (disorder),0.1,0.1,0.7517109295199182,0.028667757899543407,5125.315789473684,4821.631578947368
C1846439,ODONTOID HYPOPLASIA,0.5,0.45,0.8409091964161366,0.24173828367084269,4236.1875,3229.125
C0220994,Hyperammonemia,0.16666666666666666,0.1,0.7753158677071721,0.10310271594388827,4569.413793103448,3411.793103448276
C0005937,Bone Cysts,0.0,0.0,0.8016616384311904,0.0022888397406787163,4357.75,5905.416666666667
C0240379,Open mouth,0.0,0.0,0.7510899730383043,0.001190051943783562,5336.266666666666,6016.355555555556
C0393706,Early infantile epileptic encephalopathy with suppression bursts,0.0,0.0,0.6784215900125307,0.00046766393961058893,6609.4,7489.8
C0730292,Macular dystrophy,0.0,0.0,0.46970364870926334,4.773261044393656e-05,4946.166666666667,3968.1666666666665
C0267812,Micronodular cirrhosis,0.4,0.0,0.8571939107026827,0.010452775749428295,2960.3636363636365,3565.2727272727275
C0162835,Hypopigmentation disorder,0.2,0.1,0.7247027817768077,0.01566029608198986,5735.666666666667,5195.416666666667
C0079773,"Lymphoma, T-Cell, Cutaneous",0.18333333333333332,0.08333333333333333,0.9583948610788641,0.02514116686541689,926.9545454545455,3577.590909090909
C3277697,"Decreased visual acuity, progressive",0.225,0.08333333333333333,0.8053300652076267,0.018329148258760468,4122.388888888889,5016.5
C0850715,Abnormality of blood and blood-forming tissues,0.2,0.0,0.7523112266208754,0.005497807897868632,4872.4,4864.8
C0151514,Atrophic condition of skin,0.26666666666666666,0.16666666666666666,0.8998823401916616,0.03577777898902377,2210.846153846154,4480.5
C1142166,Brugada Syndrome (disorder),0.0,0.0,0.7586482220778016,0.001758752067216299,4098.533333333334,5855.133333333333
C0040336,Tobacco Use Disorder,0.2,0.2,0.5357908660540238,0.020294022151868228,10209.545454545454,5314.727272727273
C0162671,MELAS Syndrome,0.6,0.5,0.9940383365821962,0.07394784283544446,170.63636363636363,3259.3636363636365
C1855773,"Psychomotor retardation, profound",0.8,0.65,0.9669699642542129,0.43337663229222595,605.125,5419.8125
C0751466,Phonophobia,0.35,0.25,0.829713171818435,0.10786314702602093,3749.2727272727275,4992.272727272727
C4020851,Cortical white matter abnormalities seen on MRI,0.1,0.05,0.8147105250940155,0.0074942366307691605,4233.833333333333,3999.9444444444443
C0037926,Compression of spinal cord,0.0,0.0,0.6690676196222212,0.0002738006886980881,6613.4,2789.5
C1280433,Lipoatrophy,0.1,0.0,0.800481706750859,0.0035043767430761145,4076.8947368421054,4164.1578947368425
C0025521,Inborn Errors of Metabolism,0.05,0.0,0.7323545796388282,0.001708986157371549,5698.875,4249.125
C0162834,Hyperpigmentation,0.18333333333333332,0.025,0.7854478363225227,0.006158699571258574,4431.942857142857,4910.085714285714
C0241054,Skin bulla,0.2833333333333333,0.16999999999999998,0.8480490829883882,0.03328055512849746,3203.375,4612.071428571428
C0542223,Loss of speech,0.05,0.0,0.9054059700106774,0.0030101647454462144,2309.25,5164.3125
C1840077,Anteverted nostril,0.07485380116959064,0.026900584795321637,0.8143315422779379,0.008592858297660159,3973.8877005347595,4972.39037433155
C0349639,Juvenile Myelomonocytic Leukemia,0.35,0.2,0.8800390026466081,0.057216084349260246,2585.1,4723.6
C0566899,Small labia majora,0.2,0.1,0.8541908453646535,0.022969034411503296,2817.3125,5784.9375
C0040028,"Thrombocythemia, Essential",0.3,0.15,0.8782362497099095,0.12063002850381485,2103.1666666666665,4415.0
C1834752,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO (finding)",0.2222222222222222,0.1111111111111111,0.7057731576016335,0.00806422030277922,4695.111111111111,5403.333333333333
