Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
C0013182,Drug Allergy,0.11666666666666665,0.11666666666666665,0.7286520769445218,0.02883491578138505,5757.342857142857,3624.6857142857143
C0917798,Cerebral Ischemia,0.18333333333333332,0.03333333333333333,0.9065398786302558,0.00929576964252408,2040.92,3806.48
C0020295,Hydronephrosis,0.13095238095238096,0.08809523809523809,0.829621682533773,0.034345968379536344,3636.289855072464,5024.420289855072
C3714796,Isolated somatotropin deficiency,0.0,0.0,0.7849095751269664,0.0011677643424098261,4694.206896551724,4849.6551724137935
C1866134,Wide anterior fontanel,0.325,0.18,0.8448031422860597,0.05862970855569327,3486.568181818182,4205.363636363636
C2364082,Sense of smell impaired,0.2,0.15,0.6610762873194966,0.018474139379414622,6587.3,6775.8
C1276035,Pena-Shokeir syndrome type I,0.5,0.45,0.8035309816662799,0.04247471471776152,3514.5833333333335,3012.5833333333335
C0027022,Myeloproliferative disease,0.25,0.15,0.8589701035235133,0.022329205660296413,2431.75,4566.625
C1833225,Dystrophic toenail changes,0.2,0.2,0.7680033416875522,0.12584443241321458,4432.090909090909,5443.272727272727
C0206620,"Lymphangioma, Cystic",0.2333333333333333,0.18333333333333332,0.7764742756315007,0.02234492130678529,4460.9047619047615,3764.8571428571427
C0006413,Burkitt Lymphoma,0.1,0.05,0.7898036394020982,0.0063383457811345845,4347.266666666666,6286.8
C0019158,Hepatitis,0.1,0.0,0.8504775172200294,0.0025034013361347296,3089.6363636363635,3210.7727272727275
C0003126,Anosmia,0.2,0.15,0.6473671991084696,0.014625123175532134,6538.952380952381,6401.0
C0241074,Skin hyperelastic,0.4,0.08333333333333333,0.8191138211382114,0.04420424959622417,3804.8125,3770.15625
C0020459,Hyperinsulinism,0.1375,0.0625,0.8308377504087249,0.014104470960005413,3625.4814814814813,4843.950617283951
C0020541,"Hypertension, Portal",0.0,0.0,0.67757874777494,0.0009125436542991776,6402.681818181818,3923.1363636363635
C0014474,Ependymoma,0.3,0.15,0.7995485772640765,0.021728050893274183,5599.571428571428,5528.714285714285
C4020838,Relative short stature,0.5,0.4,0.7885513367991088,0.10355625318432264,4812.384615384615,2328.5384615384614
C0221170,Muscular stiffness,0.0,0.0,0.6770793687630541,0.0008643731366967002,6179.5,4025.0833333333335
C3275417,Ragged-red fibers,0.3,0.15,0.7480455206785537,0.025703359043818076,4912.9047619047615,3935.4285714285716
C0349204,Nonorganic psychosis,0.039285714285714285,0.0,0.6512863294759244,0.0015835316665838567,7548.597402597403,6257.558441558442
C0007787,Transient Ischemic Attack,0.3,0.2,0.9137629368357544,0.01279255259806463,1511.4,5307.0
C0018916,Hemangioma,0.13333333333333333,0.1,0.8114014922831622,0.010529243472676532,4019.2083333333335,4930.458333333333
C1837485,Flat acetabular roof,0.2222222222222222,0.1111111111111111,0.7595626302002764,0.015596420237768178,4789.0,4292.555555555556
C0007222,Cardiovascular Diseases,0.15333333333333332,0.03333333333333333,0.8786601079170155,0.008057465972076558,2633.101694915254,2481.64406779661
C2673410,Small midface,0.07636363636363637,0.02,0.8350268875300341,0.007600968193017879,3511.875,4794.615384615385
C0234182,Gowers sign,0.0,0.0,0.7087454914162759,0.001289245141020847,5682.0,3784.7083333333335
