Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
C0013182,Drug Allergy,0.06666666666666667,0.03333333333333333,0.7508015054362978,0.0030547970951523857,5523.085714285714,3624.6857142857143
C0917798,Cerebral Ischemia,0.13333333333333333,0.06666666666666667,0.7409940243977955,0.024100119941874894,5274.28,3806.48
C0020295,Hydronephrosis,0.04285714285714286,0.0,0.6577263500336843,0.002687952299691241,7351.565217391304,5024.420289855072
C3714796,Isolated somatotropin deficiency,0.0,0.0,0.6303395577852099,0.0008851325479774018,8203.896551724138,4849.6551724137935
C1866134,Wide anterior fontanel,0.135,0.045,0.7069681123041881,0.005768378524906689,6505.613636363636,4205.363636363636
C2364082,Sense of smell impaired,0.05,0.0,0.5481288015972512,0.0013190762547259775,9733.45,6775.8
C1276035,Pena-Shokeir syndrome type I,0.0,0.0,0.867106057089812,0.0028226474750377333,3643.8333333333335,3012.5833333333335
C0027022,Myeloproliferative disease,0.15,0.05,0.7376166380390882,0.007192598432471542,5477.125,4566.625
C1833225,Dystrophic toenail changes,0.0,0.0,0.5455536990624711,0.00040272698137849865,9706.181818181818,5443.272727272727
C0206620,"Lymphangioma, Cystic",0.0,0.0,0.7386391778107975,0.0011890805988999148,5469.952380952381,3764.8571428571427
C0006413,Burkitt Lymphoma,0.0,0.0,0.6558281496611271,0.0006336700821921634,7353.866666666667,6286.8
C0019158,Hepatitis,0.0,0.0,0.8219309650955807,0.0023187794983006256,3760.681818181818,3210.7727272727275
C0003126,Anosmia,0.0,0.0,0.6609173786527984,0.001030367501677953,7434.0,6401.0
C0241074,Skin hyperelastic,0.08333333333333333,0.025,0.7871471157568719,0.0036503862955081226,4563.8125,3770.15625
C0020459,Hyperinsulinism,0.034722222222222224,0.01111111111111111,0.584608335402827,0.007455951587807272,8937.765432098766,4843.950617283951
C0020541,"Hypertension, Portal",0.05,0.0,0.6516399659469082,0.0014345940423759521,7422.227272727273,3923.1363636363635
C0014474,Ependymoma,0.0,0.0,0.764276098964861,0.0010090606936546793,5514.285714285715,5528.714285714285
C4020838,Relative short stature,0.25,0.25,0.6619731711845525,0.17596045905175606,8216.307692307691,2328.5384615384614
C0221170,Muscular stiffness,0.0,0.0,0.4967324205152008,0.0003188657766381545,9848.5,4025.0833333333335
C3275417,Ragged-red fibers,0.15,0.1,0.9182701832590393,0.0402747631917139,1817.1904761904761,3935.4285714285716
C0349204,Nonorganic psychosis,0.0125,0.0,0.5577381783719074,0.0009012207232497723,9523.623376623376,6257.558441558442
C0007787,Transient Ischemic Attack,0.2,0.1,0.8934608066088087,0.0073437282492297045,2296.6,5307.0
C0018916,Hemangioma,0.1,0.0,0.7062415826870384,0.003841485984708806,6377.625,4930.458333333333
C1837485,Flat acetabular roof,0.1111111111111111,0.0,0.6356197017511291,0.0017189295023730916,7852.666666666667,4292.555555555556
C0007222,Cardiovascular Diseases,0.13666666666666666,0.03333333333333333,0.8394796415170402,0.007801746958366695,3493.0508474576272,2481.64406779661
C2673410,Small midface,0.0,0.0,0.7344112923388548,0.0017055232235179021,5717.509615384615,4794.615384615385
C0234182,Gowers sign,0.05,0.05,0.6602006223006548,0.0069158393205876354,7549.375,3784.7083333333335
C0023493,Adult T-Cell Lymphoma/Leukemia,0.15833333333333333,0.1,0.8690509925980985,0.05212725197580823,2850.548387096774,3683.2258064516127
C0023434,Chronic Lymphocytic Leukemia,0.0,0.0,0.573677199504337,0.0008627900814800092,9013.486486486487,6926.783783783784
C0239946,"Fibrosis, Liver",0.06666666666666667,0.0,0.45960046457607434,0.002073439784997946,11760.90625,5650.84375
C0013336,Dwarfism,0.0,0.0,0.6773679522924412,0.000744389133048658,7144.513513513513,4490.621621621622
C0014591,Epistaxis,0.2,0.125,0.8347199498001302,0.014431639873416552,3736.6744186046512,3359.3720930232557
C0870082,Hyperkeratosis,0.05,0.0,0.7827397387626086,0.00223858420875295,4650.568181818182,4010.6363636363635
C0338715,Drug-induced depressive state,0.05,0.0,0.8631643689365456,0.0025622622886848187,2755.0714285714284,4239.642857142857
C0431904,Ulnar polydactyly of fingers,0.12,0.095,0.7043201468947564,0.03377248255153324,6432.444444444444,6184.644444444444
C1328931,Multiple lentigines,0.5,0.4,0.9062282452313546,0.1216570762212752,2021.5,3591.4
C4020958,Rough bone trabeculation,0.35,0.2,0.701851851851852,0.04608458381381729,5848.545454545455,8140.0
C0042510,Ventricular Fibrillation,0.05,0.0,0.8039088250313358,0.002468763817167106,4466.9375,4679.75
C0037293,Skin tag,0.0,0.0,0.8860491019631503,0.0016978072539619825,2456.3,4974.9
C0271578,Female hypogonadism syndrome,0.0,0.0,0.6753749013417522,0.001185307814180373,6644.611111111111,4022.0
C1398312,Narrow palate,0.0,0.0,0.6996819427032548,0.001316309294571581,6469.45,3837.25
C1857202,Frequent vomiting,0.7,0.4,0.9308998932566018,0.07398974891636248,1489.9,4321.6
C0024301,"Lymphoma, Follicular",0.0,0.0,0.7126537907980872,0.0006363368007096514,5766.0,3045.3333333333335
C4023397,Abnormal hair quantity,0.1,0.1,0.7492549092428392,0.00498945151469196,5788.5625,3830.5625
C0152031,Joint swelling,0.0,0.0,0.784180174322295,0.0017020992472737823,5045.038461538462,3603.653846153846
C1859117,Recurrent pulmonary infections,0.06666666666666667,0.03333333333333333,0.7785511891490152,0.006381255011262603,4860.827586206897,3601.0344827586205
C1865060,Molar tooth sign on MRI,0.4,0.1,0.8808725922487817,0.013629166555130473,2698.0,10016.083333333334
C0427063,Shoulder girdle weakness,0.0,0.0,0.6364227038566854,0.001012629614903467,7835.0,6029.9
C0006157,Breech Presentation,0.0,0.0,0.599141411797466,0.0008102131565153917,8638.3,4604.4
C0271388,Pendular Nystagmus,0.15,0.05,0.6868455254363164,0.026759972878672995,7806.384615384615,4933.0
C0009676,Confusion,0.05,0.0,0.5798846838479994,0.0013466180700685043,8812.0,4113.045454545455
C0013604,Edema,0.014285714285714285,0.0,0.6052512144098144,0.0009973113535067576,8502.753623188406,3663.1304347826085
C1849295,Hypoplastic labia minora,0.1,0.1,0.6348122708497703,0.006678809309603991,7869.7,7761.2
C3161330,Profound intellectual disabilities,0.0,0.0,0.6128491901266685,0.0006324964049804823,8221.354838709678,6227.741935483871
C0234632,Reduced visual acuity,0.05333333333333333,0.03333333333333333,0.6268480788910595,0.004436985840168737,8011.237288135593,4261.762711864407
C1846149,Progressive mental retardation,0.0,0.0,0.5660064588076763,0.0006233213926214924,9329.666666666666,4634.972222222223
C0019294,"Hernia, Inguinal",0.08055555555555556,0.034722222222222224,0.6918263284011572,0.008507610368189821,6670.431818181818,4609.556818181818
C0026106,Mild Mental Retardation,0.0,0.0,0.5880219967733928,0.0006533870067606843,8874.144927536232,4979.144927536232
C0024232,Lymphatic Metastasis,0.0,0.0,0.42271039316715403,0.00047250506473377966,12994.214285714286,4771.714285714285
C0263401,Cutis marmorata,0.03333333333333333,0.03333333333333333,0.7306191737124098,0.0024723074486032483,5930.870967741936,5048.4838709677415
C0311375,Arsenic Poisoning,0.016666666666666666,0.0,0.6468747577181312,0.0015444777748827817,7594.633333333333,5197.1
C4021753,Abnormality of the immune system,0.0,0.0,0.7008032314978178,0.000673020298140834,6458.526315789473,3272.0
C0019196,Hepatitis C,0.05,0.0,0.7877123758239717,0.0019812786015877323,4102.133333333333,3124.733333333333
C0752347,Lewy Body Disease,0.05,0.05,0.8002135958395244,0.008515772724625578,4232.952380952381,3360.6666666666665
C0007138,"Carcinoma, Transitional Cell",0.0,0.0,0.7575156794425089,0.0010327342602286403,5081.28125,4361.71875
C4049796,Abnormality of cardiovascular system morphology,0.0,0.0,0.7146931352062533,0.0008300568831711441,6326.772727272727,4851.045454545455
C0240063,Coloboma of iris,0.0,0.0,0.5995755688771163,0.0004860782505712708,8576.736842105263,7072.921052631579
C1865992,Short hallux,0.35,0.2,0.8367694164616314,0.028922519481359054,4217.75,3038.125
C2937358,Cerebral Hemorrhage,0.15,0.1,0.8145884649347028,0.01415731649499693,3992.0,2839.375
C0220981,Metabolic acidosis,0.12,0.05,0.8616307985497815,0.009300014027559051,3003.767441860465,4085.3023255813955
C1839758,Narrow forehead,0.0,0.0,0.5666279483962893,0.0004571632590774012,9319.5,6420.5
C0014850,Esophageal Atresia,0.26666666666666666,0.2333333333333333,0.8126091398848226,0.0586304178356722,3695.96,3942.96
C1857486,"Low-set, posteriorly rotated ears",0.00909090909090909,0.0,0.6854364034808853,0.001892535161681501,6752.445454545455,5333.972727272727
C1846460,Malformed pinnae,0.15833333333333333,0.08333333333333333,0.7249117100371747,0.015916590627932034,6093.945945945946,5409.27027027027
C3665596,Warts,0.2,0.1,0.5879101499048591,0.007566552467891225,8880.3,4314.3
C0240310,Hypoplasia of the maxilla,0.08095238095238096,0.014285714285714285,0.711811150106795,0.00519858335309958,6253.692307692308,4479.492307692308
C0155552,"Hearing Loss, Mixed Conductive-Sensorineural",0.0,0.0,0.7263564632165236,0.0009154510470163191,5984.416666666667,2196.9166666666665
C0007194,Hypertrophic Cardiomyopathy,0.10277777777777777,0.02222222222222222,0.7713014719582636,0.008132103887001228,4938.303370786517,4634.696629213483
C0020615,Hypoglycemia,0.12111111111111113,0.030000000000000006,0.8045157949785379,0.010285598709141355,4186.224489795918,4186.469387755102
C0003850,Arteriosclerosis,0.2,0.0,0.6857474358379356,0.003721968477621859,6772.2,3050.7
C1854912,Short tubular bones,0.06666666666666667,0.03333333333333333,0.7165010371195939,0.0102988907523698,5486.652173913043,3645.8695652173915
C1298695,Hypoplasia of optic disc,0.05,0.0,0.636498027384544,0.003887204866650008,6881.833333333333,4111.5
C0231807,Dyspnea on exertion,0.05,0.05,0.6934308490054949,0.0038396306933752276,6558.590909090909,4207.863636363636
