Disease ID,Disease Name,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C1442988,Rudimentary vagina,0.25,2203.6153846153848,0.14042464991261674,2722.4615384615386,0.6422363847045192,0.3
C1856660,Abnormal helices,0.15,3832.0,0.013557228415669231,4344.909090909091,0.5656390296886314,0.15
C0009398,Color vision defect,0.0,4697.615384615385,0.00018843730856788138,4555.384615384615,0.48912649510692285,0.0
C0040997,Trigeminal Neuralgia,0.3,1107.5,0.041003036446129404,2157.8,0.6930562595032944,0.4
C1857079,Atretic auditory canal,0.25,3200.6111111111113,0.04949504076388021,4849.833333333333,0.6421357675867565,0.3
C3489733,Oculomotor apraxia,0.11666666666666665,5658.272727272727,0.024016811383499974,6970.727272727273,0.5486677778582989,0.11666666666666665
C1862863,Sparse body hair,0.0,3972.074074074074,0.0001956978684400172,3822.1111111111113,0.4891257068290561,0.0
C0006663,Calcinosis,0.05,3390.324324324324,0.016772545553733312,3792.4594594594596,0.5648324143934997,0.1
C0018564,Hand deformities,0.16666666666666666,3248.344827586207,0.02726732211914994,4476.793103448276,0.667101097254447,0.35
C0152191,"Scotoma, Central",0.0,3055.4117647058824,0.001922708420012183,3206.8823529411766,0.5648380904085772,0.15
C0005904,Body Temperature Changes,0.0,4695.875,7.239032865209208e-05,4554.0,0.489140664591327,0.0
C0241654,VALVULAR ABNORMALITY,0.125,1950.5,0.06256334153757058,2020.875,0.5529890320712372,0.125
C0022353,Neonatal Jaundice,0.0,4359.875,0.0001158853460498536,4228.3125,0.48913437160449114,0.0
C0014591,Epistaxis,0.06666666666666667,2585.0857142857144,0.046752018163622025,2978.6285714285714,0.6023885947096088,0.14166666666666666
C0018798,Congenital Heart Defects,0.0,3970.5882352941176,0.0010323865351798888,4034.2156862745096,0.5190835148874364,0.02
C0023904,"Liver Neoplasms, Experimental",0.025,2816.5714285714284,0.00801291390752938,2984.5476190476193,0.5596226141229408,0.06999999999999999
C0266122,Cleft uvula,0.06666666666666667,4522.227272727273,0.007399816895839231,4825.954545454545,0.5231321110225379,0.06666666666666667
C0030567,Parkinson Disease,0.06999999999999999,2734.8260869565215,0.029910657952698688,3294.913043478261,0.5700664246823955,0.11499999999999999
C0014065,Congenital cerebral hernia,0.15,5052.0,0.01708858572269336,6533.823529411765,0.5910207186322805,0.2
C0279626,Squamous cell carcinoma of esophagus,0.030952380952380953,2898.53125,0.012341336498151998,3608.15625,0.5965591543006677,0.0738095238095238
C0032273,Pneumoconiosis,0.0,4340.461538461538,0.0002784681072635595,4565.923076923077,0.5137402230590963,0.0
C0853945,Oral mucosal blistering,0.5555555555555556,989.4444444444445,0.5555877313641738,1885.4444444444443,0.7729510570518391,0.5555555555555556
C2267233,Neonatal Hypotonia,0.0,4153.277777777777,0.0008292705950416585,4017.722222222222,0.4992612769666594,0.02
C1836195,Hypoplastic toes,0.0,3933.2916666666665,0.000299475093154533,3834.9583333333335,0.5055555555555555,0.0
C0271650,Impaired glucose tolerance,0.0,3457.695652173913,0.0009533740067650977,3860.6521739130435,0.5392629366574865,0.05
C0271901,Microcytic hypochromic anemia (disorder),0.3,5018.1,0.06921734723428903,5508.4,0.6422380711027442,0.3
C0079541,Holoprosencephaly,0.1,4779.642857142857,0.05009414412418656,5019.285714285715,0.5402151082784095,0.1
C4025871,Abnormality of the face,0.0,2041.7777777777778,0.0009902775431625066,2218.4444444444443,0.5449448144930334,0.0
C0149721,Left Ventricular Hypertrophy,0.025,2654.2272727272725,0.025518664834128495,2644.568181818182,0.5218059083980547,0.025
C0020179,Huntington Disease,0.0,4417.5,7.239032865209208e-05,4265.125,0.489140664591327,0.0
C0266061,Open Bite,0.0,4473.4,0.0006862787422225339,4402.3,0.5390666859749474,0.0
C0029089,Ophthalmoplegia,0.05178571428571428,3640.2894736842104,0.01583355224085781,4058.0,0.5757783349789534,0.11607142857142856
C0036651,Senile lentigo,0.2222222222222222,2425.6666666666665,0.22300148008719642,3516.3333333333335,0.6582118608617306,0.2222222222222222
C0431380,Cortical Dysplasia,0.0,4605.4,0.0024402235415076352,5420.5,0.5901093331402505,0.2
C0000786,Spontaneous abortion,0.01111111111111111,3365.521739130435,0.004623360565211149,3282.554347826087,0.5003998025266873,0.02222222222222222
C0235991,Small for gestational age (disorder),0.0,4212.245614035088,0.0008149878609143429,4180.508771929824,0.507546619199845,0.016666666666666666
C1271100,Lower limb spasticity,0.0,5332.875,0.0015168299096636037,5469.875,0.5522288785926301,0.125
C0232513,Premature tooth loss,0.0,4521.083333333333,8.689145818817825e-05,4388.916666666667,0.48913751900934177,0.0
C0344482,Hypoplasia of corpus callosum,0.0,5982.807692307692,0.0007341245776300151,6095.01282051282,0.5145498747414269,0.0
C0019555,"Hip Dislocation, Congenital",0.075,4139.733333333334,0.017404645339119645,4515.622222222222,0.5624297691637631,0.1
C4024996,Aplasia/Hypoplasia of the lungs,0.0,3045.5,7.239032865209208e-05,2886.25,0.489140664591327,0.0
C0242350,Erectile dysfunction,0.05,3404.3703703703704,0.0033860417913305087,3371.4814814814813,0.5397890387124836,0.1
C0311277,"Obesity, Abdominal",0.05,3854.2380952380954,0.0068224422424874535,3836.190476190476,0.5397826086956522,0.05
C1167713,Corneal diameter decreased,0.05,4424.9047619047615,0.017894063113731616,4627.690476190476,0.5270230060236593,0.05
C0237326,Dyschezia,0.028181818181818186,3453.700934579439,0.003468453531218208,3594.2523364485983,0.5364420565579964,0.028181818181818186
C0001925,Albuminuria,0.1,3086.222222222222,0.009370708253283936,3381.9444444444443,0.565565456784757,0.15
C0542346,Pimples,0.0,9254.666666666666,7.237984944991314e-05,9205.666666666666,0.48914223669923995,0.0
C0427063,Shoulder girdle weakness,0.0,5687.285714285715,0.001581801200624404,6465.428571428572,0.561159486235496,0.14285714285714285
C0427068,Monoparesis - leg,0.0,4865.0952380952385,0.0020586988444459367,4866.809523809524,0.5314112318840578,0.08333333333333333
C0020534,Orbital separation excessive,0.014761904761904763,4295.926470588235,0.00400390914724921,4528.759803921569,0.5382897253782911,0.048809523809523817
C1844592,Soft skin,0.0,4534.666666666667,7.239556939115326e-05,4410.222222222223,0.48913987836663764,0.0
