Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
C0013182,Drug Allergy,0.06666666666666667,0.06666666666666667,0.6864420195282288,0.0684390162865499,3661.448275862069,2770.793103448276
C0917798,Cerebral Ischemia,0.4,0.2,0.958767926988266,0.016005464666468162,510.2,3185.9333333333334
C0020295,Hydronephrosis,0.22000000000000003,0.16999999999999998,0.7238556653587171,0.05070192451607171,3634.1186440677966,4417.0
C3714796,Isolated somatotropin deficiency,0.1,0.0,0.7208565838104211,0.0026167750758049084,3902.7272727272725,3911.0454545454545
C1866134,Wide anterior fontanel,0.35833333333333334,0.25833333333333336,0.7772230082716587,0.14618769938551274,2951.5384615384614,3780.4615384615386
C2364082,Sense of smell impaired,0.2,0.2,0.6137206606780644,0.013114401135561487,5017.294117647059,5832.058823529412
C1276035,Pena-Shokeir syndrome type I,0.2,0.2,0.6776466328747285,0.06725396197676699,3635.3636363636365,2906.7272727272725
C0027022,Myeloproliferative disease,0.3,0.15,0.8179714658169178,0.06548889993852483,2435.153846153846,4318.0
C1833225,Dystrophic toenail changes,0.2,0.2,0.6455651292448048,0.07019484490325198,4254.3,4390.2
C0206620,"Lymphangioma, Cystic",0.5,0.3,0.8643729169685553,0.059448807740695254,1918.0526315789473,3872.842105263158
C0006413,Burkitt Lymphoma,0.0,0.0,0.7086254345307068,0.0013396052522145715,3909.153846153846,6058.923076923077
C0019158,Hepatitis,0.1,0.0,0.7783638866748787,0.003363526608847113,3042.9,3206.8
C0003126,Anosmia,0.2,0.2,0.5531965372355839,0.012186296608327873,5579.0,5799.411764705882
C0241074,Skin hyperelastic,0.16666666666666666,0.1,0.767894501618592,0.03127081724219779,2991.608695652174,3946.608695652174
C0020459,Hyperinsulinism,0.18571428571428567,0.0857142857142857,0.7550666223441093,0.013934021983580841,3321.913043478261,4161.579710144928
C0020541,"Hypertension, Portal",0.15,0.1,0.6746250543399507,0.01753566080677805,4633.631578947368,3908.4210526315787
C0014474,Ependymoma,0.5,0.45,0.8445665556199305,0.15192052043123455,2362.076923076923,3974.846153846154
C4020838,Relative short stature,0.2857142857142857,0.2857142857142857,0.48355705392045334,0.28577026759639784,5478.285714285715,1499.5714285714287
C0221170,Muscular stiffness,0.0,0.0,0.6191296792411847,0.0004022504504324026,4400.3,2934.0
C3275417,Ragged-red fibers,0.25,0.2,0.9665537603245907,0.01846728377026334,486.63157894736844,3622.0
C0349204,Nonorganic psychosis,0.0,0.0,0.666678955676484,0.0016827438718001904,4503.969230769231,4768.6
C0007787,Transient Ischemic Attack,0.0,0.0,0.8366615648720759,0.0016731747782185442,1774.0,3738.5714285714284
C0018916,Hemangioma,0.05,0.0,0.7847288647342995,0.002580351089404037,2852.1428571428573,3729.0476190476193
C1837485,Flat acetabular roof,0.0,0.0,0.5072083484135602,0.00030744387946125433,4914.166666666667,2983.8333333333335
C0007222,Cardiovascular Diseases,0.14,0.04,0.8105139191479062,0.008354709841434785,2516.6862745098038,2282.8627450980393
C2673410,Small midface,0.04583333333333333,0.0,0.7743660849373366,0.004476129984507599,3103.7386363636365,4542.75
C0234182,Gowers sign,0.05,0.0,0.6510778204477935,0.0022439220443089968,4444.4,2958.9
C0023493,Adult T-Cell Lymphoma/Leukemia,0.2,0.11666666666666665,0.8092583194373957,0.03177738267028257,2662.0714285714284,3252.6785714285716
C0023434,Chronic Lymphocytic Leukemia,0.03333333333333333,0.03333333333333333,0.6882004883473554,0.002816337518880195,4297.30303030303,5592.636363636364
C0239946,"Fibrosis, Liver",0.3,0.13333333333333333,0.6799243522815158,0.01437568438137608,4018.896551724138,5030.241379310345
C0013336,Dwarfism,0.0,0.0,0.7563773475455006,0.0012907625639220811,3298.266666666667,4038.0333333333333
C0014591,Epistaxis,0.425,0.24166666666666664,0.9080120532907783,0.04033089458309582,1377.5142857142857,2983.7428571428572
C0870082,Hyperkeratosis,0.35,0.05,0.7425722008562514,0.025384006105821134,3489.375,4083.575
C0338715,Drug-induced depressive state,0.15,0.0,0.7195343616482004,0.005087188913950538,3368.9166666666665,3231.1666666666665
C0431904,Ulnar polydactyly of fingers,0.32999999999999996,0.22000000000000003,0.8256824285092177,0.07873714320335727,2261.4883720930234,5600.302325581395
C1328931,Multiple lentigines,0.4444444444444444,0.3333333333333333,0.9124513305660135,0.05146624246007369,1076.7777777777778,3548.5555555555557
C4020958,Rough bone trabeculation,0.5555555555555556,0.5555555555555556,0.8994312514077936,0.12272919189326359,1154.5555555555557,6654.222222222223
C0042510,Ventricular Fibrillation,0.4,0.25,0.8511444299579892,0.03319357112029653,1745.8666666666666,4026.133333333333
C0037293,Skin tag,0.6,0.4,0.9590036927087103,0.11802087326681195,567.2,4198.5
C0271578,Female hypogonadism syndrome,0.15,0.15,0.6675443679826151,0.010752392855317278,3714.9375,3088.0625
C1398312,Narrow palate,0.35,0.15,0.7929616749981887,0.01738321878763546,2888.722222222222,3390.222222222222
