,data,data,lci,lci,lci,lci,random_walk,random_walk,random_walk,random_walk,direct_neighbor,direct_neighbor,direct_neighbor,direct_neighbor,diamond,diamond,diamond,diamond,gcn,gcn,gcn,gcn,node2vec,node2vec,node2vec,node2vec
,name,class,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision
C1842060,Prominent supraorbital ridges,,0.2,0.1,0.833880815303185,0.018437126656336185,0.15,0.05,0.8691986256848361,0.013755738647428543,0.05,0.0,0.7383763580648156,0.0016240288483370512,0.05,0.05,0.6176931469960071,0.004917230297853999,0.05,0.0,0.6613264927105581,0.0021071392315246827,0.1,0.1,0.6708166960720587,0.020078553094015263
C2239176,Liver carcinoma,,0.07499999999999997,0.029166666666666664,0.8319614822285812,0.014412100455761453,0.05833333333333333,0.008333333333333333,0.833284956451033,0.009529291531802571,0.0,0.0,0.7518145728761083,0.002817578620942653,0.075,0.029166666666666667,0.5662448593454363,0.011981942995901823,0.10833333333333332,0.0375,0.6948304170380447,0.01573630052047793,0.025,0.0041666666666666675,0.7539074838548264,0.005006787612512265
C0149721,Left Ventricular Hypertrophy,,0.235,0.09,0.9248777312877732,0.016528370340521098,0.175,0.04,0.8778100883310088,0.026891896530334462,0.025,0.0,0.775284170153417,0.0026240672161503605,0.14,0.08,0.5837443049744306,0.020772457203713637,0.165,0.02,0.6729476987447699,0.007913423680052016,0.105,0.0,0.8388630869363087,0.00568710915070035
C0020428,Hyperaldosteronism,endocrine system ,0.35,0.2,0.7260632370693658,0.04161533288555265,0.35,0.05,0.7161992756987651,0.013476956863297264,0.35,0.25,0.6698997121366888,0.024565952907189516,0.05,0.05,0.5183803045779553,0.016750232341817134,0.25,0.15,0.6869648992478411,0.10949479916426884,0.05,0.0,0.7237533661435603,0.0025890188596879786
C0235153,"Hallucinations, Sensory",,0.275,0.175,0.8363147502903601,0.10022168222843164,0.0,0.0,0.8237557104142471,0.0023020121803491666,0.0,0.0,0.626618660472319,0.0009349875340454912,0.14166666666666666,0.08333333333333333,0.5813666279519938,0.013034569523818556,0.275,0.03333333333333333,0.635554006968641,0.01033382273209462,0.05833333333333333,0.025,0.679006968641115,0.004743140056572548
C1527311,Brain Edema,nervous system ,0.575,0.13333333333333333,0.891495547812621,0.039325930574408544,0.4833333333333333,0.06666666666666668,0.9376356949283778,0.03696133921324299,0.275,0.025,0.8803917924893534,0.011970508597912077,0.31666666666666665,0.11666666666666665,0.6697282229965157,0.045798458841087256,0.4833333333333333,0.26666666666666666,0.7246991869918699,0.06423552483510299,0.3833333333333333,0.1,0.9018010065814944,0.01968245614632146
C0079744,Diffuse Large B-Cell Lymphoma,,0.13333333333333333,0.1,0.884189781474082,0.025661532831656796,0.06666666666666668,0.0,0.9017980764763276,0.0045478477827141685,0.0,0.0,0.7571986944199229,0.0015679654314633494,0.08333333333333333,0.05833333333333333,0.5642831699422324,0.00646701881694588,0.09166666666666666,0.0,0.7025081695550496,0.00459858322658112,0.0,0.0,0.8242031779956326,0.0013947497369830868
C0024667,Animal Mammary Neoplasms,,0.0945054945054945,0.021428571428571432,0.7932418351956166,0.008559849818192408,0.07307692307692308,0.021978021978021976,0.8080573383199434,0.0072668579532634515,0.0,0.0,0.7354259780835412,0.0015046448611895286,0.05054945054945055,0.021978021978021976,0.5446327377104687,0.007439402639102004,0.08736263736263736,0.03626373626373626,0.6814711012610171,0.009957814802596743,0.021428571428571432,0.0071428571428571435,0.7332698720513846,0.002944576757605761
C0018800,Cardiomegaly,,0.11666666666666665,0.026515151515151512,0.8499501543765942,0.009866104396075315,0.07121212121212121,0.01818181818181818,0.8134593781131436,0.00751902543486403,0.0,0.0,0.7207285020877932,0.0017059103228948024,0.06287878787878788,0.01818181818181818,0.5513281332796371,0.01211175005207523,0.09772727272727272,0.03484848484848485,0.6269517511322128,0.013187261902505172,0.026515151515151512,0.00909090909090909,0.7287531528858179,0.011313947890024469
C0002514,"Amino Acid Metabolism, Inborn Errors",inherited metabolic disorder,0.0,0.0,0.8178541589305606,0.0018450180407631927,0.0,0.0,0.7539918306721128,0.000528200806763661,0.0,0.0,0.4939333457111029,6.0337533191168777e-05,0.0,0.0,0.4930375046416636,6.0337533191168777e-05,0.0,0.0,0.4477395098403267,0.0007243406688753757,0.1,0.0,0.7876578165614557,0.0036602154674433268
C0043352,Xerostomia,,0.025,0.0,0.7767887019565924,0.0018630016837151203,0.075,0.025,0.7838168657340707,0.004352796123132759,0.0,0.0,0.7285437096249476,0.00086574038837249,0.025,0.025,0.5431461170237486,0.013140539358314579,0.025,0.0,0.5810609053306688,0.0010152067398319566,0.025,0.0,0.5861911511827858,0.0012766385348925355
C0013182,Drug Allergy,,0.125,0.09166666666666666,0.7497992364402316,0.009459954730588627,0.08333333333333333,0.05,0.7546094306600997,0.010739205921049759,0.075,0.025,0.5591648468234055,0.002651959247561967,0.06666666666666668,0.0,0.5266564445683486,0.0013803651137624456,0.09166666666666663,0.0,0.5519702707307251,0.0024061476808364558,0.06666666666666668,0.03333333333333333,0.7907517114270669,0.03497075549874898
C0018824,Heart valve disease,cardiovascular system ,0.24166666666666664,0.16666666666666666,0.8567840713721481,0.12433143546505655,0.18333333333333326,0.13333333333333333,0.8222817248269132,0.02137779546230798,0.08333333333333333,0.03333333333333333,0.6178800164180723,0.003565281171873835,0.13333333333333333,0.08333333333333333,0.5770201198829051,0.03609881144778891,0.125,0.025,0.6705868686399331,0.006436924036042164,0.075,0.025,0.7870843207409817,0.004486553391810072
C0332606,Elfin facies,,0.2,0.2,0.7316958277254375,0.041856379692387785,0.0,0.0,0.7378846243096486,0.0007495919682113413,0.0,0.0,0.4870329976330812,4.640801930573604e-05,0.0,0.0,0.5426532695966955,0.0004691176447255898,0.0,0.0,0.5722281524110084,0.0006582284990736008,0.0,0.0,0.6070821924165777,0.0004074858134544017
C1842170,Centrally nucleated skeletal muscle fibers,,0.5,0.1,0.9312154824337496,0.01656332721366766,0.3,0.3,0.968399313129438,0.025517432788080958,0.0,0.0,0.8852926161414583,0.003001911889872661,0.3,0.2,0.6945189585557154,0.10837366253942364,0.1,0.1,0.6888476354016799,0.009334416724109744,0.3,0.1,0.8475472223511394,0.010517880538923129
