,data,data,loo_ptest[DP],loo_ptest[DP],loo_ptest[DP],lci_dpp[DP],lci_dpp[DP],lci_dpp[DP],lci_dpp[DP],lci_dpp[0.3][DP],lci_dpp[0.3][DP],lci_dpp[0.3][DP],lci_dpp[0.3][DP],ci_dpp[DP],ci_dpp[DP],ci_dpp[DP],ci_dpp[DP],rw_dpp[DP],rw_dpp[DP],rw_dpp[DP],rw_dpp[DP],dns_dpp[DP],dns_dpp[DP],dns_dpp[DP],dns_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],subgraph_metrics[DP],subgraph_metrics[DP],subgraph_metrics[DP]
,name,class,disease_size,pvalue_COMP,pvalue_DNS,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Conductance of Disease Nodes,Conductance of Intermediate Nodes,Density of Disease Subgraph
C4020858,Choreatic disease,,28,0.0,0.2,0.0,0.0,0.7758782727174198,0.0010209633025185976,0.0,0.0,0.7765223651818477,0.0009954595273162703,0.08333333333330001,0.08333333333330001,0.7528883521449999,0.014126483694700001,0.1,0.03333333333333333,0.8404500905755029,0.03630286470951462,0.0,0.0,0.5977356124297459,0.0004913933667329168,0.15,0.05,0.5852872869153235,0.008028560660783519,0.0,0.0,0.5331444408317464,0.0006579308423387271,0.9776989356310188,0.8800276195408251,0.0582010582010582
C4020859,Pyramidal tract disease,,10,0.19,0.28,0.0,0.0,0.6293335499141411,0.00015965675688604369,0.0,0.0,0.5674502250893395,0.00016688183162926013,0.0,0.0,0.639051840163,0.00034826922433,0.0,0.0,0.6849027706873346,0.00040311095227121016,0.0,0.0,0.4874344456304822,4.640801930573604e-05,0.0,0.0,0.4930384740335082,4.640801930573604e-05,0.0,0.0,0.4780062189631968,0.0004224937178767071,0.98145285935085,0.9803639846743296,0.13333333333333333
C2675111,Abnormal eyelashes,,13,0.15,0.08,0.55,0.3,0.9169745636836244,0.04818409348019678,0.55,0.3,0.8965860564426291,0.07875520864804947,0.55,0.25,0.896193835871,0.044276432219900005,0.05,0.05,0.8909209060527292,0.05182664445130599,0.1,0.1,0.5908327144448571,0.03432778419667595,0.15,0.1,0.5689205811362792,0.0072154590755756955,0.15,0.15,0.6784185852209432,0.013642929098839013,0.9835796387520526,0.9759269823160296,0.0641025641025641
C0003803,Arnold Chiari Malformation,,11,0.0,0.42,0.3,0.3,0.7512438503666574,0.10853812335309616,0.3,0.3,0.7287988489742876,0.22510486205336608,0.3,0.3,0.766573842012,0.150134941768,0.15,0.0,0.8031490763946904,0.005151388523339932,0.0,0.0,0.5897428757077879,0.0008811732229791926,0.05,0.05,0.5183781212289984,0.010046409957729523,0.3,0.1,0.6859347442680777,0.017702880571065012,0.9816849816849816,0.971648690292758,0.09090909090909093
C1837082,Metaphyseal cupping,,11,0.04,0.19,0.0,0.0,0.6905852594449085,0.0003695091693314041,0.0,0.0,0.6429012345679013,0.0002639281361215845,0.0,0.0,0.5951499118169999,0.00021807004302900002,0.0,0.0,0.6685556483802098,0.00027087896549163364,0.0,0.0,0.490079365079365,5.105075966009834e-05,0.0,0.0,0.4930381509328877,5.105075966009834e-05,0.0,0.0,0.4468091525109069,0.0008736513710513898,0.9723320158102768,0.987354191649406,0.12727272727272726
C4020851,Cortical white matter abnormalities seen on MRI,,18,0.02,0.37,0.05,0.0,0.7674056362876642,0.0019603307855769908,0.1,0.05,0.7943451413714657,0.005891854178637275,0.1,0.0,0.72541204327,0.0029079451174600004,0.0,0.0,0.7632538650819444,0.0013142391244951336,0.0,0.0,0.6194414782487581,0.0005291053736670199,0.0,0.0,0.5179349087701379,0.00033532995767997784,0.0,0.0,0.6277821625887924,0.0003033691703844835,0.9829580036518564,0.918951710749818,0.0915032679738562
C0033941,"Psychoses, Substance-Induced",,17,0.0,0.27,0.0,0.0,0.8313289229340761,0.001965217683243561,0.05,0.0,0.7937000928505107,0.002511050911525466,0.1,0.0,0.788779015785,0.00260169376942,0.15,0.0,0.8189415041782729,0.003144359495134192,0.0,0.0,0.6413974001857011,0.0004195290102538853,0.1,0.05,0.5936165273909005,0.009722967435416952,0.0,0.0,0.7763509749303621,0.0015922005818815247,0.988476773496579,0.7882800352569499,0.1176470588235294
C4020854,Neuro-degenerative disease,,42,0.01,0.41,0.1,0.05,0.7688016500116198,0.05286567370206202,0.075,0.075,0.7817914245874972,0.032651625324327235,0.12,0.05,0.731513711364,0.00523673591064,0.075,0.05,0.7484042528468511,0.012039257150393707,0.0,0.0,0.6346053915872647,0.000775895206973308,0.025,0.0,0.5404097141529165,0.0010335028360193444,0.0,0.0,0.5658968161747617,0.0009465526642379725,0.9819182389937108,0.6218837284158282,0.053426248548199766
C1837087,Macular pigmentary changes,,15,0.0,0.03,0.6,0.45,0.8118396620555194,0.2913082778047047,0.5,0.4,0.8122087085693064,0.1573940140385574,0.4,0.4,0.793863151054,0.183478977919,0.3,0.05,0.8395227926840592,0.012243630823169649,0.2,0.2,0.5977938445826758,0.02188109765010515,0.05,0.05,0.5183861758425401,0.05006498436731318,0.05,0.0,0.8296351313712748,0.002060760043284742,0.8675496688741722,0.9779897285399852,0.09523809523809523
