node_id,degree,lci_weight,protein_id,protein_name,role
2339,16,,3360,HTR4,disease
3864,123,,5573,PRKAR1A,disease
3768,38,,5447,POR,disease
391,3,,552,AVPR1A,disease
393,18,,554,AVPR2,disease
5924,20,,8622,PDE8B,disease
1144,4,,1584,CYP11B1,disease
1146,37,,1586,CYP17A1,disease
4786,12,,6770,STAR,disease
2287,5,,3284,HSD3B2,disease
1148,16,,1589,CYP21A2,disease
392,3,,553,AVPR1B,pred_lci
1961,183,0.022838056624484942,2869,GRK5,common_pred_lci
3868,395,0.19116922516085058,5578,PRKCA,common_pred_lci
390,13,0.6390961311815957,551,AVP,common_pred_lci
20445,3,,115950,ZNF653,pred_lci
1712,51,0.6272076302812144,2516,NR5A1,common_pred_lci
1143,5,,1583,CYP11A1,pred_lci
2842,394,0.008000008012377692,4087,SMAD2,common_pred_lci
1145,10,0.7353768166723471,1585,CYP11B2,common_pred_lci
3452,7,,5021,OXTR,pred_lci
302,366,0.12402528266726241,409,ARRB2,common_pred_lci
5344,1256,-0.019081290255129866,7514,XPO1,common_disease
6370,224,0.303495486511861,9218,VAPA,common_disease
1733,285,0.19113361182161206,2547,XRCC6,common_disease
3858,420,0.17679989435936255,5566,PRKACA,common_disease
17387,83,0.24942211759942526,79139,DERL1,common_disease
1124,30,0.6568800345623598,1544,CYP1A2,common_disease
1129,29,0.43541501906966756,1557,CYP2C19,common_disease
1116,25,0.29596939086914065,1528,CYB5A,common_disease
3885,349,0.09418276677960619,5595,MAPK3,common_disease
4698,441,0.3624780518668039,6667,SP1,common_disease
4701,98,0.15044298308832876,6670,SP3,common_disease
