node_id,degree,protein_id,protein_name,role
4400,6,6309,SC5D,disease
3768,38,5447,POR,disease
13641,64,54903,MKS1,disease
17836,5,80199,FUZ,disease
1620,79,2260,FGFR1,disease
1621,58,2261,FGFR3,disease
3334,59,4853,NOTCH2,disease
1623,50,2263,FGFR2,disease
5368,62,7545,ZIC1,disease
1492,21,2077,ERF,disease
3992,104,5727,PTCH1,disease
15998,1,852322,,pred_lci
1607,42,2247,FGF2,common_pred_lci
3621,2,5251,PHEX,pred_lci
5594,4,8074,FGF23,common_pred_lci
5942,5,8643,PTCH2,pred_lci
4642,4,6608,SMO,common_pred_lci
4523,11,6469,SHH,common_pred_lci
2436,4,3549,IHH,common_pred_lci
12621,3,50846,DHH,common_pred_lci
1614,6,2254,FGF9,pred_lci
1624,42,2264,FGFR4,pred_lci
4787,225,6772,STAT1,common_pred_lci
1606,28,2246,FGF1,common_pred_lci
6086,5,8817,FGF18,common_pred_lci
1608,8,2248,FGF3,common_pred_lci
1609,5,2249,FGF4,common_pred_lci
1610,6,2250,FGF5,common_pred_lci
1611,4,2251,FGF6,common_pred_lci
1612,13,2252,FGF7,common_pred_lci
1613,4,2253,FGF8,common_pred_lci
6091,5,8822,FGF17,common_pred_lci
3694,279,5335,PLCG1,common_pred_lci
754,247,1025,CDK9,common_pred_lci
1460,32,2043,EPHA4,common_pred_lci
4789,292,6774,STAT3,common_pred_lci
7015,2,9965,FGF19,common_pred_lci
11727,23,29893,PSMC3IP,common_pred_lci
19740,13,94240,EPSTI1,common_pred_lci
11118,21,157638,FAM84B,common_pred_lci
14879,63,57504,MTA3,common_pred_lci
15508,14,64236,PDLIM2,common_pred_lci
10904,14,26035,GLCE,common_pred_lci
13349,24,54206,ERRFI1,common_pred_lci
19504,12,91608,RASL10B,common_pred_lci
3014,38,4323,MMP14,common_pred_lci
4698,441,6667,SP1,common_pred_lci
5344,1256,7514,XPO1,common_disease
17674,211,79867,TCTN2,common_disease
3240,108,4723,NDUFV1,common_disease
17471,31,79583,TMEM231,common_disease
16650,401,200728,TMEM17,common_disease
10756,47,25818,KLK5,common_disease
2315,900,3320,HSP90AA1,common_disease
1972,1081,2885,GRB2,common_disease
4315,89,6197,RPS6KA3,common_disease
3248,317,4734,NEDD4,common_disease
3657,307,5295,PIK3R1,common_disease
7114,36,10099,TSPAN3,common_disease
7674,34,10818,FRS2,common_disease
1041,329,1432,MAPK14,common_disease
1562,92,2185,PTK2B,common_disease
14280,27,55819,RNF130,common_disease
1866,66,2735,GLI1,common_disease
1868,29,2737,GLI3,common_disease
