node_1	node_2	roles
1536	1103	common_pred_lci-common_disease
1536	1533	common_pred_lci-disease
1536	1536	common_pred_lci-common_pred_lci
1536	6214	common_pred_lci-pred_lci
1920	1103	common_pred_lci-common_disease
1920	1533	common_pred_lci-disease
1920	1543	common_pred_lci-common_pred_lci
1920	1920	common_pred_lci-common_pred_lci
1920	1923	common_pred_lci-pred_lci
1920	2536	common_pred_lci-common_disease
1920	2662	common_pred_lci-common_pred_lci
1538	577	disease-common_disease
1538	1062	disease-common_disease
1538	1103	disease-common_disease
1538	1416	disease-common_disease
1538	1533	disease-disease
1538	1538	disease-disease
1538	1542	disease-common_pred_lci
1538	3912	disease-disease
1538	3915	disease-disease
1538	10818	disease-common_disease
1923	1533	pred_lci-disease
1540	577	disease-common_disease
1540	1533	disease-disease
1540	1540	disease-disease
1540	1541	disease-disease
1540	1542	disease-common_pred_lci
1540	2796	disease-common_disease
1540	3912	disease-disease
1540	3915	disease-disease
1541	325	disease-common_disease
1541	1533	disease-disease
1541	1830	disease-common_disease
1541	2796	disease-common_disease
1542	1542	common_pred_lci-common_pred_lci
1542	1830	common_pred_lci-common_disease
1542	3511	common_pred_lci-pred_lci
1542	3635	common_pred_lci-common_disease
1542	3686	common_pred_lci-disease
1542	3699	common_pred_lci-common_disease
1542	3915	common_pred_lci-disease
1542	12784	common_pred_lci-disease
1543	1533	common_pred_lci-disease
1543	1543	common_pred_lci-common_pred_lci
1543	2662	common_pred_lci-common_pred_lci
1543	3511	common_pred_lci-pred_lci
1543	3701	common_pred_lci-common_pred_lci
1416	500	common_disease-common_disease
1416	1416	common_disease-common_disease
1416	2114	common_disease-disease
1416	2662	common_disease-common_pred_lci
1416	2796	common_disease-common_disease
1416	3474	common_disease-common_disease
1416	3701	common_disease-common_pred_lci
1416	5007	common_disease-common_disease
1545	1533	common_disease-disease
1545	1545	common_disease-common_disease
1545	1603	common_disease-disease
1545	1625	common_disease-common_pred_lci
1545	1676	common_disease-common_disease
1545	3701	common_disease-common_pred_lci
20234	1103	common_disease-common_disease
20234	2278	common_disease-disease
20234	3912	common_disease-disease
20234	20234	common_disease-common_disease
1676	149	common_disease-common_disease
1676	1062	common_disease-common_disease
1676	1533	common_disease-disease
1676	1603	common_disease-disease
1676	1604	common_disease-common_pred_lci
1676	1625	common_disease-common_pred_lci
1676	1676	common_disease-common_disease
1676	2278	common_disease-disease
1676	2417	common_disease-common_disease
1676	2422	common_disease-common_disease
1676	2536	common_disease-common_disease
1676	3686	common_disease-disease
1676	3699	common_disease-common_disease
1676	3701	common_disease-common_pred_lci
1676	4698	common_disease-common_pred_lci
1676	5007	common_disease-common_disease
5006	1533	disease-disease
5006	3474	disease-common_disease
5006	3511	disease-pred_lci
5006	3583	disease-common_disease
5006	3912	disease-disease
5007	577	common_disease-common_disease
5007	1103	common_disease-common_disease
5007	1533	common_disease-disease
5007	1603	common_disease-disease
5007	2278	common_disease-disease
5007	2662	common_disease-common_pred_lci
5007	2796	common_disease-common_disease
5007	3699	common_disease-common_disease
3474	1533	common_disease-disease
3474	2796	common_disease-common_disease
3474	3474	common_disease-common_disease
3474	3686	common_disease-disease
3474	3687	common_disease-common_pred_lci
3474	3699	common_disease-common_disease
3474	4698	common_disease-common_pred_lci
3474	5300	common_disease-common_disease
149	149	common_disease-common_disease
149	500	common_disease-common_disease
149	1533	common_disease-disease
149	1603	common_disease-disease
149	2417	common_disease-common_disease
149	2422	common_disease-common_disease
1830	1533	common_disease-disease
1830	3912	common_disease-disease
1062	1062	common_disease-common_disease
1062	1603	common_disease-disease
1062	4698	common_disease-common_pred_lci
1062	5300	common_disease-common_disease
2090	2662	disease-common_pred_lci
3635	1533	common_disease-disease
3635	3687	common_disease-common_pred_lci
3635	3699	common_disease-common_disease
3635	3912	common_disease-disease
5300	1533	common_disease-disease
5300	1625	common_disease-common_pred_lci
5300	2114	common_disease-disease
5300	2662	common_disease-common_pred_lci
5300	5300	common_disease-common_disease
3511	1533	pred_lci-disease
3511	1603	pred_lci-disease
3511	1604	pred_lci-common_pred_lci
3511	1625	pred_lci-common_pred_lci
3511	3511	pred_lci-pred_lci
3511	3686	pred_lci-disease
3511	3687	pred_lci-common_pred_lci
3511	3912	pred_lci-disease
