Disease ID,Disease Name,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C0031090,Periodontal Diseases,0.05,4850.1,0.01295338741533108,7649.9,0.6885719923851976,0.25
C4280581,Aplasia of eyebrows,0.0,6834.538461538462,0.0006844433428792912,6963.846153846154,0.5617793817304122,0.0
C0022821,Kyphosis deformity of spine,0.0,4975.7807017543855,0.0019261741183307362,5462.929824561404,0.6970274787703553,0.0
C0022408,Arthropathy,0.0,3977.133333333333,0.0006656906073147986,4141.0,0.5631278432828892,0.0
C1850776,Rapidly progressive disorder,0.0,5809.148148148148,0.0005910629644129553,6290.259259259259,0.6130039479795634,0.0
C0024115,Lung diseases,0.0,5626.478260869565,0.001260018215256413,5949.804347826087,0.5979081632653062,0.045
C1836830,Developmental regression,0.0,3642.7956989247314,0.007348403696742506,6392.258064516129,0.7576370770696153,0.08666666666666666
C0024117,Chronic Obstructive Airway Disease,0.0,3002.162162162162,0.0028934721622198662,5133.027027027027,0.7737596809169764,0.05
C0241013,Serum ferritin increased,0.2,6564.571428571428,0.024391869874778746,7466.0,0.696271410667038,0.4
C4280368,Hypotrophic cheekbone,0.0,2890.4545454545455,0.001363870118933646,5154.272727272727,0.6898347651110596,0.0
C1850135,Splayed metaphyses,0.0,4369.25,0.0028454481818340847,4396.6,0.5834528950178762,0.15
C0010520,Cyanosis,0.05,3286.4117647058824,0.008698296501496833,4007.529411764706,0.6883402971216341,0.35
C4280369,Flattening of the zygomatic bone,0.0,2890.4545454545455,0.001363870118933646,5154.272727272727,0.6898347651110596,0.0
C0687149,Pure gonadal dysgenesis,0.0,5555.9473684210525,0.001816888899471587,6535.631578947368,0.6069888104745103,0.0
C4021792,Abnormality of the clavicle,0.1,5158.357142857143,0.011798564263155668,6430.214285714285,0.6712911386529268,0.25
C1853932,Rimmed vacuoles on biopsy,0.0,3293.733333333333,0.0012539565524084964,6487.733333333334,0.8301643301457616,0.0
C0003803,Arnold Chiari Malformation,0.0,5171.818181818182,0.0008811732229791926,5260.090909090909,0.5897428757077879,0.0
C0241011,Low serum estradiol levels,0.0,4573.5,0.005024593951031637,5949.818181818182,0.7181487500967417,0.13333333333333333
C0231712,Waddling gait,0.0,3710.764705882353,0.0020945989393679585,5511.205882352941,0.6738324505567688,0.05
C1837082,Metaphyseal cupping,0.0,4995.545454545455,5.1050759660098336e-05,4726.272727272727,0.490079365079365,0.0
C1833752,Varying degree of multiple fractures,0.02,4799.9807692307695,0.0021200169870653897,5964.038461538462,0.6139002557544757,0.04
C0025149,Medulloblastoma,0.0,4563.21568627451,0.0014974872353051862,6344.294117647059,0.7548953005362845,0.0
C1836509,Hypotonic seizures,0.1,3095.9,0.014716625398460251,3585.4,0.6445955353413468,0.3
C0151744,Myocardial Ischemia,0.0,5385.488095238095,0.0015958741985627998,4791.863095238095,0.6831163042850503,0.0
C0013491,Ecchymosis,0.0,3641.5223880597014,0.0021067929120065303,4721.358208955224,0.7083547164794257,0.014285714285714285
C1837084,Short metacarpal,0.0,4420.954545454545,0.0029736024981008476,5370.0,0.6942167526611815,0.04
C0079924,Oligohydramnios,0.0,5330.7,0.0038847620328096993,8268.1,0.663086666356978,0.13333333333333333
C0158775,Congenital anomaly of spine,0.0,4702.0,0.0026397462657006174,5642.6,0.6145436821093677,0.2
C0240310,Hypoplasia of the maxilla,0.0,4809.569230769231,0.0010405909728308858,5740.476923076923,0.6883448326287522,0.0
C0345309,Hypoplasia of vagina,0.0,2408.5714285714284,0.008975203515991518,4678.785714285715,0.8171227312816228,0.55
C0746940,nonverbal,0.0,7625.511627906977,0.00028996528021024806,7305.767441860465,0.5080356976852283,0.0
C1860834,Infantile muscular hypotonia,0.0,3760.1666666666665,0.0029630783475795073,4174.25,0.5676932002784868,0.15
C1864897,Cognitive delay,0.0,6174.31136738056,0.0050869846523203715,6856.8896210873145,0.6930655176910938,0.0
C4022003,Erectile abnormalities,0.15,5511.5625,0.022907609568671005,6991.4375,0.5918504247713662,0.2
C0002171,Alopecia Areata,0.2,6348.6,0.017032485613514014,8581.9,0.6461897247876733,0.3
C0423867,Fine hair,0.0,5972.7441860465115,0.0010587777867371178,6593.976744186047,0.6190603792879055,0.025
C0020626,Hypoparathyroidism,0.0,3482.5,0.0021549342583255917,3744.125,0.5387667703449236,0.05
C0002170,Alopecia,0.0,5283.056179775281,0.0011695396699251581,5615.808988764045,0.6417988077862659,0.02222222222222222
C0428977,Bradycardia,0.0,3740.0285714285715,0.0024488529694940454,3881.0857142857144,0.5953166140073722,0.09166666666666666
C1969372,Tubulointerstitial fibrosis,0.1,3079.181818181818,0.006924121666214579,5004.818181818182,0.5952566601689409,0.2
C0948023,Urine phosphorous concentration above normal,0.0,3985.2105263157896,0.0011828753435026702,4546.473684210527,0.5621030272077259,0.05
C0025995,Micromelia,0.0,4925.9655172413795,0.002285479077624477,5758.551724137931,0.6543158596523869,0.03333333333333333
C1859117,Recurrent pulmonary infections,0.0,4276.517241379311,0.001983011451209938,5263.517241379311,0.6791956986250464,0.0
C1848530,Abnormal visual pursuit,0.0,6617.2307692307695,6.0337533191168777e-05,6104.923076923077,0.48088795024136655,0.0
C0221765,Chronic schizophrenia,0.0,4032.6666666666665,0.0009331976591700085,5327.083333333333,0.581951728939429,0.0
C0476273,Respiratory distress,0.0,4935.9047619047615,0.0006543552917575859,4656.619047619048,0.5797644666511736,0.0
C0016059,Fibrosis,0.0,3095.5365853658536,0.0019067475340106576,4274.09756097561,0.7390223554564046,0.025
C1138421,Spider Veins,0.05,2293.8823529411766,0.008120899233314618,4770.470588235294,0.8137395543175489,0.3
C0023434,Chronic Lymphocytic Leukemia,0.0,7516.4324324324325,0.0005672661298489728,8548.918918918918,0.622737182465923,0.0
C0278124,Absent tendon reflex,0.0,6602.032608695652,0.0011002287953476354,7019.858695652174,0.6279168931335248,0.0
C1527311,Brain Edema,0.025,1686.3125,0.011970508597912075,5600.90625,0.8803917924893534,0.27499999999999997
C1834060,Short middle phalanx of the 5th finger,0.0,2919.230769230769,0.0025980663688463185,4007.4615384615386,0.6647187151875232,0.1
C0151632,ESR raised,0.0,2989.2,0.001962761384600125,4422.2,0.6602231044249433,0.05
C0375206,Hemiplegia and hemiparesis,0.0,6216.131578947368,0.0007251479232041865,6122.4473684210525,0.5847061511532445,0.025
C0151811,Subcutaneous nodule,0.0,4364.584905660377,0.0007612771665473032,4320.773584905661,0.6542692832341269,0.0
