Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
C0013182,Drug Allergy,0.20833333333333331,0.11666666666666665,0.7624636031347768,0.01140548209203237,4987.4,3624.6857142857143
C0917798,Cerebral Ischemia,0.23333333333333334,0.0,0.8915490123227444,0.009180607729165695,2393.08,3806.48
C0020295,Hydronephrosis,0.1595238095238095,0.04523809523809523,0.8110527359678048,0.011237516678649449,4046.927536231884,5024.420289855072
C3714796,Isolated somatotropin deficiency,0.03333333333333333,0.0,0.8150370060696147,0.0016020926421030993,3979.7586206896553,4849.6551724137935
C1866134,Wide anterior fontanel,0.305,0.16,0.8524538651048204,0.02469513245494106,3309.7045454545455,4205.363636363636
C2364082,Sense of smell impaired,0.2,0.15,0.6261015926080699,0.023680162728636878,7340.55,6775.8
C1276035,Pena-Shokeir syndrome type I,0.5,0.5,0.8112961243908099,0.04545168240794516,3403.6666666666665,3012.5833333333335
C0027022,Myeloproliferative disease,0.25,0.1,0.9196752704145583,0.016853469356404988,1694.25,4566.625
C1833225,Dystrophic toenail changes,0.2,0.2,0.7391836071660635,0.06711733452218038,5097.818181818182,5443.272727272727
C0206620,"Lymphangioma, Cystic",0.15,0.05,0.7897938335809807,0.008854409965124679,4178.809523809524,3764.8571428571427
C0006413,Burkitt Lymphoma,0.2,0.05,0.8886732893881719,0.0076334928482313675,2277.0,6286.8
C0019158,Hepatitis,0.05,0.0,0.8269886231715813,0.0021958167670632343,3588.7727272727275,3210.7727272727275
C0003126,Anosmia,0.2,0.15,0.5888667038137692,0.024088353959702345,7797.428571428572,6401.0
C0241074,Skin hyperelastic,0.4083333333333333,0.14999999999999997,0.8382659698025551,0.022970792596062817,3434.84375,3770.15625
C0020459,Hyperinsulinism,0.17083333333333334,0.03611111111111111,0.7694120115995116,0.019620883632112493,4947.975308641975,4843.950617283951
C0020541,"Hypertension, Portal",0.1,0.1,0.6813462580295643,0.011454279062856648,6438.409090909091,3923.1363636363635
C0014474,Ependymoma,0.3,0.3,0.8218458431973262,0.0498979962901057,4498.785714285715,5528.714285714285
C4020838,Relative short stature,0.5,0.4,0.8040800222799851,0.08587211771560495,4112.384615384615,2328.5384615384614
C0221170,Muscular stiffness,0.0,0.0,0.6649791134834068,0.0005533787098150522,6435.083333333333,4025.0833333333335
C3275417,Ragged-red fibers,0.3833333333333333,0.1,0.7277090298415057,0.01595621647295995,5092.857142857143,3935.4285714285716
C0349204,Nonorganic psychosis,0.026785714285714284,0.026785714285714284,0.6415826183825486,0.0021539333525043385,7742.649350649351,6257.558441558442
C0007787,Transient Ischemic Attack,0.2,0.0,0.8800273820021349,0.008564888767535368,2238.3,5307.0
C0018916,Hemangioma,0.2,0.03333333333333333,0.7864042013034258,0.0075483250115985735,4591.166666666667,4930.458333333333
C1837485,Flat acetabular roof,0.1111111111111111,0.1111111111111111,0.7806989047707443,0.0064815132484167945,4333.555555555556,4292.555555555556
C0007222,Cardiovascular Diseases,0.15333333333333332,0.05333333333333333,0.8757319285514932,0.01329004439734802,2698.35593220339,2481.64406779661
C2673410,Small midface,0.05636363636363637,0.019090909090909092,0.8230052588533919,0.005669281942026793,3773.605769230769,4794.615384615385
C0234182,Gowers sign,0.1,0.05,0.7101286397622253,0.0040380940572851045,5633.083333333333,3784.7083333333335
C0023493,Adult T-Cell Lymphoma/Leukemia,0.16666666666666666,0.0,0.9010417634488525,0.007155725083372993,2206.516129032258,3683.2258064516127
C0023434,Chronic Lymphocytic Leukemia,0.05833333333333333,0.03333333333333333,0.7193035548327137,0.0036736039841709345,5642.7027027027025,6926.783783783784
C0239946,"Fibrosis, Liver",0.06666666666666667,0.03333333333333333,0.6668803716608595,0.003943918653951858,7148.9375,5650.84375
C0013336,Dwarfism,0.05833333333333333,0.05833333333333333,0.7554673946716234,0.005507361800812445,5279.810810810811,4490.621621621622
C0014591,Epistaxis,0.41500000000000004,0.275,0.8791981965231942,0.06911368162314971,2769.1162790697676,3359.3720930232557
C0870082,Hyperkeratosis,0.045,0.045,0.8825463673127876,0.0056858172796911575,2536.4545454545455,4010.6363636363635
C0338715,Drug-induced depressive state,0.0,0.0,0.7205635241145616,0.0006981223610810257,5843.357142857143,4239.642857142857
C0431904,Ulnar polydactyly of fingers,0.23500000000000001,0.16499999999999998,0.7983675390479731,0.0428703331069083,4265.311111111111,6184.644444444444
C1328931,Multiple lentigines,0.6,0.5,0.9909732213301155,0.0727157313373519,195.5,3591.4
C4020958,Rough bone trabeculation,0.5,0.5,0.842158637334076,0.28514819176115297,3092.818181818182,8140.0
C0042510,Ventricular Fibrillation,0.3,0.2,0.7811371338377977,0.07753997666103286,3927.3125,4679.75
