Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
C0013182,Drug Allergy,0.14999999999999997,0.125,0.7547509525137068,0.010796141764979762,5117.057142857143,3624.6857142857143
C0917798,Cerebral Ischemia,0.21666666666666665,0.06666666666666667,0.9102436683385967,0.01669021322873864,1989.72,3806.48
C0020295,Hydronephrosis,0.1738095238095238,0.0738095238095238,0.8258297543701024,0.03821223126264283,3725.68115942029,5024.420289855072
C3714796,Isolated somatotropin deficiency,0.1,0.03333333333333333,0.8080298525950701,0.008017778138643558,4158.6551724137935,4849.6551724137935
C1866134,Wide anterior fontanel,0.305,0.255,0.8527299772230744,0.0999158465019078,3325.7727272727275,4205.363636363636
C2364082,Sense of smell impaired,0.2,0.15,0.6285694386404792,0.03072944448111593,7287.4,6775.8
C1276035,Pena-Shokeir syndrome type I,0.4,0.3,0.8001798561151079,0.0859049445076654,3712.3333333333335,3012.5833333333335
C0027022,Myeloproliferative disease,0.3,0.15,0.8574056450489765,0.024017622432635992,2265.8125,4566.625
C1833225,Dystrophic toenail changes,0.2,0.2,0.7804348835050591,0.10047362185236056,4256.545454545455,5443.272727272727
C0206620,"Lymphangioma, Cystic",0.2333333333333333,0.13333333333333333,0.7865481054977712,0.014260046577360292,4289.238095238095,3764.8571428571427
C0006413,Burkitt Lymphoma,0.05,0.0,0.8124849131928327,0.0029331784480853993,3746.9333333333334,6286.8
C0019158,Hepatitis,0.1,0.0,0.8409511647705287,0.0025173117179893866,3300.1363636363635,3210.7727272727275
C0003126,Anosmia,0.2,0.15,0.6504318350668647,0.032232076458217185,6530.238095238095,6401.0
C0241074,Skin hyperelastic,0.3416666666666667,0.08333333333333333,0.8437646147890051,0.04811427777098242,3287.6875,3770.15625
C0020459,Hyperinsulinism,0.19583333333333333,0.05833333333333333,0.7782938900788476,0.03648719910049454,4755.753086419753,4843.950617283951
C0020541,"Hypertension, Portal",0.15,0.15,0.6714205556845445,0.01731095697216196,6627.045454545455,3923.1363636363635
C0014474,Ependymoma,0.5,0.2,0.8193694007334169,0.04117585037781517,4843.214285714285,5528.714285714285
C4020838,Relative short stature,0.5,0.5,0.8045441886372077,0.08803410127054893,3754.846153846154,2328.5384615384614
C0221170,Muscular stiffness,0.0,0.0,0.7205604548619169,0.0010416083099329446,5296.0,4025.0833333333335
C3275417,Ragged-red fibers,0.4333333333333333,0.13333333333333333,0.7684694619861319,0.022798468973541677,4206.238095238095,3935.4285714285716
C0349204,Nonorganic psychosis,0.014285714285714285,0.0,0.6535430799414739,0.0013144240905904017,7478.233766233766,6257.558441558442
C0007787,Transient Ischemic Attack,0.2,0.0,0.8999280642316796,0.003928062094300792,1809.5,5307.0
C0018916,Hemangioma,0.18333333333333332,0.1,0.7838252140126009,0.008277468666456388,4662.125,4930.458333333333
C1837485,Flat acetabular roof,0.1111111111111111,0.1111111111111111,0.7848240620423653,0.006614272256663846,4244.666666666667,4292.555555555556
C0007222,Cardiovascular Diseases,0.11666666666666665,0.016666666666666666,0.8765868918038887,0.00681576790018978,2672.3728813559323,2481.64406779661
C2673410,Small midface,0.02909090909090909,0.01,0.8385098079098918,0.004934491787223871,3435.6634615384614,4794.615384615385
C0234182,Gowers sign,0.05,0.05,0.6763734732735801,0.0034030265156382807,6448.125,3784.7083333333335
C0023493,Adult T-Cell Lymphoma/Leukemia,0.225,0.03333333333333333,0.8659466072036917,0.007215690249114162,2912.451612903226,3683.2258064516127
C0023434,Chronic Lymphocytic Leukemia,0.03333333333333333,0.0,0.6769534154275093,0.0016866085088196813,6552.891891891892,6926.783783783784
C0239946,"Fibrosis, Liver",0.09166666666666666,0.09166666666666666,0.6752559039876112,0.006980432067022621,6962.34375,5650.84375
C0013336,Dwarfism,0.05833333333333333,0.025,0.7548354244114003,0.0036539654839706287,5276.243243243243,4490.621621621622
C0014591,Epistaxis,0.395,0.125,0.8501350283536302,0.024750835464632116,3388.5116279069766,3359.3720930232557
