,disease_name,disease_num_significant,disease_top_10,lci_jaccard_sim,lci_num_significant,lci_top_10
C0240063,Coloboma of iris,220,"{'regulation of multicellular organismal development', 'regulation of gene expression', 'developmental process', 'embryonic morphogenesis', 'negative regulation of RNA biosynthetic process', 'anatomical structure development', 'anatomical structure morphogenesis', 'negative regulation of RNA metabolic process', 'negative regulation of transcription, DNA-templated', 'negative regulation of nucleic acid-templated transcription'}",0.24113475177304963,305,"{'negative regulation of biosynthetic process', 'negative regulation of transcription by RNA polymerase II', 'regulation of transmembrane receptor protein serine/threonine kinase signaling pathway', 'positive regulation of transcription by RNA polymerase II', 'positive regulation of transcription, DNA-templated', 'negative regulation of RNA biosynthetic process', 'negative regulation of transcription, DNA-templated', 'negative regulation of RNA metabolic process', 'transmembrane receptor protein serine/threonine kinase signaling pathway', 'negative regulation of nucleic acid-templated transcription'}"
C0029456,Osteoporosis,1241,"{'response to chemical', 'response to stimulus', 'response to oxygen-containing compound', 'response to organic substance', 'biological_process', 'cellular_component', 'molecular_function', 'regulation of biological quality', 'organelle part', 'cellular process'}",0.30704225352112674,2007,"{'response to chemical', 'response to oxygen-containing compound', 'response to organic substance', 'regulation of cell population proliferation', 'regulation of developmental process', 'response to endogenous stimulus', 'developmental process', 'cellular response to organic substance', 'anatomical structure development', 'cellular response to chemical stimulus'}"
C0220994,Hyperammonemia,249,"{'urea cycle', 'carboxylic acid metabolic process', 'small molecule metabolic process', 'urea metabolic process', 'glutamine family amino acid biosynthetic process', 'nitrogen cycle metabolic process', 'oxoacid metabolic process', 'mitochondrion', 'mitochondrial part', 'organic acid metabolic process'}",0.21052631578947367,119,"{'carboxylic acid metabolic process', 'small molecule metabolic process', 'drug metabolic process', 'carboxylic acid catabolic process', 'mitochondrion', 'oxoacid metabolic process', 'organic acid catabolic process', 'mitochondrial part', 'organic acid metabolic process', 'small molecule catabolic process'}"
C0271388,Pendular Nystagmus,37,"{'sensory perception', 'detection of abiotic stimulus', 'detection of external stimulus', 'system process', 'detection of visible light', 'visual perception', 'sensory perception of light stimulus', 'detection of light stimulus', 'phototransduction', 'nervous system process'}",0.03529411764705882,51,"{'cAMP metabolic process', ""3',5'-cyclic-AMP phosphodiesterase activity"", ""3',5'-cyclic-GMP phosphodiesterase activity"", 'cyclic-nucleotide phosphodiesterase activity', 'phosphoric diester hydrolase activity', 'phosphoric ester hydrolase activity', 'hydrolase activity, acting on ester bonds', 'cyclic nucleotide catabolic process', 'cAMP catabolic process', ""3',5'-cyclic-nucleotide phosphodiesterase activity""}"
C0019196,Hepatitis C,163,"{'response to stress', 'response to stimulus', 'multi-organism process', 'response to external biotic stimulus', 'response to external stimulus', 'defense response', 'regulation of immune effector process', 'response to biotic stimulus', 'negative regulation of T cell mediated immunity', 'defense response to virus'}",0.0,1,"{'lipase activity', 'high-density lipoprotein particle remodeling', 'sterol transport', 'lipid catabolic process', 'exogenous drug catabolic process', 'cholesterol transport', 'organic hydroxy compound transport', 'aromatase activity', 'reverse cholesterol transport', 'triglyceride lipase activity'}"
C1865992,Short hallux,291,"{'positive regulation of animal organ morphogenesis', 'positive regulation of developmental process', 'skeletal system development', 'in utero embryonic development', 'embryo development', 'chordate embryonic development', 'anatomical structure development', 'regulation of ossification', 'BMP signaling pathway', 'embryo development ending in birth or egg hatching'}",0.3113207547169811,265,"{'enzyme linked receptor protein signaling pathway', 'BMP binding', 'regulation of transmembrane receptor protein serine/threonine kinase signaling pathway', 'regulation of pathway-restricted SMAD protein phosphorylation', 'transforming growth factor beta receptor binding', 'positive regulation of pathway-restricted SMAD protein phosphorylation', 'positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway', 'BMP signaling pathway', 'transmembrane receptor protein serine/threonine kinase signaling pathway', 'regulation of BMP signaling pathway'}"
C0013604,Edema,751,"{'response to stimulus', 'extracellular region part', 'regulation of localization', 'system process', 'regulation of multicellular organismal process', 'regulation of programmed cell death', 'negative regulation of programmed cell death', 'regulation of apoptotic process', 'signal transduction', 'negative regulation of apoptotic process'}",0.25146627565982405,956,"{'signal transduction', 'cell surface receptor signaling pathway', 'positive regulation of cell population proliferation', 'response to organic substance', 'regulation of signal transduction', 'regulation of signaling', 'signaling receptor binding', 'cytokine-mediated signaling pathway', 'regulation of peptidyl-tyrosine phosphorylation', 'regulation of cell communication'}"
C0018916,Hemangioma,97,"{'regulation of cell population proliferation', 'tricarboxylic acid cycle', 'citrate metabolic process', 'regulation of epithelial cell proliferation', 'catalytic activity', 'mitochondrion', 'glyoxylate cycle', 'cytoplasmic part', 'tricarboxylic acid metabolic process', 'positive regulation of epithelial cell proliferation'}",0.007518796992481203,37,"{'intracellular organelle lumen', 'vitamin binding', 'organelle lumen', 'lysosomal lumen', 'aminoglycan catabolic process', 'vacuolar lumen', 'carbohydrate derivative catabolic process', 'organonitrogen compound catabolic process', 'membrane-enclosed lumen', 'glycosaminoglycan catabolic process'}"
C0017574,Gingivitis,0,"{'positive regulation of NF-kappaB transcription factor activity', 'leukocyte mediated cytotoxicity', 'regulation of cell population proliferation', 'cellular component organization or biogenesis', 'defense response', 'positive regulation of multicellular organismal process', 'negative regulation of cell population proliferation', 'cell killing', 'cellular component organization', 'aging'}",0.0,15,"{'supramolecular polymer', 'intermediate filament', 'epidermis development', 'polymeric cytoskeletal fiber', 'supramolecular complex', 'keratinization', 'cornification', 'supramolecular fiber', 'keratin filament', 'structural constituent of cytoskeleton'}"
C0004245,Atrioventricular Block,7,"{'voltage-gated sodium channel complex', 'voltage-gated sodium channel activity involved in cardiac muscle cell action potential', 'voltage-gated sodium channel activity', 'sodium channel complex', 'AV node cell action potential', 'regulation of heart rate', 'membrane depolarization during cardiac muscle cell action potential', 'regulation of heart rate by cardiac conduction', 'multicellular organismal signaling', 'cardiac conduction'}",0.0,107,"{'inward rectifier potassium channel activity', 'regulation of ion transmembrane transport', 'voltage-gated ion channel activity', 'G-protein activated inward rectifier potassium channel activity', 'inorganic ion import across plasma membrane', 'potassium ion import across plasma membrane', 'regulation of transmembrane transport', 'inorganic cation import across plasma membrane', 'regulation of ion transport', 'voltage-gated channel activity'}"
C1846439,ODONTOID HYPOPLASIA,52,"{'mucopolysaccharide metabolic process', 'lysosomal lumen', 'aminoglycan catabolic process', 'vacuolar lumen', 'carbohydrate derivative catabolic process', 'glycosaminoglycan metabolic process', 'chondroitin sulfate catabolic process', 'aminoglycan metabolic process', 'glycosaminoglycan catabolic process', 'sulfur compound catabolic process'}",0.25,108,"{'lysosomal lumen', 'hydrolase activity, hydrolyzing O-glycosyl compounds', 'vacuolar lumen', 'carbohydrate derivative catabolic process', 'hydrolase activity, acting on glycosyl bonds', 'ganglioside catabolic process', 'vacuolar part', 'hydrolase activity', 'glycosphingolipid metabolic process', 'oligosaccharide metabolic process'}"
C0155552,"Hearing Loss, Mixed Conductive-Sensorineural",156,"{'pattern specification process', 'animal organ morphogenesis', 'limb bud formation', 'embryonic organ morphogenesis', 'anatomical structure development', 'anatomical structure morphogenesis', 'tissue development', 'skeletal system morphogenesis', 'inner ear morphogenesis', 'embryonic skeletal system morphogenesis'}",0.18229166666666666,71,"{'regulation of extrinsic apoptotic signaling pathway in absence of ligand', 'phosphatidylinositol-3-phosphate biosynthetic process', '1-phosphatidylinositol-3-kinase activity', 'extracellular matrix structural constituent conferring tensile strength', 'platelet-derived growth factor binding', 'skeletal system development', 'system development', 'growth factor binding', 'histone dephosphorylation', 'anatomical structure morphogenesis'}"
C0040028,"Thrombocythemia, Essential",416,"{'cell surface receptor signaling pathway', 'positive regulation of response to stimulus', 'positive regulation of cell population proliferation', 'positive regulation of protein phosphorylation', 'positive regulation of signaling', 'positive regulation of signal transduction', 'cytokine-mediated signaling pathway', 'regulation of peptidyl-tyrosine phosphorylation', 'positive regulation of cell communication', 'signaling receptor binding'}",0.0967741935483871,128,"{'extracellular region', 'intracellular organelle lumen', 'extracellular matrix', 'extracellular matrix structural constituent conferring tensile strength', 'organelle lumen', 'extracellular matrix structural constituent', 'membrane-enclosed lumen', 'extracellular matrix organization', 'extracellular structure organization', 'collagen-containing extracellular matrix'}"
C4020838,Relative short stature,42,"{'collagen fibril organization', 'endoplasmic reticulum lumen', 'extracellular matrix structural constituent conferring tensile strength', 'extracellular matrix', 'skeletal system development', 'extracellular matrix structural constituent', 'collagen trimer', 'extracellular matrix organization', 'extracellular structure organization', 'collagen-containing extracellular matrix'}",0.3188405797101449,49,"{'structural molecule activity', 'extracellular matrix', 'platelet-derived growth factor binding', 'extracellular matrix structural constituent conferring tensile strength', 'extracellular matrix structural constituent', 'collagen trimer', 'extracellular matrix organization', 'extracellular structure organization', 'extracellular space', 'collagen-containing extracellular matrix'}"
C0019294,"Hernia, Inguinal",572,"{'animal organ development', 'collagen fibril organization', 'extracellular matrix', 'animal organ morphogenesis', 'lysosomal lumen', 'anatomical structure development', 'anatomical structure morphogenesis', 'extracellular matrix organization', 'cellular process', 'collagen-containing extracellular matrix'}",0.2568951930654058,1023,"{'intracellular organelle lumen', 'extracellular matrix', 'organelle lumen', 'growth factor binding', 'extracellular matrix component', 'extracellular matrix structural constituent', 'membrane-enclosed lumen', 'extracellular matrix organization', 'extracellular structure organization', 'collagen-containing extracellular matrix'}"
C0393706,Early infantile epileptic encephalopathy with suppression bursts,0,"{""DNA 3' dephosphorylation"", 'positive regulation of vesicle docking', 'nucleotide-excision repair, DNA damage removal', 'regulation of metal ion transport', ""DNA 3' dephosphorylation involved in DNA repair"", 'nucleoside monophosphate kinase activity', 'nucleoside monophosphate metabolic process', 'embryonic olfactory bulb interneuron precursor migration', 'signal release from synapse', 'regulation of ion transport'}",0.0,0,"{'lymphocyte homeostasis', 'homeostasis of number of cells', 'regulation of voltage-gated sodium channel activity', 'B cell costimulation', 'tumor necrosis factor-mediated signaling pathway', 'membrane depolarization during Purkinje myocyte cell action potential', 'response to pyrethroid', 'corticospinal neuron axon guidance', 'positive regulation of germinal center formation', 'leukocyte homeostasis'}"
C3275417,Ragged-red fibers,92,"{'organelle inner membrane', 'mitochondrial inner membrane', 'mitochondrial membrane part', 'inner mitochondrial membrane protein complex', 'respiratory chain complex', 'generation of precursor metabolites and energy', 'respiratory electron transport chain', 'mitochondrial part', 'mitochondrial protein complex', 'electron transport chain'}",0.34710743801652894,71,"{'NADH dehydrogenase complex', 'respiratory chain complex I', 'mitochondrial respiratory chain complex I', 'NADH dehydrogenase activity', 'NADH dehydrogenase (quinone) activity', 'mitochondrial respiratory chain complex I assembly', 'respiratory chain complex', 'NADH dehydrogenase complex assembly', 'NADH dehydrogenase (ubiquinone) activity', 'oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor'}"
C0349204,Nonorganic psychosis,327,"{'cell part', 'regulation of cellular process', 'biological_process', 'cellular_component', 'regulation of biological process', 'intracellular part', 'biological regulation', 'multicellular organismal process', 'molecular_function', 'cellular process'}",0.2132752992383025,788,"{'calcium ion homeostasis', 'positive regulation of molecular function', 'chemical homeostasis', 'plasma membrane part', 'store-operated calcium channel activity', 'positive regulation of multicellular organismal process', 'homeostatic process', 'regulation of biological quality', 'cellular calcium ion homeostasis', 'signal transduction'}"
C0240379,Open mouth,109,"{'positive regulation of biological process', 'biological_process', 'positive regulation of cellular metabolic process', 'positive regulation of macromolecule biosynthetic process', 'positive regulation of macromolecule metabolic process', 'developmental process', 'positive regulation of nitrogen compound metabolic process', 'positive regulation of cellular process', 'anatomical structure development', 'anatomical structure morphogenesis'}",0.1515748031496063,476,"{'animal organ development', 'positive regulation of response to stimulus', 'regulation of multicellular organismal process', 'regulation of defense response', 'positive regulation of metabolic process', 'positive regulation of nitrogen compound metabolic process', 'regulation of immune response', 'positive regulation of signal transduction', 'cellular response to organic substance', 'gland development'}"
C0037293,Skin tag,189,"{'animal organ development', 'regulation of signal transduction', 'anatomical structure formation involved in morphogenesis', 'negative regulation of macroautophagy', 'tube closure', 'protein kinase B signaling', 'tube formation', 'anatomical structure development', 'neural tube closure', 'negative regulation of signal transduction'}",0.11387900355871886,124,"{'phosphatidylinositol-3-phosphate biosynthetic process', 'fibroblast growth factor receptor binding', '1-phosphatidylinositol-3-kinase activity', 'phosphatidylinositol 3-kinase activity', 'phosphatidylinositol phosphorylation', 'phosphatidylinositol bisphosphate kinase activity', 'phosphatidylinositol kinase activity', 'phosphatidylinositol-4,5-bisphosphate 3-kinase activity', 'fibroblast growth factor receptor signaling pathway', 'lipid phosphorylation'}"
C0151908,Dry skin,485,"{'positive regulation of biological process', 'response to stimulus', 'response to light stimulus', 'response to abiotic stimulus', 'response to UV', 'organic substance metabolic process', 'cellular response to stimulus', 'response to radiation', 'cellular metabolic process', 'cellular process'}",0.2875816993464052,894,"{'cellular response to DNA damage stimulus', 'DNA metabolic process', 'response to abiotic stimulus', 'damaged DNA binding', 'DNA repair', 'nucleoplasm', 'cellular response to stimulus', 'response to radiation', 'cellular response to stress', 'nuclear part'}"
C3278923,Dilated ventricles (finding),516,"{'cell part', 'biological_process', 'cellular_component', 'intracellular organelle part', 'developmental process', 'intracellular part', 'molecular_function', 'cytoplasmic part', 'organelle part', 'cellular process'}",0.17192268565615462,1788,"{'regulation of macromolecule metabolic process', 'positive regulation of cellular metabolic process', 'positive regulation of nucleobase-containing compound metabolic process', 'positive regulation of macromolecule biosynthetic process', 'positive regulation of macromolecule metabolic process', 'positive regulation of metabolic process', 'positive regulation of nitrogen compound metabolic process', 'positive regulation of gene expression', 'positive regulation of cellular biosynthetic process', 'positive regulation of biosynthetic process'}"
C0542223,Loss of speech,144,"{'vacuole', 'establishment of localization', 'myeloid leukocyte activation', 'lytic vacuole', 'localization', 'transport', 'vacuolar lumen', 'vesicle-mediated transport', 'lysosome', 'vacuolar part'}",0.0,6,"{'intrinsic component of membrane', 'integral component of membrane', 'plasma membrane', 'membrane part', 'defense response', 'regulation of immune response', 'immune response', 'immune system process', 'cellular defense response', 'innate immune response'}"
C0001925,Albuminuria,553,"{'regulation of anatomical structure size', 'cell surface receptor signaling pathway', 'positive regulation of secretion by cell', 'regulation of programmed cell death', 'regulation of blood vessel diameter', 'regulation of secretion', 'regulation of apoptotic process', 'regulation of protein phosphorylation', 'regulation of biological quality', 'regulation of tube diameter'}",0.04293381037567084,30,"{'extracellular region', 'regulation of signaling receptor activity', 'receptor ligand activity', 'angiotensin maturation', 'platelet alpha granule lumen', 'receptor regulator activity', 'acute-phase response', 'acute inflammatory response', 'extracellular space', 'inflammatory response'}"
C1865866,Congenital sensorineural hearing loss,15,"{'sensory perception', 'stereocilia ankle link complex', 'sensory perception of mechanical stimulus', 'system process', 'sensory perception of light stimulus', 'sensory perception of sound', 'multicellular organismal process', 'stereocilia ankle link', 'stereocilia coupling link', 'nervous system process'}",0.0,2,"{'inward rectifier potassium channel activity', 'tyrosine metabolic process', 'melanin biosynthetic process from tyrosine', 'phenol-containing compound biosynthetic process', 'melanin metabolic process', 'melanosome membrane', 'forebrain ventricular zone progenitor cell division', 'melanin biosynthetic process', 'pigment granule membrane', 'secondary metabolite biosynthetic process'}"
C0020541,"Hypertension, Portal",186,"{'interleukin-12 receptor binding', 'positive regulation of cell population proliferation', 'response to organic substance', 'positive regulation of BMP signaling pathway', 'mesenchyme morphogenesis', 'cytokine receptor binding', 'positive regulation of phosphate metabolic process', 'positive regulation of pathway-restricted SMAD protein phosphorylation', 'positive regulation of multicellular organismal process', 'positive regulation of phosphorus metabolic process'}",0.15526315789473685,253,"{'positive regulation of secretion by cell', 'regulation of multicellular organismal process', 'sperm ejaculation', 'inhibin binding', 'transforming growth factor beta receptor binding', 'inhibin-betaglycan-ActRII complex', 'positive regulation of amine transport', 'positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway', 'vasopressin receptor activity', 'regulation of systemic arterial blood pressure by vasopressin'}"
C4020958,Rough bone trabeculation,132,"{'box H/ACA telomerase RNP complex', 'telomere maintenance via telomerase', 'telomere maintenance via telomere lengthening', 'anatomical structure homeostasis', 'chromosome organization', 'telomere organization', 'telomere maintenance', 'RNA-dependent DNA biosynthetic process', 'telomerase RNA binding', 'telomerase holoenzyme complex'}",0.007246376811594203,7,"{'box H/ACA snoRNP assembly', 'ribonucleoprotein complex biogenesis', 'cellular component biogenesis', 'small nucleolar ribonucleoprotein complex assembly', 'rRNA pseudouridine synthesis', 'snoRNA guided rRNA pseudouridine synthesis', 'positive regulation of telomerase RNA localization to Cajal body', 'pseudouridine synthesis', 'ribosome biogenesis', 'snoRNA metabolic process'}"
C0751466,Phonophobia,1,"{'beta-catenin-TCF complex assembly', 'regulation of transcription from RNA polymerase II promoter in response to hypoxia', 'positive regulation of transcription of Notch receptor target', 'positive regulation of cellular response to transforming growth factor beta stimulus', 'protein destabilization', 'N-terminal protein amino acid acetylation', 'N-terminal peptidyl-lysine acetylation', 'positive regulation of transforming growth factor beta receptor signaling pathway', 'regulation of cellular response to heat', 'N-terminal protein amino acid modification'}",0.0,20,"{'structural molecule activity', 'extracellular matrix', 'microfibril', 'embryonic eye morphogenesis', 'eye morphogenesis', 'extracellular matrix component', 'extracellular matrix structural constituent', 'extracellular matrix organization', 'extracellular structure organization', 'collagen-containing extracellular matrix'}"
C0311375,Arsenic Poisoning,282,"{'positive regulation of biological process', 'response to stimulus', 'response to chemical', 'neutrophil migration', 'regulation of biological process', 'neutrophil chemotaxis', 'biological regulation', 'immune system process', 'inflammatory response', 'granulocyte chemotaxis'}",0.2296875,505,"{'chemokine activity', 'CCR chemokine receptor binding', 'neutrophil migration', 'cellular response to interleukin-1', 'response to interleukin-1', 'neutrophil chemotaxis', 'chemokine receptor binding', 'granulocyte migration', 'cell chemotaxis', 'granulocyte chemotaxis'}"
C1836735,hypopigmented skin patch,475,"{'nucleobase-containing compound metabolic process', 'heterocycle metabolic process', 'cellular response to DNA damage stimulus', 'DNA metabolic process', 'nucleic acid metabolic process', 'chromosome organization', 'DNA repair', 'interstrand cross-link repair', 'cellular response to stimulus', 'cellular response to stress'}",0.27485380116959063,397,"{'double-strand break repair via homologous recombination', 'cellular response to DNA damage stimulus', 'DNA metabolic process', 'chromosome organization', 'DNA repair', 'interstrand cross-link repair', 'double-strand break repair', 'DNA recombination', 'cellular response to stress', 'DNA replication'}"
