,disease_name,disease_num_significant,disease_top_10,lci_jaccard_sim,lci_num_significant,lci_sp_corr,lci_sp_pval,lci_top_10
C0013182,Drug Allergy,439,"{'response to stimulus', 'regulation of inflammatory response', 'defense response', 'immune system process', 'regulation of immune system process', 'regulation of acute inflammatory response', 'regulation of defense response', 'positive regulation of response to stimulus', 'regulation of response to stimulus', 'inflammatory response'}",0.2504118616144975,320,0.36360633290892563,0.0,"{'chemokine-mediated signaling pathway', 'granulocyte chemotaxis', 'chemokine receptor binding', 'chemokine activity', 'cell chemotaxis', 'lymphocyte chemotaxis', 'neutrophil chemotaxis', 'neutrophil migration', 'cytokine activity', 'granulocyte migration'}"
C0917798,Cerebral Ischemia,56,"{'energy derivation by oxidation of organic compounds', 'aerobic respiration', 'NADH dehydrogenase (ubiquinone) activity', 'respiratory electron transport chain', 'mitochondrial inner membrane', 'NADH dehydrogenase (quinone) activity', 'NADH dehydrogenase activity', 'respiratory chain complex', 'electron transport chain', 'cellular respiration'}",0.4146341463414634,60,0.3061427794693464,0.0,"{'mitochondrial respiratory chain complex I', 'mitochondrial respiratory chain complex I assembly', 'NADH dehydrogenase (ubiquinone) activity', 'NADH dehydrogenase (quinone) activity', 'NADH dehydrogenase activity', 'oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor', 'respiratory chain complex', 'mitochondrial electron transport, NADH to ubiquinone', 'NADH dehydrogenase complex', 'respiratory chain complex I'}"
C0020295,Hydronephrosis,616,"{'peroxisome organization', 'peroxisomal membrane', 'peroxisomal membrane transport', 'microbody', 'protein import into peroxisome matrix', 'microbody membrane', 'protein localization to peroxisome', 'protein targeting to peroxisome', 'establishment of protein localization to peroxisome', 'peroxisomal transport'}",0.028616852146263912,31,0.14015612031940167,8.977158770892108e-97,"{'peroxisome organization', 'microbody', 'fibroblast growth factor binding', 'peroxisome', 'microbody part', 'glycosaminoglycan binding', 'fibroblast growth factor-activated receptor activity', 'sulfur compound binding', 'heparin binding', 'peroxisomal part'}"
C3714796,Isolated somatotropin deficiency,202,"{'anatomical structure development', 'genetic imprinting', 'reproductive process', 'gland development', 'animal organ development', 'developmental process', 'double-stranded DNA binding', 'transcription regulatory region DNA binding', 'cellular developmental process', 'regulatory region nucleic acid binding'}",0.20081967213114754,384,0.2592817408521119,0.0,"{'positive regulation of multicellular organismal process', 'DNA-binding transcription factor binding', 'regulation of angiogenesis', 'hormone receptor binding', 'positive regulation of biological process', 'positive regulation of DNA binding', 'regulation of vasculature development', 'adult feeding behavior', 'regulation of signaling', 'feeding behavior'}"
C1866134,Wide anterior fontanel,357,"{'peroxisome organization', 'peroxisomal membrane', 'peroxisomal membrane transport', 'protein import into peroxisome matrix', 'microbody membrane', 'protein localization to peroxisome', 'protein targeting to peroxisome', 'establishment of protein localization to peroxisome', 'peroxisomal transport', 'peroxisomal part'}",0.07848101265822785,69,0.1806777413134153,1.4656492800406912e-160,"{'platelet-derived growth factor binding', 'basement membrane', 'extracellular matrix structural constituent conferring tensile strength', 'extracellular matrix structural constituent', 'microbody part', 'growth factor binding', 'collagen-containing extracellular matrix', 'peroxisome', 'extracellular matrix', 'peroxisomal part'}"
C2364082,Sense of smell impaired,85,"{'regulation of developmental growth', 'anatomical structure development', 'phosphatidylinositol-4,5-bisphosphate 3-kinase activity', 'animal organ development', '1-phosphatidylinositol-3-kinase activity', 'phosphatidylinositol-3-phosphate biosynthetic process', 'phosphatidylinositol kinase activity', 'developmental process', 'fibroblast growth factor receptor signaling pathway', 'phosphatidylinositol bisphosphate kinase activity'}",0.1657142857142857,323,0.4172336371809044,0.0,"{'lipid phosphorylation', 'fibroblast growth factor receptor binding', 'phosphatidylinositol 3-kinase activity', 'phosphatidylinositol-4,5-bisphosphate 3-kinase activity', 'phosphatidylinositol-3-phosphate biosynthetic process', '1-phosphatidylinositol-3-kinase activity', 'phosphatidylinositol kinase activity', 'fibroblast growth factor receptor signaling pathway', 'phosphatidylinositol bisphosphate kinase activity', 'phosphatidylinositol phosphorylation'}"
C1276035,Pena-Shokeir syndrome type I,51,"{'synapse', 'synaptic membrane', 'synaptic transmission, cholinergic', 'acetylcholine binding', 'acetylcholine-gated channel complex', 'neuromuscular synaptic transmission', 'synapse part', 'neuromuscular junction', 'acetylcholine receptor activity', 'acetylcholine-gated cation-selective channel activity'}",0.14285714285714285,29,0.2489811102921693,1.2053623576555442e-307,"{'synapse', 'acetylcholine catabolic process', 'acetylcholine binding', 'maltose metabolic process', 'ammonium ion binding', 'acetylcholinesterase activity', 'neuromuscular junction', 'glucosidase activity', 'acetylcholine catabolic process in synaptic cleft', 'neurotransmitter binding'}"
C0027022,Myeloproliferative disease,262,"{'phosphotransferase activity, alcohol group as acceptor', 'peptidyl-tyrosine phosphorylation', 'transmembrane receptor protein tyrosine kinase signaling pathway', 'protein kinase activity', 'protein tyrosine kinase activity', 'peptidyl-tyrosine modification', 'protein autophosphorylation', 'regulation of developmental process', 'platelet-derived growth factor receptor signaling pathway', 'positive regulation of cell population proliferation'}",0.29708222811671087,227,0.3545704337678227,0.0,"{'protein phosphorylation', 'phosphorylation', 'peptidyl-tyrosine phosphorylation', 'phosphotransferase activity, alcohol group as acceptor', 'kinase activity', 'regulation of protein kinase B signaling', 'cell surface receptor signaling pathway', 'positive regulation of protein kinase B signaling', 'protein tyrosine kinase activity', 'peptidyl-tyrosine modification'}"
C1833225,Dystrophic toenail changes,5,"{'connexin complex', 'negative regulation of epidermal cell differentiation', 'glandular epithelial cell differentiation', 'negative regulation of epidermis development', 'selective autophagy', 'aging', 'prostate gland epithelium morphogenesis', 'regulation of epidermis development', 'tissue development', 'epithelial cell differentiation involved in prostate gland development'}",0.0,4,0.10420379190492367,4.3151232257217446e-54,"{'cell junction organization', 'connexin complex', 'gap junction', 'gap junction assembly', 'tissue development', 'cell junction assembly', 'skin development', 'plasma membrane protein complex', 'gap junction channel activity', 'wide pore channel activity'}"
C0206620,"Lymphangioma, Cystic",105,"{'protein phosphorylation', 'MAPK cascade', 'phosphorylation', 'synaptic transmission, cholinergic', 'acetylcholine binding', 'signal transduction by protein phosphorylation', 'acetylcholine-gated channel complex', 'neuromuscular junction', 'acetylcholine-gated cation-selective channel activity', 'face development'}",0.10526315789473684,63,0.32250209318132983,0.0,"{'regulation of phosphate metabolic process', 'phosphatidylinositol 3-kinase complex, class I', 'regulation of intracellular signal transduction', 'small GTPase mediated signal transduction', 'regulation of phosphorus metabolic process', 'intracellular signal transduction', 'GTPase activity', 'positive regulation of intracellular signal transduction', 'Ras protein signal transduction', 'signal transduction'}"
