,lci,rw
C0013182,0.36360633290892563,0.33647926710274206
C0917798,0.3061427794693464,0.20663606142359922
C0020295,0.14015612031940167,0.36762262065381024
C3714796,0.2592817408521119,0.2694200874699444
C1866134,0.1806777413134153,0.3457744289835703
C2364082,0.4172336371809044,0.37631653984343194
C1276035,0.2489811102921693,0.09253792660465006
C0027022,0.3545704337678227,0.3259297265154623
C1833225,0.10420379190492367,0.057845396295109826
C0206620,0.32250209318132983,0.3091894403882996
C0006413,0.18540495185692138,0.2666261190531488
C0019158,0.2285060156101995,0.2906629292080873
C0003126,0.4048158453726664,0.39993068865090503
C0241074,0.3678966896098149,0.3482630099170631
C0020459,0.2814899870250428,0.2926546573001735
C0020541,0.37359924042285453,0.38190476016484576
C0014474,0.27826295390218614,0.07918906306098816
C4020838,0.2949825518042516,0.07962534965060951
C0221170,0.27655009296542443,-0.00119903285639084
C3275417,0.34888649858049336,0.39488045990563997
C0349204,0.3629079179155551,0.3309635792106807
C0007787,0.09018549377001489,0.29194442813415944
C0018916,0.14519104993530874,0.2451746948817152
C1837485,0.15264705639472503,-0.00024530426522094694
C0007222,0.27455165474605464,0.39874882962722263
C2673410,0.41698444839511944,0.3514744975709536
C0234182,0.2594300082506534,0.22147839296420685
C0023493,0.3887464610019395,0.42996312778860774
C0023434,0.39515101068274283,0.3605554632849463
C0239946,0.36772041030726016,0.17578691231533047
C0013336,0.22769362549310304,0.20388145451246845
C0014591,0.3924622044543078,0.3335051341182304
C0870082,0.3369055150458611,0.2937241452221626
C0338715,0.10367418723475574,0.20151718513630254
C0431904,0.17527534553290142,0.2643060299710838
C1328931,0.1646747632113279,0.21390858116177427
C4020958,0.13873262733282837,0.13453970712090102
C0042510,0.45036325197838734,0.18724790822341608
C0037293,0.23948203407276278,0.3065262294897737
C0271578,0.42090287759369904,0.316133937339156
C1398312,0.3226445672143561,0.185392671556738
C1857202,0.5159726337176166,0.2748481276356803
C0024301,0.10793058781606582,0.16472512445883075
C4023397,0.3110852103876455,0.2953455065589703
C0152031,0.3198700994526687,0.23559752486608906
C1859117,0.3315462599168986,0.22385884959183944
C1865060,0.12290330902175825,0.30851934147437615
C0427063,0.05593337939234065,0.04548106905706886
C0006157,0.22663019888462008,
C0271388,0.22548601864653947,0.038333209565794626
C0009676,0.2729597753431272,0.24815658940281646
C0013604,0.388154596608844,0.32870387883565666
C1849295,,0.013394671190104662
C3161330,0.09527735811081661,0.09332440469392346
C0234632,0.19859108594658592,0.11870776217047012
C1846149,0.29259707485725134,0.14239137004026065
