,num_nodes,num_proteins,density,conductance,cut_ratio
C0000731,42,43,0.027874564459930314,0.9857355126300149,0.0036707501964299547
C0000737,99,106,0.025767882910740055,0.9628142198423323,0.003047061160585254
C0000768,11,11,0.09090909090909091,0.984984984984985,0.002767862416985224
C0000786,111,114,0.01506961506961507,0.9550451991204495,0.0016420878586317362
C0000889,20,20,0.14210526315789473,0.9797752808988764,0.0060732692575567624
C0001126,10,10,0.1111111111111111,0.9766899766899767,0.0019445862533067249
C0001418,112,114,0.04520592020592021,0.9577380057151451,0.005302601338973454
C0001430,32,32,0.05241935483870968,0.9854096520763187,0.005098722415795586
C0001624,11,11,0.34545454545454546,0.9862617498192335,0.011510257124292211
C0001627,11,11,0.07272727272727272,0.9726027397260274,0.001198281900036286
C0001768,16,16,0.20833333333333334,0.9582637729549248,0.0033308574346594864
C0001807,75,75,0.024504504504504504,0.9758479843722252,0.0034106073301678926
C0001925,21,25,0.09047619047619047,0.9666666666666667,0.0024366730347413854
C0001956,12,13,0.09090909090909091,0.990228013029316,0.004703334106908022
C0001969,34,34,0.07130124777183601,0.9760191846522782,0.004449412529961109
C0001973,275,292,0.01048440610484406,0.9406817840516594,0.0021406053771432965
C0002170,89,91,0.020429009193054137,0.9742018703643985,0.0031622713084329328
C0002171,10,11,0.17777777777777778,0.939622641509434,0.001155613310437648
C0002395,81,87,0.04537037037037037,0.9652112176073837,0.004689127570483503
C0002418,19,19,0.05263157894736842,0.9776674937965261,0.0019256051727424234
C0002452,12,14,0.030303030303030304,0.972027972027972,0.0005376344086021505
C0002514,13,13,0.0641025641025641,0.9682539682539683,0.0010890056842526208
C0002622,17,17,0.09558823529411764,0.9898595943837754,0.006931017532361134
C0002736,49,51,0.05952380952380952,0.9773169151004537,0.0057235466252709005
C0002871,150,153,0.014854586129753915,0.9548913043478261,0.0021886921723423803
C0002874,12,12,0.12121212121212122,0.9653679653679653,0.0017250715556586989
C0002878,56,56,0.03831168831168831,0.9571220930232558,0.0021876058920847537
C0002880,15,15,0.14285714285714285,0.9669239250275634,0.002714077925293226
C0002888,16,16,0.058333333333333334,0.9629629629629629,0.001056125528062764
C0002896,12,12,0.06060606060606061,0.9852125693160814,0.0020615765452154404
C0002962,14,14,0.12087912087912088,0.966412213740458,0.0020987924483259397
C0002994,9,10,0.1388888888888889,0.9706744868035191,0.0017067838211331807
C0003028,13,14,0.1282051282051282,0.9923342276734382,0.009244051529606672
C0003119,13,13,0.10256410256410256,0.9786381842456608,0.002617184152646462
C0003123,42,49,0.036004645760743324,0.966304347826087,0.0019676194902781005
C0003126,21,22,0.04285714285714286,0.9497206703910615,0.0007517865987405364
C0003466,46,46,0.024154589371980676,0.9799357945425361,0.002467898122901731
C0003467,112,120,0.024774774774774775,0.9666377816291161,0.0037154847949905073
C0003469,36,37,0.04285714285714286,0.9838613269575612,0.004249079710257165
C0003486,10,10,0.26666666666666666,0.9819819819819819,0.006070450642780898
C0003492,28,30,0.06613756613756613,0.9758337361043983,0.0033493029335846
C0003504,29,30,0.11822660098522167,0.9676113360323887,0.0045938569176949984
C0003507,20,20,0.08421052631578947,0.9839438033115906,0.0045526303570599435
C0003578,44,45,0.0306553911205074,0.9775802087359876,0.0026717460478442212
C0003635,27,27,0.06552706552706553,0.9802235597592434,0.00392217577540383
C0003706,49,49,0.041666666666666664,0.9738247863247863,0.0034595575258185847
C0003803,11,11,0.09090909090909091,0.9816849816849816,0.002261546121195244
C0003811,97,100,0.035867697594501716,0.9561737304815641,0.003500638925452292
C0003850,10,11,0.2222222222222222,0.9602385685884692,0.0022416113612103773
C0003862,91,91,0.02148962148962149,0.9620034542314335,0.0022811438072781595
C0003864,53,53,0.036284470246734396,0.9637681159420289,0.0023339229559748427
C0003872,14,14,0.10989010989010989,0.9719101123595506,0.002294414493272591
C0003873,170,173,0.011903933170901496,0.9561482241312989,0.002050998545020477
C0003886,54,54,0.025157232704402517,0.9683516483516483,0.0018972374225129656
C0003949,12,12,0.18181818181818182,0.9834710743801653,0.005523323276862381
C0003962,21,21,0.06666666666666667,0.9711934156378601,0.002087313380032548
C0004096,98,99,0.016831474857984433,0.9690821256038648,0.0023847089513842723
C0004106,20,22,0.04736842105263158,0.9763469119579501,0.0017249384779681478
C0004114,29,29,0.11822660098522167,0.9741657696447793,0.005798382859852126
C0004134,15,15,0.05714285714285714,0.9603960396039604,0.0009005663355305914
C0004153,58,59,0.0411373260738052,0.971002132196162,0.003652134582041506
C0004158,16,16,0.05,0.9877425944841676,0.002805696114386519
C0004238,38,38,0.034139402560455195,0.9742489270386266,0.002220803647205285
C0004245,11,11,0.10909090909090909,0.9807383627608347,0.0025779938060639814
C0004352,267,286,0.008757849680380727,0.9561601353256273,0.0023865189649621863
C0004364,64,64,0.032242063492063495,0.9665637860082305,0.002731994137626204
C0004509,31,32,0.047311827956989246,0.9783357951747907,0.002977644438983015
C0004763,14,15,0.10989010989010989,0.9791883454734651,0.0031200058355050696
C0004782,14,14,0.04395604395604396,0.9771428571428571,0.0011339447351144886
C0004936,12,12,0.10606060606060606,0.9718875502008032,0.0018720507464995745
C0004943,22,23,0.09090909090909091,0.9668508287292817,0.002585642822466598
C0005138,9,11,0.1388888888888889,0.9754901960784313,0.002052265742631438
C0005283,10,10,0.15555555555555556,0.9700854700854701,0.002107021859191535
C0005586,486,516,0.010597768444274744,0.9144491249700332,0.002607390689483508
C0005587,12,12,0.07575757575757576,0.9742268041237113,0.001462056161522395
C0005612,13,14,0.0641025641025641,0.973404255319149,0.0013068068211031449
C0005695,109,114,0.0326197757390418,0.9655419956927495,0.004602554845686089
C0005741,17,17,0.08823529411764706,0.9819819819819819,0.0035720137637227593
C0005744,56,56,0.01883116883116883,0.9847568988173456,0.0031119815025214773
C0005745,229,238,0.01827166168696851,0.9345993007472407,0.0027912955313064074
C0005747,11,11,0.14545454545454545,0.9607843137254902,0.001653966566247268
C0005779,42,43,0.04994192799070848,0.9663536776212832,0.002733419651848655
C0005910,14,14,0.04395604395604396,0.9619047619047619,0.0006697568318512477
C0005937,12,12,0.18181818181818182,0.9777365491651205,0.00407673860911271
C0005941,25,26,0.02,0.9875904860392968,0.0017741036596693293
C0005944,10,11,0.13333333333333333,0.9892086330935251,0.005105119042094027
C0006111,23,23,0.06324110671936758,0.9890335846470185,0.00582698341550874
C0006118,23,23,0.11462450592885376,0.9764514819326026,0.004855819512923951
C0006142,14,15,0.26373626373626374,0.9711538461538461,0.0053580546548099815
C0006157,10,10,0.044444444444444446,0.9899749373433584,0.0018332018378428552
C0006267,40,40,0.04358974358974359,0.9754954954954955,0.00314518752614212
C0006386,25,26,0.056666666666666664,0.9800703399765534,0.0031060746795467213
C0006413,15,15,0.12380952380952381,0.9859838274932614,0.005660260576238666
C0006625,50,57,0.035918367346938776,0.9742690058479532,0.003098526061282373
C0006663,44,45,0.04756871035940803,0.9614230604372053,0.0023696031574988487
C0006845,11,11,0.2545454545454545,0.9457364341085271,0.002059019602879252
C0007095,2,24,1.0,0.9888268156424581,0.004105775922059847
C0007102,16,16,0.25833333333333336,0.9747659747659748,0.006948957801401977
C0007114,16,16,0.13333333333333333,0.9866108786610879,0.0068416043823406525
C0007117,46,52,0.05990338164251208,0.9722284434490481,0.004387037572283543
C0007120,13,14,0.1794871794871795,0.9872958257713249,0.007769430717815419
C0007131,104,111,0.033607169529499624,0.9638081833718709,0.004296960439457992
C0007134,136,141,0.028649237472766886,0.9602027691609291,0.004356294125885264
C0007137,114,120,0.06598354292811676,0.9498347497639282,0.0065837540734268165
C0007138,32,33,0.11290322580645161,0.9745858860903108,0.00623548199767712
C0007193,82,83,0.03944595001505571,0.9620619750941211,0.0037729634572247935
C0007194,89,95,0.045454545454545456,0.9579693034238489,0.0042467178743172485
C0007222,59,59,0.03272939801285798,0.9713993871297242,0.0029990964867051095
C0007273,11,11,0.18181818181818182,0.9857651245551602,0.005843733913909352
C0007370,15,15,0.047619047619047616,0.9839743589743589,0.0019001640206727942
C0007384,10,11,0.08888888888888889,0.9578947368421052,0.0008446651506010118
C0007570,20,30,0.04736842105263158,0.9810126582278481,0.0021590750800947207
C0007621,90,115,0.0651685393258427,0.958541815582559,0.006246797409978106
C0007758,245,258,0.019003011040481767,0.9158331481069867,0.002367354599497457
C0007785,10,10,0.26666666666666666,0.9429928741092637,0.0018424838724648443
C0007786,85,92,0.05714285714285714,0.9611206403659234,0.005526211975103007
C0007787,10,10,0.2,0.9798657718120806,0.004065531164431244
C0007789,15,15,0.02857142857142857,0.9795918367346939,0.0008912821465045028
C0007873,25,26,0.1,0.9835164835164835,0.006650566598550994
C0008031,36,38,0.07777777777777778,0.9733405875952121,0.004618228190552897
C0008073,21,22,0.0380952380952381,0.9866220735785953,0.0026091417250406848
C0008297,28,28,0.037037037037037035,0.9862136878385032,0.003322760661698838
C0008311,10,10,0.08888888888888889,0.973421926910299,0.001359818072121409
C0008312,13,15,0.15384615384615385,0.974304068522484,0.0032491645005569996
C0008325,12,12,0.13636363636363635,0.9770700636942675,0.00296665893091978
C0008350,19,20,0.05847953216374269,0.9765807962529274,0.0020380135965319558
C0008370,69,84,0.01875532821824382,0.9783571077225774,0.0026829939460649424
C0008372,12,13,0.06060606060606061,0.9765395894428153,0.0012880018565792528
C0008519,14,14,0.10989010989010989,0.9876314162028448,0.005295057725081398
C0008625,15,15,0.10476190476190476,0.9762931034482759,0.0028038250858787484
C0008677,12,12,0.06060606060606061,0.9778393351800554,0.0013653593254428715
C0008924,78,79,0.025308025308025308,0.9707636083862281,0.003012483272271903
C0009024,18,25,0.058823529411764705,0.9831932773109243,0.0027160035284832166
C0009081,110,110,0.011009174311926606,0.9767523775977457,0.002350826773822997
C0009171,16,16,0.041666666666666664,0.9628252788104089,0.0007514739334292744
C0009241,30,30,0.05057471264367816,0.9875424688561721,0.005400969325343367
C0009319,31,31,0.06881720430107527,0.9694218824653608,0.003040584079867407
C0009324,56,60,0.033766233766233764,0.9706214689265537,0.0028536878683383497
C0009363,38,40,0.034139402560455195,0.9853076216712581,0.003936545672000998
C0009375,139,142,0.031383588781149,0.9593792172739541,0.004775785310681327
C0009398,31,33,0.021505376344086023,0.9777530589543938,0.0013172367699376298
C0009404,214,233,0.014523276732043351,0.9491121531247598,0.0027032873392795293
C0009421,56,56,0.06363636363636363,0.9554848966613673,0.003494023533789126
C0009447,11,11,0.21818181818181817,0.9765853658536585,0.004223521767381416
C0009676,22,22,0.05627705627705628,0.9797979797979798,0.0026616290605145955
C0009763,37,37,0.057057057057057055,0.962,0.0024163568773234202
C0009952,13,14,0.11538461538461539,0.9928909952606635,0.008976263246593733
C0010036,12,13,0.030303030303030304,0.9861111111111112,0.0010984760578633867
C0010068,16,22,0.075,0.9671532846715328,0.001537765191959519
C0010200,23,25,0.09486166007905138,0.9747501315097317,0.0037413029344898464
C0010308,14,14,0.12087912087912088,0.9633943427620633,0.0019197485427815465
C0010346,40,44,0.03717948717948718,0.977029702970297,0.002866338244179021
C0010417,257,262,0.014773832684824902,0.9439801740533686,0.0029920900239308744
C0010520,17,17,0.09558823529411764,0.9735503560528993,0.002613468785843028
C0010606,99,100,0.02844774273345702,0.96602658788774,0.003694320406036316
C0010964,30,31,0.04597701149425287,0.9782135076252724,0.002781003700778867
C0011071,17,17,0.11029411764705882,0.9760765550239234,0.003342618384401114
C0011168,130,132,0.020632081097197375,0.9697552447552448,0.003982753607059389
C0011175,39,40,0.029689608636977057,0.9487179487179487,0.0009699690896828177
C0011206,10,10,0.13333333333333333,0.9506172839506173,0.0010720749988397456
C0011253,11,12,0.3090909090909091,0.9650924024640657,0.00396614431702151
C0011570,246,260,0.016923842707814832,0.9397448015122873,0.0030344266654153567
C0011581,389,414,0.013608777462698434,0.923609044927105,0.003015902162064483
C0011606,24,25,0.043478260869565216,0.9771646051379639,0.001987259864703788
C0011609,18,18,0.058823529411764705,0.9777777777777777,0.002042806072705325
C0011615,33,37,0.056818181818181816,0.9382080329557158,0.0012825711115991732
C0011616,70,71,0.02525879917184265,0.9723167687769457,0.0028488986696274823
C0011848,10,10,0.08888888888888889,0.9642857142857143,0.001002459739174827
C0011849,80,91,0.02879746835443038,0.9692151556156969,0.0033349629836569353
C0011853,107,107,0.038617527772879565,0.9466374269005848,0.00338539964708189
C0011854,46,48,0.035748792270531404,0.963110667996012,0.0019524894240156199
C0011860,143,157,0.023441347385009356,0.9496615905245347,0.002932530251106883
C0011875,16,16,0.09166666666666666,0.983751846381093,0.003864723086207697
C0011881,34,35,0.0766488413547237,0.9728020240354206,0.004203437635798639
C0011882,14,14,0.15384615384615385,0.9715157680569685,0.003166424625831394
C0011884,11,11,0.18181818181818182,0.980411361410382,0.004223521767381416
C0011991,114,118,0.016301816488122962,0.9613544350386456,0.0021370405914988002
C0012819,15,15,0.13333333333333333,0.9835584263065179,0.0051836722062327855
C0012833,28,28,0.06878306878306878,0.9758476544356711,0.003485332076999131
C0013080,14,15,0.10989010989010989,0.971830985915493,0.0022877832375116877
C0013132,27,27,0.045584045584045586,0.979708306911858,0.002657790163596016
C0013182,35,35,0.03361344537815126,0.9767711962833914,0.0022329310871267937
C0013274,76,77,0.023859649122807018,0.9779935275080907,0.003702170094012089
C0013336,37,37,0.03003003003003003,0.9794976934905176,0.0024000301416658293
C0013362,186,192,0.015402499273467015,0.9606883251743065,0.0032583598615951773
C0013384,16,16,0.06666666666666667,0.9614457831325302,0.0011576760596072606
C0013386,15,15,0.06666666666666667,0.9654320987654321,0.0012100393030668771
C0013404,68,70,0.03424056189640035,0.9744388005898739,0.004069797680345348
C0013421,115,117,0.030816170861937452,0.9456477868962734,0.0028505614742297724
C0013575,13,13,0.08974358974358974,0.9840909090909091,0.0030920620411894082
C0013581,17,17,0.08088235294117647,0.9693593314763231,0.0019007045715222022
C0013592,20,21,0.08947368421052632,0.9643231899265478,0.0021335376329108045
C0013595,44,44,0.042283298097251586,0.9721932568647897,0.0029548729520839406
C0013604,69,69,0.02216538789428815,0.9685705651254155,0.00216163790777731
C0013990,9,10,0.16666666666666666,0.9922128487994809,0.007884206835385599
C0014038,11,11,0.2,0.9579349904397706,0.0021138705349231664
C0014065,20,21,0.03684210526315789,0.9887369267900241,0.0028532293262757114
C0014067,10,10,0.044444444444444446,0.989100817438692,0.0016846892838910288
C0014130,11,11,0.03636363636363636,0.9927140255009107,0.0022995198433794924
C0014170,52,53,0.05580693815987934,0.971150097465887,0.004455135657181693
C0014175,149,156,0.021948122619263558,0.9548507462686567,0.0032089866674692266
C0014306,63,63,0.03277009728622632,0.9776106349483995,0.004127397679086523
C0014457,28,28,0.09259259259259259,0.9696048632218845,0.0037043058200566677
C0014474,14,15,0.15384615384615385,0.9807427785419532,0.004728085357524154
C0014544,553,564,0.009447807741698771,0.9155267859758062,0.0026910399913492753
C0014549,10,10,0.15555555555555556,0.9333333333333333,0.0009096393929549357
C0014553,21,23,0.03333333333333333,0.9744525547445255,0.0011807471874336658
C0014556,23,23,0.05138339920948617,0.9516728624535316,0.0010337545075330822
C0014591,43,43,0.07087486157253599,0.941712204007286,0.002235429174296456
C0014850,25,25,0.15,0.9399599733155437,0.002617499535574958
C0014859,65,70,0.05961538461538462,0.9705358203635499,0.0058476141390714255
C0014866,16,16,0.15,0.9492957746478873,0.001955573093171162
C0014877,19,19,0.023391812865497075,0.9886845827439887,0.0017081193093235456
C0015230,42,42,0.06620209059233449,0.9641396665618119,0.0033918749930834523
C0015300,93,97,0.021505376344086023,0.9682210708117444,0.0028084033680801862
C0015310,24,25,0.03985507246376811,0.9768421052631578,0.0017956934317868698
C0015393,33,36,0.045454545454545456,0.9765051395007343,0.002808704025949891
C0015397,21,22,0.047619047619047616,0.9858457183297947,0.0030801139177810796
C0015644,22,22,0.12554112554112554,0.9813204508856683,0.006431390759229162
C0015672,182,192,0.027624309392265192,0.9467867376176832,0.004161943319838057
C0015695,59,75,0.031560490940970194,0.9727822580645161,0.003043247223628213
C0015923,15,15,0.047619047619047616,0.9854651162790697,0.0020982267198960173
C0015967,124,127,0.022554419092578024,0.9508501214459208,0.0025040523883128668
C0016059,41,43,0.06585365853658537,0.963302752293578,0.00321371730170174
C0016202,72,72,0.03482003129890454,0.9754007739082365,0.004562614744136736
C0016506,30,30,0.029885057471264367,0.9812814974802015,0.002110527864232514
C0016522,10,10,0.044444444444444446,0.9895833333333334,0.0017635865781779367
C0016663,20,20,0.04736842105263158,0.9745762711864406,0.001601894414263825
C0016689,33,33,0.07954545454545454,0.9683138438325161,0.0036140066338914137
C0016978,10,11,0.5111111111111111,0.9829440118650352,0.012303336891446606
C0017168,78,80,0.024642024642024644,0.9701311806256306,0.002869230649853584
C0017178,12,12,0.06060606060606061,0.9835728952772074,0.0018527113792836697
C0017181,51,52,0.05725490196078432,0.9527355131110392,0.0026832457152860213
C0017563,19,20,0.11695906432748537,0.9543899657924744,0.0020453445806921425
C0017565,18,18,0.1503267973856209,0.9304084720121029,0.0015862698670628473
C0017574,11,11,0.09090909090909091,0.9851411589895989,0.0027973975342396396
C0017601,117,120,0.018125552608311227,0.9637221648724377,0.0026051632861334353
C0017636,77,77,0.04750512645249488,0.9673171878673877,0.004974727321096036
C0017638,73,78,0.04147640791476408,0.9754393871113114,0.005520514788960501
C0017639,55,56,0.05117845117845118,0.9676733304976606,0.003847422227107838
C0017658,32,34,0.07459677419354839,0.9622448979591837,0.0027380952380952383
C0017661,34,37,0.0285204991087344,0.9736408566721582,0.0016152351383335473
C0017668,37,37,0.06306306306306306,0.973659454374412,0.0038995780166783886
C0017979,27,29,0.045584045584045586,0.9689621726479146,0.001718532280538783
C0018021,17,18,0.10294117647058823,0.974910394265233,0.002971216341689879
C0018051,20,20,0.07368421052631578,0.9793510324483776,0.003083066350930956
C0018099,14,14,0.054945054945054944,0.974025974025974,0.0012433604551693954
C0018213,11,14,0.09090909090909091,0.9516908212560387,0.0008312025855885505
