Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
C0013182,Drug Allergy,0.08333333333333333,0.05,0.46195753182789706,0.006652984072831447,9481.0,3624.6857142857143
C0917798,Cerebral Ischemia,0.15,0.0,0.5008630565360084,0.005247625743264122,10157.28,3806.48
C0020295,Hydronephrosis,0.05714285714285714,0.02857142857142857,0.4811575342162181,0.005183417500701218,10341.753623188406,5024.420289855072
C3714796,Isolated somatotropin deficiency,0.0,0.0,0.28172689830298525,0.00013044246790154136,15005.103448275862,4849.6551724137935
C1866134,Wide anterior fontanel,0.1,0.025,0.44600543857202624,0.005316765383673152,11611.636363636364,4205.363636363636
C2364082,Sense of smell impaired,0.1,0.05,0.5492524492733435,0.007787710336151771,8927.35,6775.8
C1276035,Pena-Shokeir syndrome type I,0.15,0.0,0.5942678115572059,0.0034988981997230934,8841.75,3012.5833333333335
C0027022,Myeloproliferative disease,0.0,0.0,0.45392043080636924,0.00028580162353122516,11183.25,4566.625
C1833225,Dystrophic toenail changes,0.2,0.1,0.46693817878028404,0.027912232519984682,11583.272727272728,5443.272727272727
C0206620,"Lymphangioma, Cystic",0.05,0.0,0.536428151312531,0.0018027771595892316,9401.47619047619,3764.8571428571427
C0006413,Burkitt Lymphoma,0.05,0.0,0.510375081236654,0.0020866678459789843,10921.133333333333,6286.8
C0019158,Hepatitis,0.03333333333333333,0.0,0.4543433170807213,0.000818888126921294,11615.454545454546,3210.7727272727275
C0003126,Anosmia,0.15,0.05,0.5496018294947994,0.009865853905711649,9319.047619047618,6401.0
C0241074,Skin hyperelastic,0.19166666666666665,0.125,0.5345902051877662,0.0651782676619264,9399.34375,3770.15625
C0020459,Hyperinsulinism,0.03611111111111111,0.0,0.5274420347778399,0.001614237214384646,9456.567901234568,4843.950617283951
C0020541,"Hypertension, Portal",0.05,0.0,0.3663702499806516,0.001032709161229682,13198.545454545454,3923.1363636363635
C0014474,Ependymoma,0.1,0.0,0.5317922294944993,0.0026213095302583984,10701.142857142857,5528.714285714285
C4020838,Relative short stature,0.3,0.25,0.6722150018566653,0.05603799896718466,6850.846153846154,2328.5384615384614
C0221170,Muscular stiffness,0.0,0.0,0.42224878161986545,0.00021339853178975032,11973.666666666666,4025.0833333333335
C3275417,Ragged-red fibers,0.18333333333333332,0.08333333333333333,0.6338092805844477,0.012560918955305126,8063.666666666667,3935.4285714285716
C0349204,Nonorganic psychosis,0.0,0.0,0.43027816573556804,0.00040183589531943384,10600.727272727272,6257.558441558442
C0007787,Transient Ischemic Attack,0.0,0.0,0.4206293219473708,0.00013688251937767545,12484.7,5307.0
C0018916,Hemangioma,0.13333333333333333,0.08333333333333333,0.3759423520487933,0.006867878724502982,13387.625,4930.458333333333
C1837485,Flat acetabular roof,0.0,0.0,0.4669007693418311,0.0008832736970949637,11488.222222222223,4292.555555555556
C0007222,Cardiovascular Diseases,0.0,0.0,0.4400712469376996,0.0006417997784987884,11222.35593220339,2481.64406779661
C2673410,Small midface,0.01,0.01,0.4190992995258133,0.0013552524202221517,12474.201923076924,4794.615384615385
C0234182,Gowers sign,0.05,0.0,0.4788913141070295,0.0008792203356283043,10691.75,3784.7083333333335
C0023493,Adult T-Cell Lymphoma/Leukemia,0.03333333333333333,0.0,0.4852600730899068,0.001389142281722068,10989.612903225807,3683.2258064516127
C0023434,Chronic Lymphocytic Leukemia,0.0,0.0,0.29852366016109044,0.0002607983194185128,15229.972972972973,6926.783783783784
C0239946,"Fibrosis, Liver",0.03333333333333333,0.03333333333333333,0.4355220673635308,0.01136471508295377,12088.8125,5650.84375
C0013336,Dwarfism,0.03333333333333333,0.0,0.3712263785625774,0.0007875924820003524,12536.783783783783,4490.621621621622
C0014591,Epistaxis,0.195,0.16999999999999998,0.6262904387840476,0.020834156673991126,7464.162790697675,3359.3720930232557
C0870082,Hyperkeratosis,0.025,0.0,0.5057772044810116,0.001052794580894927,9636.431818181818,4010.6363636363635
C0338715,Drug-induced depressive state,0.0,0.0,0.5003992015968064,0.0002202663024595167,8223.785714285714,4239.642857142857
C0431904,Ulnar polydactyly of fingers,0.095,0.06999999999999999,0.5196783190777241,0.027333515326508982,10566.133333333333,6184.644444444444
C1328931,Multiple lentigines,0.5,0.5,0.6799925743723023,0.08770494844048184,6896.2,3591.4
C4020958,Rough bone trabeculation,0.2,0.2,0.506657848324515,0.05363202789516227,9006.636363636364,8140.0
C0042510,Ventricular Fibrillation,0.3,0.2,0.6444431549138852,0.08670402420247988,7491.9375,4679.75
C0037293,Skin tag,0.3,0.1,0.4901703253353135,0.039384111504233696,10986.3,4974.9
C0271578,Female hypogonadism syndrome,0.1,0.1,0.5553902223872974,0.00843004774194514,8652.555555555555,4022.0
C1398312,Narrow palate,0.15,0.1,0.5061707758740772,0.019323411617499734,10048.55,3837.25
C1857202,Frequent vomiting,0.3,0.2,0.7291780758342229,0.10836059089556183,4949.2,4321.6
C0024301,"Lymphoma, Follicular",0.0,0.0,0.5057430707089465,0.0007329750300981289,11651.222222222223,3045.3333333333335
C4023397,Abnormal hair quantity,0.1,0.1,0.4149145814957523,0.008459509223893508,12416.5,3830.5625
C0152031,Joint swelling,0.13333333333333333,0.1,0.58280618642887,0.02973726120436266,8632.26923076923,3603.653846153846
C1859117,Recurrent pulmonary infections,0.1,0.06666666666666667,0.4734098228663446,0.009059673368683737,11440.310344827587,3601.0344827586205
C1865060,Molar tooth sign on MRI,0.2,0.1,0.565634718032026,0.03460250686716703,9254.25,10016.083333333334
C0427063,Shoulder girdle weakness,0.0,0.0,0.25044321715319995,6.697691772941421e-05,15691.8,6029.9
C0006157,Breech Presentation,0.1,0.0,0.5705295400751844,0.0028666390397358533,9254.8,4604.4
C0271388,Pendular Nystagmus,0.15,0.15,0.5561432417378389,0.009832136778925317,8727.23076923077,4933.0
C0009676,Confusion,0.03333333333333333,0.03333333333333333,0.44096741738255557,0.002432563621130563,11022.318181818182,4113.045454545455
C0013604,Edema,0.0,0.0,0.39735068077864055,0.00039368683356462203,11625.652173913044,3663.1304347826085
C1849295,Hypoplastic labia minora,0.1,0.1,0.36042604538914935,0.005623424071590941,13781.9,7761.2
C3161330,Profound intellectual disabilities,0.0,0.0,0.2889641209080492,0.0001324844413391365,15142.870967741936,6227.741935483871
C0234632,Reduced visual acuity,0.06999999999999999,0.016666666666666666,0.5115228548392098,0.0030900505821190296,9075.728813559323,4261.762711864407
C1846149,Progressive mental retardation,0.025,0.0,0.4197160138159628,0.000607824627480222,12197.361111111111,4634.972222222223
C0019294,"Hernia, Inguinal",0.06666666666666667,0.03333333333333333,0.398890713224753,0.004889303238490166,12860.522727272728,4609.556818181818
C0026106,Mild Mental Retardation,0.02857142857142857,0.014285714285714285,0.40618573378718575,0.008012332224631604,11492.376811594202,4979.144927536232
C0024232,Lymphatic Metastasis,0.0,0.0,0.3799076266072506,0.00011597703135039895,13300.714285714286,4771.714285714285
C0263401,Cutis marmorata,0.0,0.0,0.3927815974480473,0.0003460844249049336,12672.41935483871,5048.4838709677415
C0311375,Arsenic Poisoning,0.03333333333333333,0.016666666666666666,0.4172520196616582,0.017282854712148098,11484.833333333334,5197.1
C4021753,Abnormality of the immune system,0.0,0.0,0.504998142817346,0.0005163965125784705,11135.894736842105,3272.0
C0019196,Hepatitis C,0.0,0.0,0.40208894253086996,0.00034721908372307883,12058.133333333333,3124.733333333333
C0752347,Lewy Body Disease,0.08333333333333333,0.05,0.3747937561911837,0.004928084190151963,12561.52380952381,3360.6666666666665
C0007138,"Carcinoma, Transitional Cell",0.03333333333333333,0.03333333333333333,0.4062210607820364,0.0021416754765856694,12740.0,4361.71875
C4049796,Abnormality of cardiovascular system morphology,0.05,0.05,0.4635322343471867,0.004690139681509126,11850.40909090909,4851.045454545455
C0240063,Coloboma of iris,0.025,0.0,0.37362447139736976,0.0011655983123972547,13563.368421052632,7072.921052631579
C1865992,Short hallux,0.5,0.45,0.8093600575646442,0.058318882519302284,4939.5625,3038.125
C2937358,Cerebral Hemorrhage,0.125,0.1,0.5342903285774039,0.014566228562363915,10023.175,2839.375
C0220981,Metabolic acidosis,0.045,0.0,0.5248010597750301,0.0015936286074096696,10303.906976744185,4085.3023255813955
C1839758,Narrow forehead,0.0,0.0,0.30672342765103994,0.0002517722307704777,14805.029411764706,6420.5
C0014850,Esophageal Atresia,0.2333333333333333,0.16666666666666666,0.6030241810638429,0.03086020939606756,8011.8,3942.96
C1857486,"Low-set, posteriorly rotated ears",0.045454545454545456,0.045454545454545456,0.45942895170759196,0.009308567327237118,11006.39090909091,5333.972727272727
C1846460,Malformed pinnae,0.21666666666666665,0.16666666666666666,0.5310315985130111,0.037199342449628976,9854.648648648648,5409.27027027027
C3665596,Warts,0.2,0.2,0.46812085209077836,0.033426584457952144,10983.1,4314.3
C0240310,Hypoplasia of the maxilla,0.0,0.0,0.3780108656155557,0.0003026249239121829,11545.661538461538,4479.492307692308
C0155552,"Hearing Loss, Mixed Conductive-Sensorineural",0.1,0.1,0.6516198653980042,0.03394816707336578,8381.5,2196.9166666666665
C0007194,Hypertrophic Cardiomyopathy,0.02222222222222222,0.01111111111111111,0.45706768989503754,0.0016168956074688104,11687.561797752809,4634.696629213483
C0020615,Hypoglycemia,0.04,0.0,0.5589972091481947,0.002199731479084919,8542.295918367347,4186.469387755102
C0003850,Arteriosclerosis,0.1,0.0,0.5995962314939435,0.0022294179396567296,8626.1,3050.7
C1854912,Short tubular bones,0.05,0.0,0.5350368409646761,0.0012214205740636447,8879.173913043478,3645.8695652173915
C1298695,Hypoplasia of optic disc,0.25,0.2,0.5946530517521467,0.030873718553964667,8267.166666666666,4111.5
C0231807,Dyspnea on exertion,0.03333333333333333,0.0,0.43018187446792033,0.0004943588597143504,11010.681818181818,4207.863636363636
C1850049,Bilateral fifth finger clinodactyly,0.019090909090909092,0.0,0.3999961852768641,0.0008815999002646241,11600.321100917432,4360.357798165138
C0004782,Basal Ganglia Diseases,0.1,0.0,0.6714454811307617,0.0025243432963553926,6715.428571428572,5025.214285714285
C1856661,Cloudy cornea,0.05833333333333333,0.03333333333333333,0.4875530391018196,0.012066529972684488,9348.90625,4451.5
C1851854,Thin dental enamel,0.0,0.0,0.3531990970899348,0.00040974931733960766,13860.264705882353,2507.029411764706
C0024809,Marijuana Abuse,0.03333333333333333,0.03333333333333333,0.33606168308245055,0.003507804333162965,13251.575757575758,4032.6666666666665
C0162538,Immunoglobulin A deficiency (disorder),0.05,0.05,0.47435462902776493,0.010168078457434542,11749.894736842105,4821.631578947368
C1846439,ODONTOID HYPOPLASIA,0.2,0.2,0.5423564365628337,0.06760952619037705,10848.875,3229.125
C0220994,Hyperammonemia,0.16666666666666666,0.03333333333333333,0.5449174718196457,0.00611838018469209,9673.172413793103,3411.793103448276
C0005937,Bone Cysts,0.0,0.0,0.4108459039220237,8.493585780207437e-05,11700.75,5905.416666666667
C0240379,Open mouth,0.0,0.0,0.3612529053551506,0.00021588746914803786,13769.666666666666,6016.355555555556
C0393706,Early infantile epileptic encephalopathy with suppression bursts,0.0,0.0,0.4852740520722142,0.00021125588548322102,11767.3,7489.8
C0730292,Macular dystrophy,0.0,0.0,0.7256121139003603,0.0004746697389542123,5914.333333333333,3968.1666666666665
C0267812,Micronodular cirrhosis,0.0,0.0,0.43892137751786875,0.0006045932242533535,11542.90909090909,3565.2727272727275
C0162835,Hypopigmentation disorder,0.1,0.0,0.4983180854192789,0.005019157784471877,9960.708333333334,5195.416666666667
C0079773,"Lymphoma, T-Cell, Cutaneous",0.03333333333333333,0.03333333333333333,0.3941428681990558,0.001897251520983683,12826.454545454546,3577.590909090909
C3277697,"Decreased visual acuity, progressive",0.03333333333333333,0.0,0.41458459179406154,0.0005719928900473051,11518.666666666666,5016.5
C0850715,Abnormality of blood and blood-forming tissues,0.1,0.0,0.6020142015129716,0.0017367137411530085,8576.4,4864.8
C0151514,Atrophic condition of skin,0.11666666666666665,0.03333333333333333,0.5159340021364545,0.00437007138757606,10386.26923076923,4480.5
C1142166,Brugada Syndrome (disorder),0.15,0.05,0.5312923591124316,0.016316109440484942,8135.6,5855.133333333333
C0040336,Tobacco Use Disorder,0.2,0.1,0.4896140815000464,0.009287951898263189,10187.727272727272,5314.727272727273
C0162671,MELAS Syndrome,0.5,0.3,0.8679383644295925,0.022790221309690457,3837.7272727272725,3259.3636363636365
C1855773,"Psychomotor retardation, profound",0.4,0.2,0.7295018801355555,0.07449422148759506,6024.5,5419.8125
C0751466,Phonophobia,0.15,0.05,0.34690197716513504,0.011519186873373203,13655.90909090909,4992.272727272727
C4020851,Cortical white matter abnormalities seen on MRI,0.0,0.0,0.3374773666372627,0.00010055852820050002,14357.888888888889,3999.9444444444443
C0037926,Compression of spinal cord,0.0,0.0,0.23547129530793148,5.564871687689707e-05,15152.5,2789.5
C1280433,Lipoatrophy,0.0,0.0,0.27126938434395026,0.00015751286118242337,15576.526315789473,4164.1578947368425
C0025521,Inborn Errors of Metabolism,0.0,0.0,0.5196253655819134,0.0001470958476512505,9554.375,4249.125
C0162834,Hyperpigmentation,0.09166666666666665,0.05833333333333333,0.46286280705015015,0.005951235395388638,10605.314285714287,4910.085714285714
C0241054,Skin bulla,0.10666666666666666,0.09,0.5215225648419454,0.01911038912802151,8962.25,4612.071428571428
C0542223,Loss of speech,0.0,0.0,0.2864850749733067,0.0001281724841599342,14849.8125,5164.3125
C1840077,Anteverted nostril,0.03187134502923976,0.005263157894736842,0.44757777203107596,0.002394295401130577,11159.283422459894,4972.39037433155
C0349639,Juvenile Myelomonocytic Leukemia,0.1,0.05,0.4951594929655941,0.006126987784291102,10945.25,4723.6
C0566899,Small labia majora,0.05,0.05,0.4221670303142844,0.016774455821562433,11825.75,5784.9375
C0040028,"Thrombocythemia, Essential",0.15,0.05,0.49241123230447903,0.002601263978358714,10607.5,4415.0
