Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
C0013182,Drug Allergy,0.11666666666666665,0.05833333333333333,0.7507623981662175,0.010389355349778157,5237.4857142857145,3624.6857142857143
C0917798,Cerebral Ischemia,0.31666666666666665,0.06666666666666667,0.9131354882655274,0.021315509886614164,1967.04,3806.48
C0020295,Hydronephrosis,0.13095238095238096,0.0738095238095238,0.8249127419955323,0.016530733391620433,3736.855072463768,5024.420289855072
C3714796,Isolated somatotropin deficiency,0.0,0.0,0.7883577975969281,0.0009510382751487217,4610.206896551724,4849.6551724137935
C1866134,Wide anterior fontanel,0.27999999999999997,0.205,0.8409299028494399,0.03407113811726712,3548.2045454545455,4205.363636363636
C2364082,Sense of smell impaired,0.2,0.15,0.709430282769188,0.02626932539821782,5545.9,6775.8
C1276035,Pena-Shokeir syndrome type I,0.3,0.2,0.6755662566720817,0.08611741446618786,5838.333333333333,3012.5833333333335
C0027022,Myeloproliferative disease,0.25,0.15,0.8869028828745182,0.017125987902149663,2024.3125,4566.625
C1833225,Dystrophic toenail changes,0.2,0.2,0.7720017636684303,0.015647852328792487,4358.272727272727,5443.272727272727
C0206620,"Lymphangioma, Cystic",0.25,0.05,0.7776622090143634,0.010366813491417413,4402.142857142857,3764.8571428571427
C0006413,Burkitt Lymphoma,0.0,0.0,0.8269218271284003,0.00194788687357463,3397.4,6286.8
C0019158,Hepatitis,0.03333333333333333,0.0,0.8229030260815726,0.002072246457085027,3608.681818181818,3210.7727272727275
C0003126,Anosmia,0.2,0.15,0.6431037951956414,0.023848279431061818,6649.666666666667,6401.0
C0241074,Skin hyperelastic,0.33333333333333337,0.11666666666666665,0.8293894696089819,0.04546978397523466,3593.96875,3770.15625
C0020459,Hyperinsulinism,0.13611111111111113,0.07361111111111111,0.7988806303160118,0.05910622288793345,4314.271604938272,4843.950617283951
C0020541,"Hypertension, Portal",0.1,0.1,0.6790631530067333,0.007118429692620057,6494.090909090909,3923.1363636363635
C0014474,Ependymoma,0.3,0.2,0.8299923408995962,0.021857026779251294,4556.714285714285,5528.714285714285
C4020838,Relative short stature,0.5,0.4,0.7193394912736725,0.0900368002495868,5658.0,2328.5384615384614
C0221170,Muscular stiffness,0.0,0.0,0.6718461359944303,0.0008582853545343009,6269.333333333333,4025.0833333333335
C3275417,Ragged-red fibers,0.3833333333333333,0.13333333333333333,0.776274996904408,0.01886186985009585,4067.0476190476193,3935.4285714285716
C0349204,Nonorganic psychosis,0.026785714285714284,0.0,0.6696248171056132,0.00156555585200286,7166.324675324675,6257.558441558442
C0007787,Transient Ischemic Attack,0.2,0.0,0.8778368218313455,0.004045751961443479,2285.5,5307.0
C0018916,Hemangioma,0.2,0.0,0.8119285902258548,0.004656802656280183,4116.791666666667,4930.458333333333
C1837485,Flat acetabular roof,0.1111111111111111,0.1111111111111111,0.7730467380318875,0.015292716465995134,4498.444444444444,4292.555555555556
C0007222,Cardiovascular Diseases,0.09999999999999999,0.0,0.8759147362545352,0.005772623791845281,2695.576271186441,2481.64406779661
C2673410,Small midface,0.04818181818181818,0.01,0.8476478390392528,0.005119587490216707,3255.0384615384614,4794.615384615385
C0234182,Gowers sign,0.05,0.05,0.7243757643307173,0.003201818065772755,5303.125,3784.7083333333335
C0023493,Adult T-Cell Lymphoma/Leukemia,0.225,0.05833333333333333,0.9007905168942983,0.011249025810649443,2198.2258064516127,3683.2258064516127
C0023434,Chronic Lymphocytic Leukemia,0.03333333333333333,0.0,0.704690791511772,0.00251147205052457,5989.2972972972975,6926.783783783784
C0239946,"Fibrosis, Liver",0.125,0.09166666666666666,0.6569005032907471,0.010726071565685797,7395.15625,5650.84375
C0013336,Dwarfism,0.05833333333333333,0.05833333333333333,0.7744524473358116,0.004303269951639656,4823.756756756757,4490.621621621622
C0014591,Epistaxis,0.41500000000000004,0.225,0.867555777633169,0.048033827837013446,3083.6279069767443,3359.3720930232557
C0870082,Hyperkeratosis,0.11499999999999999,0.02,0.8905763956677358,0.011822695115368173,2355.909090909091,4010.6363636363635
C0338715,Drug-induced depressive state,0.05,0.0,0.7601564313233997,0.0018823352173279143,4725.571428571428,4239.642857142857
