Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
C0013182,Drug Allergy,0.09166666666666665,0.0,0.7550994331381842,0.003626024810042086,5241.114285714286,3624.6857142857143
C0917798,Cerebral Ischemia,0.06666666666666667,0.03333333333333333,0.7155566908167688,0.008775456849776066,5969.64,3806.48
C0020295,Hydronephrosis,0.02857142857142857,0.0,0.6779745284189624,0.0023135321316729873,6924.0,5024.420289855072
C3714796,Isolated somatotropin deficiency,0.0,0.0,0.6247019385606343,0.0006305379477617053,8285.51724137931,4849.6551724137935
C1866134,Wide anterior fontanel,0.065,0.04,0.7309261841677126,0.008410177593452391,5798.545454545455,4205.363636363636
C2364082,Sense of smell impaired,0.05,0.0,0.5674769002182292,0.0020868392579750047,9316.75,6775.8
C1276035,Pena-Shokeir syndrome type I,0.35,0.3,0.883861684845672,0.11264857100846452,2539.9166666666665,3012.5833333333335
C0027022,Myeloproliferative disease,0.05,0.0,0.8016248085047121,0.003412131357049435,4084.5,4566.625
C1833225,Dystrophic toenail changes,0.0,0.0,0.38080154088926016,0.0001762876828461972,13097.636363636364,5443.272727272727
C0206620,"Lymphangioma, Cystic",0.0,0.0,0.7776281575037147,0.0014004673393930647,4713.047619047619,3764.8571428571427
C0006413,Burkitt Lymphoma,0.1,0.0,0.683703927211958,0.0020045073764293946,7089.466666666666,6286.8
C0019158,Hepatitis,0.05,0.0,0.7531034749632382,0.0014938220516373876,5140.454545454545,3210.7727272727275
C0003126,Anosmia,0.05,0.0,0.6159066988608222,0.001930777116622783,8411.285714285714,6401.0
C0241074,Skin hyperelastic,0.15,0.05833333333333333,0.8389287650019357,0.009963323835815116,3397.46875,3770.15625
C0020459,Hyperinsulinism,0.02361111111111111,0.0,0.6179983211233211,0.0015168993493482519,8205.962962962964,4843.950617283951
C0020541,"Hypertension, Portal",0.0,0.0,0.5703188607692902,0.0014792567359285633,9382.681818181818,3923.1363636363635
C0014474,Ependymoma,0.05,0.0,0.6591491435733184,0.0020867410406420045,7832.5,5528.714285714285
C4020838,Relative short stature,0.25,0.25,0.7009909951726698,0.09232165088661917,7081.538461538462,2328.5384615384614
C0221170,Muscular stiffness,0.0,0.0,0.6122418194476676,0.00025180394495096973,7408.0,4025.0833333333335
C3275417,Ragged-red fibers,0.25,0.1,0.9050078937592868,0.018516855209194737,2125.6666666666665,3935.4285714285716
C0349204,Nonorganic psychosis,0.026785714285714284,0.0,0.6365639964086194,0.0015403110135258683,7882.194805194805,6257.558441558442
C0007787,Transient Ischemic Attack,0.2,0.2,0.8280410265930291,0.04031493863788442,3706.2,5307.0
C0018916,Hemangioma,0.0,0.0,0.687210328333256,0.0009412485080293237,6688.416666666667,4930.458333333333
C1837485,Flat acetabular roof,0.0,0.0,0.5425406843635914,0.00023638491575560442,9858.333333333334,4292.555555555556
C0007222,Cardiovascular Diseases,0.10333333333333332,0.016666666666666666,0.8454285669984806,0.0056226872293481545,3322.406779661017,2481.64406779661
C2673410,Small midface,0.01,0.0,0.6986180360449694,0.001589967713299047,6460.067307692308,4794.615384615385
C0234182,Gowers sign,0.0,0.0,0.6537175498072725,0.0010966605704016412,7341.458333333333,3784.7083333333335
C0023493,Adult T-Cell Lymphoma/Leukemia,0.19166666666666665,0.13333333333333333,0.8695445817461055,0.029828856218945703,2841.8064516129034,3683.2258064516127
C0023434,Chronic Lymphocytic Leukemia,0.03333333333333333,0.0,0.6603976920693928,0.0013396212639399828,7168.783783783784,6926.783783783784
C0239946,"Fibrosis, Liver",0.06666666666666667,0.03333333333333333,0.5350890437475804,0.01746730898537347,10097.84375,5650.84375
C0013336,Dwarfism,0.025,0.0,0.5460354708798018,0.000824082026218296,9908.27027027027,4490.621621621622
C0014591,Epistaxis,0.175,0.1,0.855256577112578,0.021576293119775897,3227.9767441860463,3359.3720930232557
C0870082,Hyperkeratosis,0.02,0.0,0.7264686468646865,0.0016149651443055975,5872.25,4010.6363636363635
C0338715,Drug-induced depressive state,0.0,0.0,0.8481130761732348,0.0017718457482237579,3653.5,4239.642857142857
C0431904,Ulnar polydactyly of fingers,0.095,0.025,0.6772550204537003,0.005117413132070693,6952.511111111111,6184.644444444444
C1328931,Multiple lentigines,0.5,0.3,0.9321065577574605,0.08802114314714762,1463.9,3591.4
C4020958,Rough bone trabeculation,0.4,0.3,0.7408869395711501,0.15112625946039843,5076.818181818182,8140.0
C0042510,Ventricular Fibrillation,0.15,0.05,0.7836683533726383,0.015539954721442211,4466.4375,4679.75
C0037293,Skin tag,0.1,0.0,0.8322086601383024,0.003147647169435765,3616.4,4974.9
C0271578,Female hypogonadism syndrome,0.0,0.0,0.757816054598635,0.0013155453901947719,5217.333333333333,4022.0
C1398312,Narrow palate,0.0,0.0,0.6553698286669452,0.0008867439565519153,7423.8,3837.25
C1857202,Frequent vomiting,0.7,0.4,0.9326681208520908,0.04463746596051028,1451.8,4321.6
C0024301,"Lymphoma, Follicular",0.0,0.0,0.712904498816101,0.0004769618551331904,6180.111111111111,3045.3333333333335
C4023397,Abnormal hair quantity,0.1,0.0,0.7724873497052134,0.0038015420337958587,4952.375,3830.5625
C0152031,Joint swelling,0.1,0.03333333333333333,0.7426911584846655,0.006827199281366552,5697.2692307692305,3603.653846153846
C1859117,Recurrent pulmonary infections,0.06666666666666667,0.0,0.8005365105908584,0.002592656520165406,4370.586206896552,3601.0344827586205
C1865060,Molar tooth sign on MRI,0.45,0.2,0.9089185425852866,0.02051023633147113,2535.6666666666665,10016.083333333334
