Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
C0013182,Drug Allergy,0.15833333333333333,0.075,0.780273092649382,0.015390899200404696,4807.057142857143,3624.6857142857143
C0917798,Cerebral Ischemia,0.08333333333333333,0.0,0.8713248498359032,0.003912342497839267,2793.4,3806.48
C0020295,Hydronephrosis,0.11666666666666667,0.05952380952380952,0.7812161494344573,0.02047612679612569,4675.521739130435,5024.420289855072
C3714796,Isolated somatotropin deficiency,0.03333333333333333,0.0,0.7961879103183451,0.0011326682656843641,4468.172413793103,4849.6551724137935
C1866134,Wide anterior fontanel,0.225,0.16,0.8258050945939666,0.07687536273991337,3922.0227272727275,4205.363636363636
C2364082,Sense of smell impaired,0.05,0.05,0.6032339694479267,0.05078038435650624,8546.7,6775.8
C1276035,Pena-Shokeir syndrome type I,0.7,0.5,0.9074680900440939,0.11764961997306503,2271.25,3012.5833333333335
C0027022,Myeloproliferative disease,0.3,0.2,0.9078571096977857,0.039739393148498434,1806.8125,4566.625
C1833225,Dystrophic toenail changes,0.2,0.1,0.7529773507843683,0.10173264191905058,5601.818181818182,5443.272727272727
C0206620,"Lymphangioma, Cystic",0.3,0.3,0.8740960871718674,0.04385021911803552,2757.6190476190477,3764.8571428571427
C0006413,Burkitt Lymphoma,0.1,0.0,0.8390562621854981,0.003695162388112361,3067.266666666667,6286.8
C0019158,Hepatitis,0.0,0.0,0.7836529680365297,0.0010894572670567117,4711.409090909091,3210.7727272727275
C0003126,Anosmia,0.05,0.05,0.5787495356612185,0.02672459760853112,9163.285714285714,6401.0
C0241074,Skin hyperelastic,0.125,0.03333333333333333,0.8177595818815331,0.004785708023918926,3867.21875,3770.15625
C0020459,Hyperinsulinism,0.07361111111111111,0.0375,0.7591355207880632,0.020765410993732258,5166.20987654321,4843.950617283951
C0020541,"Hypertension, Portal",0.1,0.0,0.6860885380388515,0.001972645128061068,6883.954545454545,3923.1363636363635
C0014474,Ependymoma,0.2,0.0,0.8371837719909019,0.005531655197129616,3868.3571428571427,5528.714285714285
C4020838,Relative short stature,0.4,0.05,0.8243664129223914,0.01780889163777439,3954.076923076923,2328.5384615384614
C0221170,Muscular stiffness,0.0,0.0,0.6561708052912509,0.00044545850215170593,7041.5,4025.0833333333335
C3275417,Ragged-red fibers,0.08333333333333333,0.05,0.7392281141654283,0.008175208313872261,5520.857142857143,3935.4285714285716
C0349204,Nonorganic psychosis,0.026785714285714284,0.0,0.6430189628225591,0.002108500800730812,7674.194805194805,6257.558441558442
C0007787,Transient Ischemic Attack,0.1,0.0,0.8835754397363903,0.004383703327380201,2509.6,5307.0
C0018916,Hemangioma,0.05,0.0,0.7796320376476416,0.001659502585697099,4783.416666666667,4930.458333333333
C1837485,Flat acetabular roof,0.2222222222222222,0.1111111111111111,0.7784481158344162,0.0060332551242320166,4775.0,4292.555555555556
C0007222,Cardiovascular Diseases,0.05,0.016666666666666666,0.8221628368530407,0.006643977539980554,3849.0508474576272,2481.64406779661
C2673410,Small midface,0.02,0.01,0.7918783556442626,0.0034591545915557765,4458.826923076923,4794.615384615385
C0234182,Gowers sign,0.2333333333333333,0.18333333333333332,0.8012476973327761,0.06683316934230586,4333.916666666667,3784.7083333333335
C0023493,Adult T-Cell Lymphoma/Leukemia,0.19999999999999998,0.03333333333333333,0.8805777509368514,0.007158407751449739,2678.3548387096776,3683.2258064516127
C0023434,Chronic Lymphocytic Leukemia,0.05833333333333333,0.0,0.7284003252788105,0.002927802400528987,5643.621621621622,6926.783783783784
C0239946,"Fibrosis, Liver",0.03333333333333333,0.03333333333333333,0.6430216802168023,0.0019377625814321051,7920.03125,5650.84375
C0013336,Dwarfism,0.0,0.0,0.7474337825278811,0.0009633996511496856,5509.864864864865,4490.621621621622
C0014591,Epistaxis,0.29500000000000004,0.1,0.8681525983080786,0.02415906205058735,3064.4186046511627,3359.3720930232557
C0870082,Hyperkeratosis,0.08,0.04,0.871792172174964,0.005762659891290781,2778.159090909091,4010.6363636363635
C0338715,Drug-induced depressive state,0.15,0.05,0.6954648841851181,0.0038661465619956293,7077.428571428572,4239.642857142857
C0431904,Ulnar polydactyly of fingers,0.16499999999999998,0.06999999999999999,0.7949932595760505,0.009331043224118594,4480.666666666667,6184.644444444444
C1328931,Multiple lentigines,0.6,0.3,0.9893767113751334,0.05927315403145596,229.9,3591.4
C4020958,Rough bone trabeculation,0.35,0.35,0.8651118537083449,0.13610008028765047,2649.7272727272725,8140.0
C0042510,Ventricular Fibrillation,0.2,0.1,0.7978947124088946,0.07002264854354834,4347.5625,4679.75
C0037293,Skin tag,0.4,0.2,0.9181742237898547,0.019952787051715326,1764.1,4974.9
C0271578,Female hypogonadism syndrome,0.25,0.15,0.7412368262222017,0.02155360396201409,5411.555555555556,4022.0
C1398312,Narrow palate,0.05,0.05,0.8082137716487905,0.010075480663263543,4132.0,3837.25
C1857202,Frequent vomiting,0.6,0.1,0.9262495939109853,0.022502816879741223,1590.1,4321.6
C0024301,"Lymphoma, Follicular",0.25,0.1,0.8052695111193648,0.01315755713659512,3785.3333333333335,3045.3333333333335
C4023397,Abnormal hair quantity,0.1,0.05,0.828507265215171,0.01263723986831356,4300.875,3830.5625
C0152031,Joint swelling,0.1,0.0,0.7748548604337931,0.0032745102814518492,5120.423076923077,3603.653846153846
C1859117,Recurrent pulmonary infections,0.25,0.15,0.8364749783228044,0.015294991646283344,3438.137931034483,3601.0344827586205
C1865060,Molar tooth sign on MRI,0.05,0.05,0.8633395219308424,0.007307837119276223,3013.0,10016.083333333334
C0427063,Shoulder girdle weakness,0.1,0.0,0.897396389288532,0.003949995891649815,2211.8,6029.9
C0006157,Breech Presentation,0.2,0.0,0.7416113612103773,0.003613891816787969,5568.5,4604.4
C0271388,Pendular Nystagmus,0.0,0.0,0.7437813312291126,0.000939100916501087,5825.384615384615,4933.0
C0009676,Confusion,0.0,0.0,0.7520725950003868,0.0005550881504677502,5058.272727272727,4113.045454545455
C0013604,Edema,0.02857142857142857,0.02857142857142857,0.7355746729071375,0.0037463406002784367,5712.376811594203,3663.1304347826085
C1849295,Hypoplastic labia minora,0.2,0.0,0.7688216457047384,0.004303171209918622,4982.2,7761.2
C3161330,Profound intellectual disabilities,0.05833333333333333,0.0,0.7137535228715662,0.0024425013747622704,6053.032258064516,6227.741935483871
C0234632,Reduced visual acuity,0.08666666666666667,0.016666666666666666,0.699164728501876,0.0032271481537464925,6496.932203389831,4261.762711864407
C1846149,Progressive mental retardation,0.025,0.0,0.808907578644115,0.0025847470753648768,4240.388888888889,4634.972222222223
